단축코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
138930,BS금융지주,13950,550,4.1,13550,13950,13400,744350,10259409350,2697649591050,193379899
001460,BYC,160000,5500,3.56,154500,163000,153500,1154,183429500,99938400000,624615
001465,BYC우,69300,500,0.73,69200,69300,68800,20,1384000,14926180500,215385
001040,CJ,84900,-200,-0.24,85100,85400,83100,157886,13334393400,2461426148700,28992063
079160,CJ CGV,26400,-200,-0.75,26450,26600,26300,65157,1727256300,544300891200,20617458
011150,CJ씨푸드,3090,-25,-0.8,3100,3150,3065,416936,1289547265,111026088570,35930773
011155,CJ씨푸드1우,9170,0,0,9170,10200,9170,550,5187400,1834000000,200000
001045,CJ우,19750,-100,-0.5,20000,20000,19700,11685,232976750,44639404250,2260223
097950,CJ제일제당,344000,6000,1.78,338000,344000,330000,48515,16350248000,4499140568000,13078897
097955,CJ제일제당 우,69300,0,0,69300,69400,68300,2568,177390000,91991106900,1327433
000590,CS홀딩스,36600,0,0,36550,37150,36500,1240,45693500,42254041200,1154482
139130,DGB금융지주,15050,550,3.79,14500,15100,14450,292253,4351795100,2017499967700,134053154
069730,DSR제강,4600,-20,-0.43,4800,4880,4500,557557,2606938605,66240000000,14400000
017940,E1,59600,1500,2.58,58100,59800,57800,5310,312631400,408856000000,6860000
007700,F&F,7160,-20,-0.28,7150,7160,7100,1505,10769800,110264000000,15400000
114090,GKL,20350,-250,-1.21,20700,20700,20100,195724,3973832500,1258762884500,61855670
078930,GS,66800,-1700,-2.48,69100,69200,66200,882669,59010073300,6206747250400,92915378
006360,GS건설,98800,-1100,-1.1,99400,100000,98100,359694,35514273200,5038800000000,51000000
001250,GS글로벌,14650,1050,7.72,13650,14650,13600,569268,8080806900,330119642600,22533764
007070,GS리테일,24900,200,0.81,24800,24950,24150,67342,1654976800,1917300000000,77000000
078935,GS우,21550,-350,-1.6,21850,21850,21550,1990,42994000,38463000300,1784826
035000,GⅡR,8580,0,0,8600,8640,8520,7265,62286400,142148369220,16567409
001500,HMC투자증권,15550,400,2.64,15300,15550,15000,109810,1682649000,456192076050,29337111
011420,IB스포츠,2505,25,1.01,2450,2540,2400,60650,151892450,49154172120,19622424
003560,IHQ,3410,-100,-2.85,3520,3560,3400,571820,1971514435,139725493380,40975218
005560,JS전선,7640,0,0,7750,7830,7570,15074,115816840,86932809600,11378640
001060,JW중외제약,18150,0,0,18200,19100,17850,390522,7261070150,190929832500,10519550
001067,JW중외제약2우B,20700,300,1.47,19800,20700,19800,190,3844000,1413002700,68261
001065,JW중외제약우,14450,-50,-0.34,14000,14500,13800,930,13258000,1875841200,129816
096760,JW홀딩스,2860,85,3.06,2780,2940,2735,661031,1900320660,140076808300,48977905
105560,KB금융,41300,650,1.6,40500,41500,40500,1665554,68639946600,15956324920900,386351693
002380,KCC,349500,7000,2.04,347000,355000,343500,28955,10173846500,3676740000000,10520000
009070,KCTC,19650,-1500,-7.09,21050,22300,19300,54546,1107317750,58950000000,3000000
009440,KC그린홀딩스,3030,5,0.17,2965,3080,2905,76718,228616090,67977989400,22434980
119650,KC코트렐,20300,-350,-1.69,20750,20750,19350,83264,1662105750,124236000000,6120000
092220,KEC,921,0,0,942,969,916,600231,564209055,130889018358,142116198
109070,KGP,1320,10,0.76,1310,1325,1280,7200,9331700,11736510720,8891296
001390,KG케미칼,8030,310,4.02,7670,8090,7670,43726,346144280,85921000000,10700000
001940,KISCO홀딩스,37500,1100,3.02,37350,38500,36900,2180,81979500,138572850000,3695276
083420,KPX그린케미칼,3035,50,1.68,2995,3035,2995,9336,28118660,60700000000,20000000
025000,KPX케미칼,59700,1900,3.29,58300,59800,57600,3925,228716800,288948000000,4840000
092230,KPX홀딩스,43900,900,2.09,43300,45000,43000,1321,57343900,185461959400,4224646
025850,KPX화인케미칼,27750,100,0.36,27600,28000,27350,20680,572730500,105450000000,3800000
044450,KSS해운,4385,0,0,4430,4430,4295,4073,17662720,50835041900,11592940
030200,KT,32800,50,0.15,32900,33050,32600,713379,23391898700,8564467302400,261111808
033780,KT&G,76000,-800,-1.04,76600,76700,74900,226049,17108050100,10434229772000,137292497
030210,KTB투자증권,2425,0,0,2420,2445,2415,319824,777144830,146261673100,60314092
058850,KTcs,2285,-15,-0.65,2310,2315,2280,309500,708657880,106218225000,46485000
003550,LG,69900,100,0.14,70100,70600,69200,444662,31115373900,12061743456900,172557131
034220,LG디스플레이,28650,50,0.17,28650,28800,28200,1100849,31402829400,10251419805000,357815700
001120,LG상사,60200,400,0.67,60400,60500,59300,325610,19528076400,2333352000000,38760000
068870,LG생명과학,36200,300,0.84,36200,36400,35900,40174,1452849800,600087038000,16576990
068875,LG생명과학우,20300,100,0.5,20200,20300,20200,220,4464000,4795184800,236216
051900,LG생활건강,491000,3500,0.72,475000,491500,475000,48526,23662842500,7668534727000,15618197
051905,LG생활건강우,119500,0,0,120000,120000,119000,104,12391000,250913791500,2099697
003555,LG우,23950,-300,-1.24,23800,24050,23800,4227,100751150,79386514150,3314677
032640,LG유플러스,6270,-40,-0.63,6390,6470,6220,3177729,19996775140,3227757345450,514793835
011070,LG이노텍,93800,1000,1.08,92400,94100,91100,124833,11552522400,1890918233400,20159043
066570,LG전자,84500,400,0.48,84200,85000,82700,1473957,123672740300,13828240283000,163647814
066575,LG전자우,27600,350,1.28,27400,27800,26850,29770,813272500,474333379200,17185992
093050,LG패션,46150,400,0.87,46300,46300,45550,112798,5189712700,1349426000000,29240000
108670,LG하우시스,79500,1300,1.66,78000,80400,78000,17160,1368562900,712929765000,8967670
