지수명,종가,대비,등락률
MKF 스타우량,,,
MKF 현대차그룹,,,
녹색산업지수,,,
사회책임투자지수,,,
KTB INDEX(시장가격),10245.97,9.42,0.09
코스피 200,261.89,-2.89,-1.09
FnGuide-RAFI 코리아 대형 지수,6279.77,-46.27,-0.73
MKF SAMs EW 지수,12391.99,-130.42,-1.04
MKF SAMs SW,9843.06,-144.86,-1.45
MKF F15 VW,,,
코스피 200 선물지수,1313.84,-6,-0.45
CSI 300 Index,2372,-12.82,-0.54
스타지수,,,
10년국채선물지수,1132.31,1.68,0.15
DJ Brazil 20,28744.02,506.99,1.8
Hang Seng China H,11229.09,-123.36,-1.09
TOPIX100,555.4,-4.56,-0.81
MSCI Korea Index,574.09,-7.31,-1.26
KRX 건설,958.74,-14.47,-1.49
S&P GSCI Gold Index(TR),907.28,-4.15,-0.46
S&P GSCI North American Copper Index(TR),522.25,-5.64,-1.07
MKF 국고채지수(총수익),151.05,0.15,0.1
KRW Cash 지수(총수익),132.07,0.04,0.03
KRX 반도체,1523.14,-33.68,-2.16
KRX 보험,1536.96,18.55,1.22
삼성그룹,6496.48,-96.51,-1.46
핵심소비재 지수,,,
KRX 에너지화학,2344.92,-14.34,-0.61
KRX 운송,1029.91,-17.25,-1.65
S&P GSCI Silver Index(TR),1099.45,-33.23,-2.93
KRX 은행,735.08,4.93,0.68
KRX 자동차,2099.88,-2.23,-0.11
KRX 기계장비,1604.37,11.42,0.72
주식골드지수,3847.67,-46.7,-1.2
KRX 증권,659.68,-3.21,-0.48
KRX 철강,2139.99,-32.64,-1.5
S&P GSCI Soybeans Index(TR),4449.34,-5.44,-0.12
FnGuide 태양광 지수,,,
KIS 10년 국고채 지수 (총수익),11784.73,14.42,0.12
KRX 정보통신,,,
KRX 100,4251.86,-36.7,-0.86
MKF 웰스 고배당20,7180.36,30.13,0.42
MK 머니마켓 지수(총수익),10897.6,3.14,0.03
미국달러선물지수,1155.55,0.43,0.04
MKF 블루칩,6451.85,-18.36,-0.28
MK 통안채지수(총수익),11235.89,4.77,0.04
MKF 5대그룹주,5254.99,-54.59,-1.03
FnGuide-KIS 5대 그룹주장기채플러스지수,,,
MKF 수출주 지수,10099.85,-63.63,-0.63
MKF 우량업종대표주 지수,10395.54,9.49,0.09
KOBI 크레딧 지수(총수익),11227.27,6.41,0.06
MKF 코스닥 엘리트30,,,
코스피 50,1716.72,-23.06,-1.33
코스피 200 정보기술,1323.65,-21.72,-1.61
MKF LG그룹+ FW,6400.64,-49.21,-0.76
S&P 500 Futures Index(ER),122.59,-0.61,-0.5
MKF 순수가치,15608.17,11.14,0.07
코스피 200 건설,526.08,-6.66,-1.25
코스피 200 경기소비재,1988.49,-2.54,-0.13
코스피 200 생활소비재,982.88,6.42,0.66
S&P GSCI Cash Copper Index,245.96,-5.62,-2.23
S&P GSCI Industrial Metals Select Index(TR),217.06,-1.94,-0.89
코스피 200 금융,689.15,3.99,0.58
S&P GSCI Precious Metals Index(TR),2150.63,-17.38,-0.8
NASDAQ 100,2693.55,-11.84,-0.44
S&P GSCI Agriculture Enhanced Index(ER),132,-0.85,-0.64
BNY Latin America 35 ADR,4164.41,50.32,1.22
FnGuide 모멘텀 지수,19347.44,-147.36,-0.76
MKF 중형 가치,8031.97,-6.74,-0.08
KRX 방송통신,782.63,2.9,0.37
BNY BRIC Select ADR,4298.87,68,1.61
MKF 블루칩30 지수,,,
MKF SAMs FW,8870.93,-138.38,-1.54
FnGuide 생활필수품 지수,,,
FnGuide 소프트웨어 지수,2092.96,29.04,1.41
코스피 200 에너지/화학,1219.37,-6.13,-0.5
S&P GSCI Crude Oil Enhanced Index (ER),959.88,-11.33,-1.17
KIS MSB 6M(총수익),10325.49,2.63,0.03
국채선물지수,1172.06,0.99,0.08
FnGuide 자동차 지수,,,
KRX 헬스케어,1387.61,28.96,2.13
코스피 200 중공업,541.98,0.72,0.13
FnGuide 중국내수테마 지수,3280.32,-15.2,-0.46
FnGuide 증권 지수,2049.95,-9.38,-0.46
Hang Seng China (Hong Kong-listed) 25 Index,8166.35,-68.74,-0.83
코스피 200 철강/소재,948.56,-10.99,-1.15
코스피 200 커버드콜 5% OTM,314.24,-3.33,-1.05
코스닥 프리미어,,,
MKF 현대차그룹+ FW,25554.3,15.64,0.06
FnGuide 화학 지수,,,
MKF 중소형 가치,6163.78,5.53,0.09
FnGuide-RAFI 코리아200 지수,6484.28,-43.81,-0.67
코스피 100,1986.35,-23.6,-1.17
코스피 100 동일가중지수,1883.89,-5.1,-0.27
KRX 100 동일가중지수,1791.24,-3.82,-0.21
MKF 범LG그룹주 지수,,,
MKF 네오밸류 지수,,,
FnGuide 경기방어주 지수,,,
FnGuide 배당주 지수,11229.88,35.27,0.32
FnGuide 자동차+ 지수,,,
FnGuide 조선운송+ 지수,,,
FnGuide 경기주도주 지수,,,
FnGuide 철강금속+ 지수,,,
FnGuide 화학+ 지수,,,
