지수명,종가,대비,등락률
코스피 200,297.09,-7.13,-2.34
코스피 200 TR,370.14,-2.47,-0.66
KIS 크레딧 2312만기형 총수익지수,106,0.05,0.05
KIS 크레딧 2412만기형 총수익지수,103.36,0.04,0.04
MSCI Korea Country ESG Leaders Custom Capped Price return Index,1382.89,-35.69,-2.52
FnGuide 5G플러스 지수 (시장가격),1284.42,-27.19,-2.07
FnGuide 성장소비주도 지수,2046.99,-17.35,-0.84
FactSet US-China Electric&Autonomous Vehicle Price Return Index,215.96,-4.07,-1.85
KRX 금현물지수,1748.09,-1.42,-0.08
S&P GSCI GOLD Index Excess Return,130.43,-0.53,-0.4
KIS 10년 국고채 지수 (총수익),14559.14,-71.15,-0.49
KTB INDEX(시장가격),10210.32,-8,-0.08
10년국채선물지수,1184.31,-7.92,-0.66
국채선물지수,1219.25,-1.41,-0.12
Bloomberg Global Digital Media & Tech Select Price Return Index,2078.8,-32.32,-1.53
Solactive Global Semiconductor TOP4 Plus Price Return Index,1800.07,-50.96,-2.75
Bloomberg Global Select Industry Leaders TOP10 Index(PR),2560.11,-13.38,-0.52
KIS 단기채권알파AA-이상 총수익지수,109.43,0.03,0.03
KIS MSB 단기지수(총수익),11784.08,1.43,0.01
MSCI Russia 25% Capped Price Return Index,,,
MSCI MEXICO IMI 25/50 Price return Index,10136.71,-171.63,-1.66
다우존스 인터넷 종합지수,541.72,-5.31,-0.97
S&P 500,3783.22,-46.03,-1.2
S&P500 and Short-Term Treasury 30/70 Blend Index,152.81,-0.54,-0.35
MorningStar Wide Moat Focus Index,9778.82,-109.47,-1.11
Dow Jones U.S. Dividend 100 Price Return Index,5313.55,-65.56,-1.22
NASDAQ 100,10679.35,-143.16,-1.32
NASDAQ-100 US T-Bills 30/70 Index,1318.48,-5.13,-0.39
Dow Jones U.S. Real Estate Index,1439,-24.23,-1.66
Bloomberg Short-Term Treasury Total Return Index,129.92,0.02,0.02
Indxx SPAC & NEXTGEN IPO Price return Index,,,
Indxx US Green Infrastructure Price return Index,3130.71,-35.63,-1.13
FnGuide-RAFI 코리아 대형 지수,7785.64,-199.04,-2.49
VN30 Index(PR),1013.95,6.59,0.65
Bloomberg VN30 Futures Excess Return Index,142.75,0.99,0.7
MKF SAMs EW 지수,15475.01,-331.39,-2.1
MKF SAMs SW,14166.06,-269.63,-1.87
FnGuide 스마트 로우볼 지수,,,
FnGuide 스마트 모멘텀 지수,,,
FnGuide 스마트 밸류 지수,,,
FnGuide 스마트 퀄리티 지수,,,
FnGuide 스마트 하이베타 지수,,,
Morningstar Singapore REIT Yield Focus Index(PR),1332.19,2.3,0.17
Morningstar Singapore REIT Yield Focus Income Protection Index,,,
S&P ASIA50 Price Return Index,3338.3,6.37,0.19
Bloomberg Blended NVIDIA Equity and Korean Bond Index,3639.43,-81.83,-2.2
DeepSearch 원자력테마 지수 (시장가격지수),1067.13,9.97,0.94
MSCI Indonesia Index,7378,-42.75,-0.58
코스피 200 선물지수,1517.06,-19.57,-1.27
Nikkei 225,26340.5,-107.37,-0.41
TOPIX,1909.02,-1.13,-0.06
KIS 종합채권 AA-이상 총수익 지수(Total return Index),104.74,-0.24,-0.23
STAR 50 Index(Price Return),957.27,-5.87,-0.61
CSI 300 Index,3871.26,-16.59,-0.43
KIS 종합채권국공채1-10Y지수,137.27,-0.18,-0.13
FnGuide 올라운드 가치주 지수,829.51,-17.32,-2.05
Hang Seng TECH Index,4212.44,88.11,2.14
FnGuide 친환경 자동차 밸류체인 지수,1257.55,-42.85,-3.3
코스닥,692.37,-11.82,-1.68
코스닥 150,976.59,-32.73,-3.24
코스피,2280.45,-52.34,-2.24
MSCI Philippines IMI Index,1531.92,2.93,0.19
코스피 200 동일가중지수,2017.2,-37.59,-1.83
FnGuide 애플채권혼합 지수,1689.78,-8.22,-0.48
FnGuide 한화 ESG 가치 지수,1112.72,-28.53,-2.5
FnGuide 한화 ESG 성장 지수,1180.64,-31.2,-2.57
WISE ESG우수기업 지수,,,
FnGuide K-유니콘 투자기업 지수,,,
KRX 300,1343.59,-32.95,-2.39
KRX300 헬스케어,2345.54,-46.37,-1.94
FnGuide KS 로우볼 가중 TR 지수,,,
FnGuide KS 로우사이즈 가중 TR 지수,,,
FnGuide KS 모멘텀 가중 TR 지수,,,
FnGuide KS 밸류 가중 TR 지수,,,
FnGuide KS 퀄리티 가중 TR 지수,,,
FnGuide 리츠 지수,716.7,-8.25,-1.14
S&P Global Infrastructure Index,2671.71,-27.17,-1.01
Morningstar Korea Lifetime Allocation Moderate 2030 Index (Gross Return),1214.45,-5.93,-0.49
Morningstar Korea Lifetime Allocation Moderate 2040 Index (Gross Return),1317.5,-7.22,-0.55
Morningstar Korea Lifetime Allocation Moderate 2050 Index (Gross Return),1641.33,-11.73,-0.71
Morningstar Korea Lifetime Allocation Moderate 2060 Index (Gross Return),1642.67,-13.63,-0.82
FnGuide 고배당저변동50 지수,1913.5,-78.23,-3.93
FnGuide 배당주 지수,11026.56,-672.18,-5.75
FnGuide 고배당 채권혼합 지수,2655.76,-63.55,-2.34
iSelect 글로벌HBM반도체 지수,2347.46,-38.56,-1.62
MSCI ACWI Index,599.97,-5.27,-0.87
BlueStar Hydrogen and NextGen Fuel Cell Index (시장가격),72.08,-0.11,-0.15
BlueStar Artificial Intelligence Index(시장가격),389.31,-3.34,-0.85
MVIS Global Rare Earth/Strategic Metals Index (Price Return),486.61,-13.26,-2.65
"KAP 투자적격 크레딧 채권 1년 지수(A- 이상,총수익)",130.4,0.04,0.03
NASDAQ 100 Technology Sector Index,5582.57,-80,-1.41
Dow Jones U.S Select Dividend Index(시장가격지수),858.36,-11.11,-1.28
ICE BofaAML 1-3 Year AAA-A US Corporate Index(총수익지수),508.3,0.07,0.01
BlueStar Top 10 US Listed Alternative Asset Managers Index (시장가격),188.77,-3.08,-1.61
ICE BofaAML 15+ Year AAA-A US Corporate Index(총수익지수),1040.24,-5.56,-0.53
MSCI EAFE Index,1943.3,-7.53,-0.39
WISE-KAP 스마트베타 Quality 채권혼합지수,1233.76,-8.97,-0.72
MSCI EM Index,960.19,0.8,0.08
SZSE ChiNext Price Index,2338.26,-21.24,-0.9
KOBI HALF CREDIT Index(총수익),11125.19,3.66,0.03
iSelect 우주항공UAM 지수,1042.22,-18.35,-1.73
FnGuide 주도업종 지수,1187.22,-28.87,-2.37
FnGuide 중형주저변동50지수,2004.65,-28.42,-1.4
F-코스닥150 지수,1155.7,-34.72,-2.92
코스피 50,2021.15,-52.91,-2.55
코스피 TR,2819.16,-16.4,-0.58
코스피 중형주,2662.45,-41.76,-1.54
KRX/S&P 탄소효율 그린뉴딜지수,1228.26,-30.79,-2.45
FnGuide 주주가치 지수,1599.68,-65.38,-3.93
KRX ESG Leaders 150,1493.33,-35.12,-2.3
코스피 200 Top 10 지수,1093.95,-27.78,-2.48
KAP 32-10 국고채 10년 총수익지수,97.44,-0.62,-0.63
FnGuide K-POP & 미디어 지수,762.98,-14.66,-1.89
FnGuide K-게임 지수,909.45,-10.06,-1.09
FnGuide K-뉴딜 디지털 플러스 지수,1918.68,-47,-2.39
FnGuide K-메타버스 MZ 지수(시장가격),1096.97,-18.86,-1.69
FnGuide K-반도체 지수,2089.07,-41.81,-1.96
FnGuide K-푸드 지수 (시장가격),755.12,-6.32,-0.83
FnGuide 5G 산업 지수,1750.13,-53.47,-2.96
FnGuide 골프 테마 지수,677.33,-9.65,-1.4
FnGuide 전기&수소차 지수 (시장가격),1734.11,-45.61,-2.56
FnGuide 조선해운지수,1526.63,-13.57,-0.88
FnGuide 친환경에너지 지수 (시장가격),1637.18,-45.38,-2.7
KAP 초장기 국고채 지수(총수익),11698.74,-100.41,-0.85
KRX 기후변화 솔루션지수,1647.82,-49.56,-2.92
MSCI Korea TR Index,1246.39,-14.04,-1.11
FnGuide E커머스 지수,1980.05,-3.63,-0.18
FnGuide 고배당 알파 지수,1572.19,-71.68,-4.36
S&P Global Luxury Index,3703.57,-28.16,-0.75
MSCI World IMI Virology Select Index,1884.04,-11.85,-0.63
MSCI ACWI IMI New Energy ESG Filtered (Price Return),1986.65,-23.15,-1.15
MSCI ACWI IMI Water ESG Filtered (Price Return),1641.23,-13.67,-0.83
ICE Global Carbon Futures Index(Excess Return),702.9,-21.12,-2.92
FnGuide 농업융복합산업 지수(시장가격),1387.71,-23.9,-1.69
KAP 단기 통안채 지수(총수익),12937.79,1.67,0.01
iSelect US 메타버스 지수(시장가격),3109.78,-39.57,-1.26
iSelect 원자력지수 (시장가격),923.74,14.8,1.63
S&P Korea 저변동성 지수,9462.12,-288.94,-2.96
코스피 200 정보기술,2664.13,-58.16,-2.14
코스피 200 건설,248.2,-5.52,-2.18
코스피 200 경기소비재,1361,-30.63,-2.2
코스피 200 고배당커버드콜 ATM 지수(시장가격지수),1048.99,-38.39,-3.53
코스피 200 금융,600.98,-29.38,-4.66
코스피 200 산업재,588.77,-16.89,-2.79
코스피 200 생활소비재,943.49,0.43,0.05
코스피 200 에너지/화학,1499.75,-49.81,-3.21
코스피 200 중공업,274.64,3.51,1.29
코스피 200 철강/소재,801.92,-6.27,-0.78
코스피 200 커뮤니케이션서비스,1733.16,-33.64,-1.9
KIS 2023년 만기도래 크레딧 종합채권 지수(AA-이상)(시장가격),,,
KIS 2025년 만기도래 크레딧 종합채권 지수(AA-이상)(시장가격),102.85,0.05,0.05
iSelect 2차전지 지수 (시장가격지수),4836.31,-183.89,-3.66
MKF 5대그룹주,5647.05,-137.36,-2.37
KRX ESG 사회책임경영지수(S),1616.69,-45.19,-2.72
FnGuide 5G 테크 지수,1110.87,-34.19,-2.99
FnGuide 수소 경제 테마 지수,1139.58,-20.47,-1.76
FnGuide 창업투자회사 지수(시장가격지수),,,
FnGuide 컨택트대표 지수(시장가격지수),784.17,4.43,0.57
FnGuide 플랫폼테마 지수(시장가격지수),956.8,-11.85,-1.22
FnGuide IT플러스 지수,2050.53,-50.96,-2.42
KIS 국고채30년Enhanced지수(시장가격),6101.34,-93.92,-1.52
KIS 단기종합채권지수(AA-이상)(총수익지수),113.81,0.03,0.03
KIS 종합채권 지수(A-이상)(총수익지수),109.39,-0.26,-0.24
FnGuide KQ고배당포커스 지수,5692.05,-195.35,-3.32
KRX 300 미국달러 선물혼합지수,1327.53,-20.27,-1.5
iSelect 전략적자산배분 TDF 2030 지수,1309.35,-10.7,-0.81
iSelect 전략적자산배분 TDF 2040 지수,1372.42,-13.41,-0.97
iSelect 전략적자산배분 TDF 2050 지수,1399.56,-14.76,-1.04
FnGuide 셀렉트 밸류 지수,2513.81,-64.22,-2.49
FnGuide 셀렉트벨류 채권혼합지수,1816.66,-19,-1.04
iSelect 메타버스 지수(시장가격지수),1341.14,-21.26,-1.56
WISE 게임 테마 지수 (시장가격지수),4731.5,-55.59,-1.16
FnGuide 고배당포커스 지수,7604.97,-301.37,-3.81
5년 국채선물 추종 지수,995.59,-2.8,-0.28
S&P Global 1200 Information Technology and Interactive Media & Services(PR),1497.23,-23.13,-1.52
MVIS Global Agribusiness Index(Price Return),3355.53,-35.25,-1.04
Kelly Data Center & Tech Infrastructure Net Total Return Index,1238.95,-14.1,-1.13
Global Metaverse Index(Price Return),,,
Indxx Hydrogen Economy Index (Net Total Return),2081.12,-12.7,-0.61
iSelect 글로벌원자력 지수(시장가격),1248.05,1.28,0.1
S&P Global Clean Energy Index (Price Return),1257.29,-6.76,-0.53
KIS 종합채권금융채 2.5Y-3Y 지수 (총수익),120.23,0.05,0.04
FnGuide 내수주플러스 지수,1125.77,-13.55,-1.19
KIS 종합채권국공채3M~1.5Y지수,124.59,0.03,0.02
KIS 통안채 5개월 지수(총수익),11864.68,1.95,0.02
WISE 대형고배당10 TR 지수,1528,-4.75,-0.31
FnGuide 모멘텀&로우볼 지수,,,
FnGuide 모멘텀&밸류 지수,,,
S&P Oil & Gas Exploration & Production Select Industry Index(PR),5103.31,-239.67,-4.49
ICE BofAML Core Plus Fixed Rate Preferred Securities Index,149.12,-1.68,-1.11
Bloomberg US Corporate 1-5 Years Total Return Index,224.27,-0.02,-0.01
iSelect 미국 빅데이터Top3 채권혼합지수(Price Return),2329.01,-47.06,-1.98
S&P U.S. Treasury Bond Futures Excess Return Index,228.29,-0.74,-0.32
iSelect 배터리 리사이클링 지수,2444.42,-54.81,-2.19
iSelect 비메모리반도체 지수(시장가격지수),1875.63,-63.63,-3.28
Bloomberg Blended Samsung Group Fixed Top 3 Equity and Korean Bond Index,1668.9,-14.74,-0.88
MKF 수출주 지수,9874.2,-206.49,-2.05
MKF 우량업종대표주 지수,10282.32,-227.53,-2.16
EURO STOXX 50 Index,3808.82,-24.07,-0.63
주식국채혼합(주식형)지수,1414.02,-23.93,-1.66
MSCI China NTR Index(USD) (Net Total Return),480.07,5.11,1.08
CSI A100,3740.21,-17.61,-0.47
