지수명,종가,대비,등락률
코스피 200,252.91,-0.05,-0.02
코스피 200 선물지수,1211.76,-1.68,-0.14
MSCI ACWI Index,413.93,0.29,0.07
코스피 100 동일가중지수,1815.96,6.61,0.37
코스피 50,1655.41,-3.52,-0.21
S&P KOREA Dividend Opportunity Index,4111.01,-0.19,0
FnGuide 고배당저변동50 지수,1804.43,5.25,0.29
FnGuide 배당주 지수,11666.64,-34.67,-0.3
FnGuide 고배당 채권혼합 지수,2536.87,-1.59,-0.06
KAP Money Market Index(총수익),112.89,0.01,0.01
Dow Jones U.S Select Dividend Index(시장가격지수),626.38,0.29,0.05
KAP Barbell Index(총수익),118.46,0,0
FnGuide 경기방어주 지수,,,
MSCI EAFE Index,1631.61,3.38,0.21
WISE 스마트베타 LowVOL 지수,,,
WISE 스마트베타 MOMENTUM INDEX,,,
WISE 스마트베타 QUALITY INDEX,6037.28,60.62,1.01
WISE 스마트베타 VALUE INDEX,,,
WISE 스마트베타 지수,,,
WISE-KAP 스마트베타 Quality 채권혼합지수,1152.86,4.08,0.36
MSCI EM Index,858.47,-4.7,-0.54
SZSE ChiNext Price Index,2160.35,-5.7,-0.26
KOBI HALF CREDIT Index(총수익),10143.31,2.62,0.03
FnGuide 경기주도주 지수,,,
Hang Seng China H,9846.21,-29.33,-0.3
코스피,1978.39,0.26,0.01
MKF 5대그룹주,4411.04,-24.74,-0.56
FnGuide 셀렉트 밸류 지수,1981.78,3.96,0.2
FnGuide 셀렉트벨류 채권혼합지수,1551.11,2.1,0.14
KTB INDEX(시장가격),10582.58,7.92,0.07
KIS 통안채 5개월 지수(총수익),10899.77,1.13,0.01
FnGuide 모멘텀&로우볼 지수,,,
FnGuide 모멘텀&밸류 지수,,,
S&P Oil & Gas Exploration & Production Select Industry Index(PR),5713.17,-111.22,-1.91
MKF 수출주 지수,7867.34,-5.87,-0.07
MKF 우량업종대표주 지수,9472.83,-9.49,-0.1
KOBI 크레딧 지수(총수익),12777.08,6.69,0.05
TOPIX,1468.57,-1.01,-0.07
주식국채혼합(주식형)지수,1212.12,0.1,0.01
CSI A100,3378.84,41.81,1.25
주식국채혼합(채권형)지수,1291.42,0.6,0.05
FnGuide 헬스케어 지수,1965.07,16.14,0.83
FnGuide 헬스케어 채권혼합 지수,1466.43,4.58,0.31
S&P WCI Gold Excess Return Index,288.67,-2.08,-0.72
KIS MSB 단기지수(총수익),10866.47,0.94,0.01
Dow Jones U.S. Real Estate Index,1058.1,8.97,0.85
