지수명,종가,대비,등락률
코스피 200,240.08,0.8,0.33
MSCI ACWI Index,386.14,6.45,1.7
코스피 100 동일가중지수,1785.15,10.04,0.57
코스피 50,1528.82,2.34,0.15
S&P KOREA Dividend Opportunity Index,3964.96,21.45,0.54
FnGuide 배당주 지수,10859.69,49.93,0.46
KAP Money Market Index(총수익),112.44,0,0
Dow Jones U.S Select Dividend Index(시장가격지수),591.19,7.32,1.25
KAP Barbell Index(총수익),120.05,0,0
FnGuide 경기방어주 지수,,,
MSCI EAFE Index,1546.73,25.79,1.7
WISE 스마트베타 LowVOL 지수,,,
WISE 스마트베타 MOMENTUM INDEX,,,
WISE 스마트베타 QUALITY INDEX,6388.77,30.33,0.48
WISE 스마트베타 VALUE INDEX,,,
WISE 스마트베타 지수,,,
WISE-KAP 스마트베타 Quality 채권혼합지수,1179.66,1.49,0.13
MSCI EM Index,805.24,10.68,1.34
KOBI HALF CREDIT Index(총수익),10134.12,0.18,0
FnGuide 경기주도주 지수,,,
Hang Seng China H,8536.16,-31.05,-0.36
코스피,1936.22,9.37,0.49
MKF 현대차그룹,,,
MKF 5대그룹주,4274.55,-3.7,-0.09
FnGuide 셀렉트 밸류 지수,2011.27,9.24,0.46
FnGuide 셀렉트벨류 채권혼합지수,1568.89,2.62,0.17
KTB INDEX(시장가격),10719.89,-3.54,-0.03
KIS 통안채 5개월 지수(총수익),10853.28,0.22,0
S&P Oil & Gas Exploration & Production Select Industry Index(PR),5234.26,241.36,4.83
MKF 수출주 지수,7646.74,29.47,0.39
MKF 우량업종대표주 지수,8935.33,-10.47,-0.12
KOBI 크레딧 지수(총수익),12857.95,-1.11,-0.01
TOPIX,1224.62,-1.14,-0.09
주식국채혼합(주식형)지수,1171.36,2.62,0.22
CSI A100,2934.8,11.27,0.39
주식국채혼합(채권형)지수,1279.18,0.99,0.08
S&P WCI Gold Excess Return Index,321.09,-5.96,-1.82
KIS MSB 단기지수(총수익),10814.34,0.25,0
Dow Jones U.S. Real Estate Index,1110.9,23.84,2.19
코스피 배당성장 50,3140.39,-5.15,-0.16
FnGuide-RAFI 코리아 대형 지수,5600.53,12.15,0.22
MKF SAMs EW 지수,9182.29,60.5,0.66
MKF SAMs SW,6664.14,12.34,0.19
코스피 200 선물지수,1157.95,3.85,0.33
Nikkei 225,15323.14,13.93,0.09
CSI 300 Index,3136.4,15.86,0.51
코스닥 150,1006.25,16.68,1.69
FnGuide 성장소비주도 지수,2454.44,27.41,1.13
10년국채선물지수,1359.04,-0.41,-0.03
코스피 200 가치저변동성,3374.37,0.62,0.02
코스피 100,1784.6,4.55,0.26
코스피 200 중소형주지수,1100.26,13.35,1.23
TOPIX100,773.14,-2.49,-0.32
KTOP 30,5945.74,24.22,0.41
MSCI Korea Index,525.56,0.97,0.18
MSCI Germany Index,796.86,14.78,1.89
S&P 500 Futures Total Return Index,273.76,5.87,2.19
FnGuide 가치투자형 지수,,,
KRX 건설,514.39,11.08,2.2
S&P GSCI Gold Index(TR),710.01,-3.66,-0.51
S&P GSCI North American Copper Index(TR),308.73,7.1,2.35
MKF 국고채지수(총수익),172.72,-0.05,-0.03
KRW Cash 지수(총수익),143.43,0,0
KRW Cash PLUS 지수(총수익),136.22,0.01,0.01
FnGuide 모멘텀 Plus 지수,3213.55,83.65,2.67
S&P Select Sector Technology Index,,,
S&P Select Sector Financials Index,,,
S&P Biotechnology Select Industry Index,4044.1,187.13,4.85
S&P Select Sector Industrial Index,540.51,8.72,1.64
S&P Select Sector Energy Index,666.61,17.93,2.76
FnGuide 바이오 지수,3592.09,95.47,2.73
KRX 반도체,1732.84,2,0.12
배당성장채권혼합지수,1677.48,-1.21,-0.07
FnGuide 벨류 Plus 지수,1780.59,2.78,0.16
