지수명,종가,대비,등락률
코스피 200,251.46,-1.47,-0.58
코스피 100 동일가중지수,1910.73,-7.19,-0.37
코스피 50,1611.67,-12.34,-0.76
KRX 100 동일가중지수,1832.29,-4.38,-0.24
MKF 범LG그룹주 지수,,,
FnGuide 배당주 지수,10909.56,-56.3,-0.51
MKF 네오밸류 지수,,,
KAP Money Market Index(총수익),109.69,0.02,0.02
KAP Barbell Index(총수익),114.26,0.05,0.04
FnGuide 경기방어주 지수,,,
FnGuide 경기주도주 지수,,,
MSCI AC World Daily TR Net USD,195.94,-0.18,-0.09
Dow Jones U.S Select Dividend Index(시장가격지수),567.68,-1.25,-0.22
MSCI EAFE Index,1886.26,5.43,0.29
MSCI EM Index,990.27,-3.55,-0.36
Hang Seng China H,12185.85,-41.9,-0.34
MKF 스타우량,,,
MKF 현대차그룹,,,
녹색산업지수,,,
사회책임투자지수,,,
KTB INDEX(시장가격),10549.01,4.77,0.05
KIS MSB 단기지수(총수익),10575.95,1.81,0.02
코스피 배당성장 50,2915.13,-8.71,-0.3
FnGuide-RAFI 코리아 대형 지수,5908.97,-50.85,-0.85
MKF SAMs EW 지수,10826.75,-39.45,-0.36
MKF SAMs SW,8191.2,-12.84,-0.16
MKF F15 VW,,,
코스피 200 선물지수,1223.93,-3.16,-0.26
TOPIX,1523.85,2.17,0.14
CSI 300 Index,3572.84,6.54,0.18
스타지수,,,
Dow Jones U.S. Real Estate Index,1022.16,6.85,0.67
Markit iBoxx USD Liquid High Yield Index,,,
10년국채선물지수,1254.91,1.43,0.11
TOPIX100,1001.17,0.13,0.01
MSCI Korea Index,550.24,-3.38,-0.61
KRX 건설,691.07,-5.54,-0.8
S&P GSCI Gold Index(TR),657.29,1.62,0.25
S&P GSCI North American Copper Index(TR),387.89,-0.43,-0.11
MKF 국고채지수(총수익),164.87,0.07,0.04
KRW Cash 지수(총수익),140.02,0.03,0.02
KRX 반도체,1949.8,15.52,0.8
KRX 보험,1577.71,-4.89,-0.31
삼성그룹,5631.03,-25.32,-0.45
WISE 삼성그룹 밸류 인덱스,6369.29,-37.22,-0.58
핵심소비재 지수,,,
KRX 에너지화학,1701.62,-11.45,-0.67
KRX 운송,989.23,4.18,0.42
S&P GSCI Silver Index(TR),587.43,-2.34,-0.4
KRX 은행,709.59,-4.7,-0.66
KRX 자동차,1814.4,-25.58,-1.39
KRX 기계장비,919.87,-6.78,-0.73
FTSE China A50 Index,10875.82,-25.95,-0.24
KRX 증권,697.27,9.58,1.39
KRX 철강,1912.38,-29.49,-1.52
S&P GSCI Soybeans Index(TR),4599.04,23.41,0.51
MSCI Germany Index,1005.41,5.88,0.59
S&P Select Sector Technology Index,,,
S&P Select Sector Financials Index,,,
S&P Biotechnology Select Industry Index,5547.78,-86.25,-1.53
S&P Select Sector Industrial Index,573.81,-2.65,-0.46
KIS 10년 국고채 지수 (총수익),13617.34,13.16,0.1
KRX 100,4050.63,-21.57,-0.53
MKF 웰스 고배당20,7142.3,-72.82,-1.01
MK 머니마켓 지수(총수익),11563.75,1.97,0.02
미국달러선물지수,1134.56,0.72,0.06
MKF 블루칩,6962.51,-19.46,-0.28
MK 통안채지수(총수익),11989.03,2.7,0.02
Nifty 50 Index,8844.6,160.75,1.85
MKF 5대그룹주,4784.87,-41.82,-0.87
FnGuide-KIS 5대 그룹주장기채플러스지수,,,
KIS 통안채 5개월 지수(총수익),10592.67,1.77,0.02
MKF 수출주 지수,8664.57,-61.45,-0.7
MKF 우량업종대표주 지수,9770.26,-81.61,-0.83
KOBI 크레딧 지수(총수익),12308.77,4.19,0.03
주식국채혼합(주식형)지수,1190.03,-4.7,-0.39
CSI A100,3334.11,-3.67,-0.11
주식국채혼합(채권형)지수,1252.36,-1.79,-0.14
MKF 코스닥 엘리트30,,,
MSCI World,1772.86,-1.13,-0.06
코스피 200 정보기술,1565.62,4.33,0.28
MKF LG그룹+ FW,6405.35,-34.1,-0.53
S&P 500 Futures Index(ER),186.15,-0.64,-0.34
MKF 순수가치,15566.21,-120.83,-0.77
코스피 200 건설,345.27,-2.18,-0.63
코스피 200 생활소비재,1227.22,-3.65,-0.3
코스피 200 경기소비재,1768.41,-15.73,-0.88
S&P GSCI Cash Copper Index,177.89,-1.67,-0.93
S&P GSCI Industrial Metals Select Index(TR),165.17,0.13,0.08
코스피 200 금융,704.38,-0.37,-0.05
S&P GSCI Precious Metals Index(TR),1500.84,2.65,0.18
NASDAQ 100,4440.67,0.08,0
NASDAQ Biotechnology 지수(시장가격지수),3529.71,-35.83,-1
S&P GSCI Agriculture Enhanced Index(ER),90.61,0.94,1.05
BNY Latin America 35 ADR,2747.15,12.28,0.45
FnGuide Low Vol 지수,11948.05,-30.88,-0.26
FnGuide 모멘텀 지수,22499.75,101.65,0.45
MKF 중형 가치,8430.58,31.02,0.37
KRX 방송통신,960.19,4,0.42
FnGuide 베타플러스 지수,,,
MKF SAMs FW,7384.3,-31.51,-0.42
FnGuide 생활필수품 지수,,,
FnGuide 소프트웨어 지수,3647.61,79.72,2.23
코스피 200 에너지/화학,941.02,-6.12,-0.65
S&P GSCI Crude Oil Enhanced Index (ER),593.2,18.37,3.2
KIS MSB 6M(총수익),10919.7,1.98,0.02
FnGuide 자동차 지수,,,
코스피 200 중공업,377.18,-0.44,-0.12
FnGuide 중국내수테마 지수,4019.82,19.54,0.49
FnGuide 증권 지수,2197.29,29.59,1.37
