단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
069500,KODEX200,23090,25,0.11,23192.48,23060,23090,22805,403989,9295540160,962853000000,41700000
099140,KODEXChinaH,16340,130,0.8,16278.25,16210,16380,16165,82388,1338395030,189544000000,11600000
101280,KODEXJapan,8985,-5,-0.06,8946.6,8980,9010,8950,3091,27766275,21564000000,2400000
086630,KODEXKRX100,3710,-40,-1.07,3760.76,3690,3740,3690,1379,5112960,7420000000,2000000
091160,KODEX반도체,12540,-200,-1.57,12535.69,12740,12740,12535,6600,83428670,37620000000,3000000
091170,KODEX은행,10410,-250,-2.35,10405.59,10400,10655,10370,5533,57986915,16656000000,1600000
091180,KODEX자동차,7185,-155,-2.11,7192.41,7340,7340,7180,7386,53409095,13292250000,1850000
097690,KODEX중대형가치,46880,-280,-0.59,46945.11,47090,47090,46750,35,1640425,12188800000,260000
097680,KODEX중대형성장,28415,405,1.45,28480.3,28100,28420,28100,359,10184955,10229400000,360000
097700,KODEX중형가치,8010,55,0.69,8026.77,7955,8010,7950,48,382870,14017500000,1750000
069660,KOSEF200,23065,-65,-0.28,23080.32,23150,23150,22990,95323,2198647750,175294000000,7600000
091190,KOSEFBanks,10750,65,0.61,10420.23,10750,10750,10435,68,720390,14405000000,1340000
091200,KOSEFIT,11285,0,0,11195.24,11290,11290,11120,6723,75236040,16927500000,1500000
100910,KOSEFKRX100,3680,30,0.82,3665.51,3700,3700,3640,60278,221222540,56304000000,15300000
097730,KOSEF대형가치,4430,-20,-0.45,4429.16,4450,4450,4415,201,894290,11518000000,2600000
097740,KOSEF중형순수가치,13890,80,0.58,13915.87,13800,13890,13800,119,1642570,6111600000,440000
102110,TIGER200,22700,-100,-0.44,22691.36,22845,22845,22620,384158,8747010770,222460000000,9800000
091210,TIGERKRX100,37180,-110,-0.29,37216.06,37240,37290,37115,20190,750280620,151136700000,4065000
098560,TIGER미디어통신,9600,-90,-0.93,9630.31,9690,9700,9600,1604,15471025,9216000000,960000
091230,TIGER반도체,12650,-180,-1.4,12646.11,12830,12830,12650,1020,12985080,30360000000,2400000
097710,TIGER순수가치,12500,5,0.04,12513.1,12490,12500,12480,151,1885895,13500000000,1080000
091220,TIGER은행,10340,-360,-3.36,10421.95,10700,10700,10340,2974,31232595,33915200000,3280000
097720,TIGER중형가치,7860,60,0.77,7907.42,7800,7860,7800,708,5543640,10375200000,1320000
097750,TREX중소형가치,6030,-30,-0.5,6105.86,6090,6090,6025,167,1011745,11396700000,1890000
