단축코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
068400,AJ렌터카,17950,1000,5.9,17200,18050,16850,419471,7364605450,397526085000,22146300
006840,AK홀딩스,63100,100,0.16,63800,63800,61800,82689,5167028900,835921099100,13247561
027410,BGF리테일,64900,-1900,-2.84,66800,66800,64400,28491,1861130600,1599141192000,24640080
138930,BS금융지주,17450,150,0.87,17200,17500,17100,390240,6785925100,4089929237550,234379899
001460,BYC,282000,-6000,-2.08,291000,293000,269000,2205,609027500,176141430000,624615
001465,BYC우,177000,0,0,175000,179500,173500,165,29110000,38123145000,215385
001040,CJ,181500,2000,1.11,178500,182000,177000,60894,10909785000,5276676537000,29072598
079160,CJ CGV,52300,900,1.75,51200,52300,51200,119417,6194621900,1106736669900,21161313
000120,CJ대한통운,157000,7000,4.67,150500,161000,149000,77254,12068784000,3581538008000,22812344
011150,CJ씨푸드,2700,-20,-0.74,2730,2745,2675,182132,490969375,97013087100,35930773
011155,CJ씨푸드1우,6740,-140,-2.03,6860,6860,6610,737,4904010,1348000000,200000
001045,CJ우,109500,1000,0.92,108500,110000,107000,8591,933240500,247494418500,2260223
097950,CJ제일제당,398000,12000,3.11,386000,398000,384000,39514,15561745000,5221014944000,13118128
097955,CJ제일제당 우,247500,6000,2.48,241500,248500,241500,6829,1676801500,328539667500,1327433
037560,CJ헬로비전,15200,100,0.66,15050,15250,14900,192893,2914018750,1177192348000,77446865
000590,CS홀딩스,69500,1900,2.81,67700,70100,67700,3545,245045400,80236499000,1154482
139130,DGB금융지주,17300,250,1.47,17100,17400,17100,250985,4333316950,2319119564200,134053154
004840,DRB동일,14800,-100,-0.67,14900,14950,14600,57806,851354850,259000000000,17500000
155660,DSR,4175,10,0.24,4165,4180,4115,36259,150405660,66800000000,16000000
069730,DSR제강,3730,10,0.27,3720,3770,3695,27990,103694970,53712000000,14400000
017940,E1,69300,1200,1.76,68500,69300,68000,5515,379077200,475398000000,6860000
007700,F&F,10750,-150,-1.38,10900,10900,10500,12228,130593100,165550000000,15400000
114090,GKL,43450,-750,-1.7,44000,44600,43050,324870,14184675800,2687628861500,61855670
078930,GS,42700,450,1.07,42350,42700,42250,177295,7544822150,3967486640600,92915378
006360,GS건설,36400,50,0.14,36400,36600,36000,276910,10055225650,2584400000000,71000000
001250,GS글로벌,9500,0,0,9470,9570,9360,28133,266634940,214070758000,22533764
007070,GS리테일,25150,100,0.4,25250,25300,24850,164094,4115016500,1936550000000,77000000
078935,GS우,31950,100,0.31,32150,32150,31700,579,18492350,57025190700,1784826
035000,GⅡR,8120,-80,-0.98,8200,8200,8090,10473,84943010,134527361080,16567409
001500,HMC투자증권,12500,100,0.81,12450,12650,12350,66805,834256700,366713887500,29337111
011420,IB월드와이드,2485,-165,-6.23,2630,2670,2445,1189241,2983796005,48761723640,19622424
003560,IHQ,2395,-5,-0.21,2405,2430,2370,407388,974268900,98135647110,40975218
175330,JB금융지주,7250,-20,-0.28,7210,7320,7190,191963,1390149670,721403615750,99503947
001060,JW중외제약,16450,-300,-1.79,16800,16800,16400,31871,527685200,240218905850,14602973
001067,JW중외제약2우B,16700,-100,-0.6,16350,17100,16350,85,1410850,1255723100,75193
001065,JW중외제약우,11750,0,0,11750,11850,11400,385,4503350,1681624750,143117
096760,JW홀딩스,2600,-50,-1.89,2640,2640,2590,31596,82505120,140263424600,53947471
105560,KB금융,40000,700,1.78,39200,40000,39150,1439836,56789128500,15454067720000,386351693
002380,KCC,669000,18000,2.76,654000,672000,652000,27737,18508343000,7037880000000,10520000
009070,KCTC,3350,-45,-1.33,3400,3400,3270,35778,119986600,100500000000,30000000
009440,KC그린홀딩스,8510,-90,-1.05,8620,8680,8420,396411,3380150830,190921679800,22434980
119650,KC코트렐,6430,-20,-0.31,6480,6500,6350,10150,64978320,64300000000,10000000
092220,KEC,1285,-15,-1.15,1305,1320,1240,394760,508462360,75875888440,59047384
109070,KGP,870,10,1.16,864,885,864,1464,1266084,11680141500,13425450
001390,KG케미칼,15000,450,3.09,14700,15100,14550,70946,1058979650,162875895000,10858393
001940,KISCO홀딩스,50700,200,0.4,51000,52700,49900,3535,179559950,187350493200,3695276
083420,KPX그린케미칼,6150,-70,-1.13,6210,6210,6140,36567,224936200,123000000000,20000000
025000,KPX케미칼,59400,-600,-1,60500,60500,59000,1322,78571700,287496000000,4840000
092230,KPX홀딩스,68000,1000,1.49,67000,68000,66400,4464,299456300,287275928000,4224646
025850,KPX화인케미칼,18500,300,1.65,18200,19050,18200,6854,128925600,70300000000,3800000
000040,KR모터스,841,-3,-0.36,847,851,835,401807,337688165,100366099739,119341379
044450,KSS해운,14800,-100,-0.67,15200,15200,14750,20851,310232300,171575512000,11592940
030200,KT,35700,200,0.56,35450,36000,35400,697592,24887167700,9321691545600,261111808
033780,KT&G,93500,2300,2.52,91300,94200,91300,399156,37167778100,12836848469500,137292497
030210,KTB투자증권,2410,0,0,2420,2445,2390,313717,757280345,145356961720,60314092
058850,KTcs,3060,-30,-0.97,3080,3115,3030,86597,264837010,130616100000,42685000
093050,LF,34450,800,2.38,33650,34450,33500,230666,7906324000,1007318000000,29240000
003550,LG,72700,700,0.97,72700,72900,72200,171033,12423665100,12544903423700,172557131
034220,LG디스플레이,35450,300,0.85,35400,35600,35150,700427,24793374650,12684566565000,357815700
001120,LG상사,27650,450,1.65,27350,27700,27200,96615,2658531100,1071714000000,38760000
068870,LG생명과학,35200,200,0.57,34950,35650,34850,175158,6169557350,583510048000,16576990
068875,LG생명과학우,22300,0,0,22700,23300,22100,847,19048750,5267616800,236216
051900,LG생활건강,485000,-2500,-0.51,486000,487500,481000,43664,21092923000,7574825545000,15618197
051905,LG생활건강우,283000,-1000,-0.35,282000,285000,278000,953,268679500,594214251000,2099697
003555,LG우,51100,100,0.2,51100,51200,50900,3839,196160900,169379994700,3314677
032640,LG유플러스,12200,-200,-1.61,12400,12550,12050,1739348,21382064750,5326658604200,436611361
011070,LG이노텍,124500,-4500,-3.49,128500,130000,124000,155141,19574156000,2946554821500,23667107
066570,LG전자,70800,-2300,-3.15,73300,73400,70300,1446421,102710514300,11586265231200,163647814
066575,LG전자우,41400,-1300,-3.04,42900,42900,40900,65017,2691400350,711500068800,17185992
108670,LG하우시스,217500,-1000,-0.46,218500,219500,215000,28240,6129607500,1950468225000,8967670
108675,LG하우시스우,118500,-1000,-0.84,118500,121000,117000,4255,505131500,122331105000,1032330
051910,LG화학,274000,7500,2.81,269000,276500,268500,211712,58108825500,18158281400000,66271100
051915,LG화학우,194000,5000,2.65,190000,194000,187500,34297,6613840500,1480010674000,7628921
002550,LIG손해보험,28800,250,0.88,28600,28800,28300,78235,2238154350,1728000000000,60000000
006260,LS,71600,400,0.56,71300,71900,71000,32575,2322324500,2305520000000,32200000
000680,LS네트웍스,5110,30,0.59,5090,5150,4990,82802,421653150,396504639930,77593863
000687,LS네트웍스전환상환2우B,4950,-60,-1.2,5040,5040,4950,1223,6105690,5961874050,1204419
010120,LS산전,61400,600,0.99,60900,61400,60800,26506,1620682100,1842000000000,30000000
023150,MH에탄올,9000,-100,-1.1,9200,9200,8880,101245,907748090,66406734000,7378526
035420,NAVER,743000,16000,2.2,749000,750000,736000,104565,77891534600,24491270497000,32962679
181710,NHN엔터테인먼트,75900,1400,1.88,75100,77500,74700,511462,38978072800,1151025397500,15165025
