단축코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
068400,AJ렌터카,13400,-100,-0.74,13500,13500,13200,113630,1517534000,296760420000,22146300
006840,AK홀딩스,39000,-800,-2.01,40000,40050,38750,10479,410732900,454254879000,11647561
138930,BS금융지주,15600,-200,-1.27,15800,15900,15500,619139,9749945500,3016726424400,193379899
001460,BYC,186500,-1000,-0.53,187500,187500,185000,271,50220500,116490697500,624615
001465,BYC우,69900,0,0,69900,69900,69900,10,699000,15055411500,215385
001040,CJ,118000,500,0.43,117500,121000,117000,198305,23555077000,3426787496000,29040572
079160,CJ CGV,48500,500,1.04,47450,48600,47450,57197,2759896500,1026323680500,21161313
000120,CJ대한통운,107000,-1000,-0.93,108000,109000,106500,52302,5627296000,2440920808000,22812344
011150,CJ씨푸드,2540,0,0,2540,2560,2520,124381,316279140,91264163420,35930773
011155,CJ씨푸드1우,6800,-20,-0.29,6810,6980,6460,2280,15157100,1360000000,200000
001045,CJ우,43300,600,1.41,42750,43300,42500,11815,508035000,97867655900,2260223
097950,CJ제일제당,263500,-3500,-1.31,267000,267000,261500,36418,9588103500,3451849473000,13099998
097955,CJ제일제당 우,91500,-900,-0.97,92400,92500,91500,487,44792000,121460119500,1327433
037560,CJ헬로비전,18900,-100,-0.53,19050,19100,18850,113973,2155249700,1463745748500,77446865
000590,CS홀딩스,37050,-400,-1.07,37450,37800,37050,564,21038950,42773558100,1154482
139130,DGB금융지주,15950,-200,-1.24,16150,16150,15950,340767,5487043500,2138147806300,134053154
004840,DRB동일,7220,-80,-1.1,7260,7300,7210,19837,143632110,122519508420,16969461
155660,DSR,3720,95,2.62,3625,3725,3615,36521,133854020,59520000000,16000000
069730,DSR제강,3410,5,0.15,3285,3410,3285,14990,50437450,49104000000,14400000
017940,E1,68500,0,0,68200,68700,67800,1436,97993500,469910000000,6860000
007700,F&F,7490,-10,-0.13,7500,7500,7390,111,826890,115346000000,15400000
114090,GKL,39450,-400,-1,39850,40450,38800,192649,7640641400,2440206181500,61855670
078930,GS,53000,-400,-0.75,53600,53600,52800,130283,6924988900,4924515034000,92915378
006360,GS건설,36300,-350,-0.95,36250,37350,36050,512637,18834248200,1851300000000,51000000
001250,GS글로벌,8560,30,0.35,8570,8650,8410,51879,440978740,192889019840,22533764
007070,GS리테일,26000,-650,-2.44,26650,26700,26000,274135,7161459650,2002000000000,77000000
078935,GS우,28100,100,0.36,28000,28100,27650,921,25625100,50153610600,1784826
035000,GⅡR,7610,10,0.13,7600,7610,7530,13080,99338000,126077982490,16567409
001500,HMC투자증권,9590,-10,-0.1,9600,9750,9520,16640,159365900,281342894490,29337111
011420,IB월드와이드,1940,-20,-1.02,1960,1960,1880,53070,101525150,38067502560,19622424
003560,IHQ,2345,-20,-0.85,2380,2405,2325,389865,919773075,96086886210,40975218
175330,JB금융지주,6980,-30,-0.43,7060,7060,6860,487075,3390559520,466434046760,66824362
005560,JS전선,5300,0,0,0,0,0,0,0,60306792000,11378640
001060,JW중외제약,15750,-250,-1.56,16000,16100,15650,36091,570973500,228156075000,14486100
001067,JW중외제약2우B,15600,0,0,15600,15600,15350,114,1763400,1173010800,75193
001065,JW중외제약우,10900,200,1.87,10550,10900,10550,167,1780800,1559975300,143117
096760,JW홀딩스,2490,10,0.4,2480,2585,2450,63605,157965925,134329202790,53947471
105560,KB금융,37800,-900,-2.33,38450,38800,37750,1971872,74915763600,14604093995400,386351693
002380,KCC,485500,2500,0.52,485500,492000,475000,20103,9740502500,5107460000000,10520000
009070,KCTC,18700,50,0.27,18800,18800,18500,1020,18890500,56100000000,3000000
009440,KC그린홀딩스,5840,-110,-1.85,5950,6030,5840,192405,1138424500,131020283200,22434980
119650,KC코트렐,9250,100,1.09,9130,9280,9130,22400,206717200,92500000000,10000000
092220,KEC,805,1,0.12,804,829,798,869251,707192395,47533144120,59047384
109070,KGP,643,-12,-1.83,646,661,642,67527,43550894,8632564350,13425450
001390,KG케미칼,17050,-350,-2.01,17400,17500,17000,24030,412773800,182435000000,10700000
001940,KISCO홀딩스,40700,0,0,42800,42800,40700,471,19363900,150397733200,3695276
083420,KPX그린케미칼,4850,0,0,4850,4870,4820,14620,70911600,97000000000,20000000
025000,KPX케미칼,64000,-500,-0.78,63800,64800,63800,1384,88711100,309760000000,4840000
092230,KPX홀딩스,46000,400,0.88,45600,46000,45600,300,13700000,194333716000,4224646
025850,KPX화인케미칼,19150,350,1.86,19000,19150,18750,3891,73595150,72770000000,3800000
044450,KSS해운,13050,50,0.38,12950,13100,12950,18200,237455500,151287867000,11592940
030200,KT,30400,-450,-1.46,30850,30850,30300,893616,27276538300,7937798963200,261111808
033780,KT&G,73700,100,0.14,74100,74600,73600,184239,13655370900,10118457028900,137292497
030210,KTB투자증권,2255,-5,-0.22,2260,2320,2255,156050,357123900,136008277460,60314092
058850,KTcs,3395,-35,-1.02,3430,3435,3370,43826,148856660,155100575000,45685000
003550,LG,60500,-800,-1.31,61600,62000,60500,332964,20308079200,10439706425500,172557131
034220,LG디스플레이,26850,-100,-0.37,27000,27050,26600,1775024,47519098400,9607351545000,357815700
001120,LG상사,30450,-550,-1.77,30950,31050,30450,227407,6971628050,1180242000000,38760000
068870,LG생명과학,43350,250,0.58,43200,44500,43200,108580,4761764750,718612516500,16576990
068875,LG생명과학우,23150,0,0,23150,23150,23150,15,347250,5468400400,236216
051900,LG생활건강,563000,1000,0.18,569000,569000,562000,33097,18646567172,8793044911000,15618197
051905,LG생활건강우,218000,-1000,-0.46,220000,221000,216000,1462,319240000,457733946000,2099697
003555,LG우,35900,450,1.27,36300,36500,35800,110,3957500,118996904300,3314677
032640,LG유플러스,10350,-250,-2.36,10550,10700,10350,2016274,21081010150,4518927586350,436611361
011070,LG이노텍,89300,700,0.79,89000,90300,88600,163536,14668129700,1801264852700,20170939
066570,LG전자,69600,0,0,70100,70700,69600,810324,56791720700,11389887854400,163647814
066575,LG전자우,27200,-100,-0.37,27400,27600,27000,17334,472234900,467458982400,17185992
093050,LG패션,28700,-1050,-3.53,29800,29850,28400,374686,10807607650,839188000000,29240000
108670,LG하우시스,154500,2000,1.31,153500,157000,151000,100916,15600370500,1385505015000,8967670
108675,LG하우시스우,52600,700,1.35,51900,52900,51600,1662,87183000,54300558000,1032330
051910,LG화학,272000,-4000,-1.45,276000,277000,271500,167963,45898303500,18025739200000,66271100
051915,LG화학우,139500,-2000,-1.41,141500,142500,138000,16787,2354631500,1064234479500,7628921
002550,LIG손해보험,30850,150,0.49,30750,31050,30050,228010,6938002000,1851000000000,60000000
006260,LS,83500,700,0.85,83600,83600,82100,82327,6820034100,2688700000000,32200000
000680,LS네트웍스,4530,-30,-0.66,4560,4680,4525,24352,110682610,351038311530,77491901
000685,LS네트웍스우,40000,-50,-0.12,40000,40050,40000,96,3842000,611360000,15284
000687,LS네트웍스전환상환2우B,4440,0,0,0,0,0,0,0,5798862000,1306050
010120,LS산전,67500,-400,-0.59,67800,68500,67100,50255,3400337500,2025000000000,30000000
023150,MH에탄올,4125,535,14.9,4125,4125,3855,583421,2392757775,28875000000,7000000
035420,NAVER,700000,-4000,-0.57,704000,709000,695000,62770,44062759000,23073875300000,32962679
181710,NHN엔터테인먼트,83700,2100,2.57,82000,84600,81900,204084,17082453800,1269312592500,15165025
016420,NH농협증권,4920,-35,-0.71,4955,4955,4910,32522,160253670,591015142680,120125029
034310,NICE,13900,-50,-0.36,13900,14050,13450,39781,548849400,526563970000,37882300
008260,NI스틸,1850,5,0.27,1845,1865,1825,141172,260042695,52589672500,28426850
004250,NPC,5510,60,1.1,5440,5510,5400,18706,101930260,202327200000,36720000
004255,NPC우,1700,5,0.29,1695,1705,1695,3930,6663250,8976000000,5280000
010060,OCI,200500,-6500,-3.14,206000,206500,198000,231991,46645931500,4781798885500,23849371
005490,POSCO,305000,-5500,-1.77,307500,308500,302500,313943,95779583500,26591984675000,87186835
100840,S&TC,16500,-150,-0.9,16400,16650,16350,2641,43401300,116896098000,7084612
000040,S&T모터스,530,33,6.64,503,543,501,2850384,1491711311,63250930870,119341379
064960,S&T모티브,26850,-200,-0.74,27050,27050,26750,8331,223973500,386730914100,14403386
003570,S&T중공업,12000,50,0.42,12000,12000,11900,62761,749183750,389681268000,32473439
036530,S&T홀딩스,15000,50,0.33,14950,15050,14750,1320,19672000,223851345000,14923423
010950,S-Oil,70400,300,0.43,70300,70900,70300,199557,14065000300,7925828556800,112582792
010955,S-Oil우,53400,100,0.19,53100,53400,52900,1234,65706700,214770901800,4021927
950100,SBI모기지,10950,150,1.39,10900,11150,10750,17540,193053500,259963950000,23741000
034120,SBS,41300,-700,-1.67,42100,42100,41300,10770,448944500,753831636600,18252582
101060,SBS미디어홀딩스,4930,-5,-0.1,4935,4995,4900,197647,978861605,689688216700,139896190
004060,SG세계물산,637,4,0.63,635,643,629,988767,628791214,128944699520,202424960
001380,SG충남방적,1560,-50,-3.11,1590,1675,1540,23488,36594830,65126053200,41747470
002360,SH에너지화학,752,-1,-0.13,753,768,745,1050667,795083353,83572564960,111133730
002365,SH에너지화학우,93500,300,0.32,93200,98800,93000,723,68815400,581570000,6220
009160,SIMPAC,7380,10,0.14,7370,7390,7310,23640,174054500,214646746500,29084925
123700,SJM,10350,-200,-1.9,10450,10450,10250,7198,74414800,161510694300,15604898
025530,SJM홀딩스,4970,-220,-4.24,5110,5230,4960,6932,35279090,74222019760,14934008
003600,SK,182000,-2000,-1.09,182500,184000,180000,80384,14607726500,8547049784000,46961812
034730,SK C&C,132000,-500,-0.38,133000,134000,131000,59896,7945569000,6600000000000,50000000
011790,SKC,32100,-50,-0.16,32150,32500,31900,235381,7591624400,1162503522300,36215063
018670,SK가스,71600,-600,-0.83,72200,72400,71300,7483,537791300,617812414000,8628665
001740,SK네트웍스,8350,-50,-0.6,8440,8460,8340,552938,4648779320,2072366852450,248187647
001745,SK네트웍스우,14300,50,0.35,14500,14500,14050,2915,41604800,1625166400,113648
003605,SK우,78000,-200,-0.26,78200,78200,78000,21,1638200,39773760000,509920
096770,SK이노베이션,132000,500,0.38,132000,133000,131000,341695,45121232500,12205454448000,92465564
096775,SK이노베이션우,62600,-300,-0.48,63300,63300,62600,958,60237100,78151467600,1248426
001510,SK증권,730,0,0,731,738,728,916888,670744360,233685534830,320117171
001515,SK증권우,686,-4,-0.58,690,700,681,2710,1861490,2683984604,3912514
006120,SK케미칼,57300,-200,-0.35,57500,58300,56600,108519,6226060700,1194306593100,20843047
006125,SK케미칼우,16900,50,0.3,16900,16900,16700,4810,81110000,47609412500,2817125
017670,SK텔레콤,215500,-3500,-1.6,219500,219500,213000,293642,63053006040,17400700720500,80745711
000660,SK하이닉스,35400,-900,-2.48,36300,36650,35400,5413166,193949886190,25141111541400,710200891
011810,STX,2350,-60,-2.49,2395,2550,2350,5479973,13365961680,144470005300,61476598
077970,STX엔진,4240,-90,-2.08,4325,4440,4240,93824,402005160,208601355920,49198433
067250,STX조선해양,6720,-100,-1.47,6820,6880,6720,105310,712473000,340491520320,50668381
071970,STX중공업,3370,-105,-3.02,3435,3560,3360,344359,1181095075,385221387290,114309017
028670,STX팬오션,762,0,0,0,0,0,0,0,156864113754,205858417
002710,TCC동양,3440,0,0,3440,3465,3385,1472,5023530,61920000000,18000000
011000,VGX인터,1320,-20,-1.49,1345,1360,1290,1709113,2251711760,73648716240,55794482
024070,WISCOM,4905,-15,-0.3,4910,4940,4850,1370,6701300,73702137600,15025920
000500,가온전선,21150,150,0.71,21000,21500,21000,9650,205528000,87991339050,4160347
