단축코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,1877,-22,-1.16,1891,1933,1859,421267,797848367,99591818080,53059040
054620,APS,4810,40,0.84,4765,4815,4705,13986,66728282,95691203010,19894221
265520,AP시스템,18110,-230,-1.25,18350,18440,17990,85160,1545349515,276746534310,15281421
211270,AP위성,12340,30,0.24,12290,12450,12290,14571,179868310,186115631360,15082304
109960,AP헬스케어,318,-6,-1.85,324,327,317,226582,72668529,70210987542,220789269
139050,BF랩스,2805,0,0,0,0,0,0,0,24247965555,8644551
126600,BGF에코머티리얼즈,3100,25,0.81,3080,3100,3065,48960,150980375,194577386900,62766899
083790,CG인바이츠,1709,-16,-0.93,1732,1733,1690,170538,291269168,131412157038,76894182
035760,CJ ENM,65600,1400,2.18,64500,66100,64400,45984,3013098550,1438552502400,21929154
311690,CJ 바이오사이언스,10290,90,0.88,10210,10300,10170,23475,240345695,134443603980,13065462
051500,CJ프레시웨이,29300,600,2.09,28700,29600,28450,35312,1032683625,347837469800,11871586
058820,CMG제약,1960,-11,-0.56,1990,1994,1945,570862,1120709093,288552811120,147220822
056730,CNT85,782,2,0.26,780,785,769,54476,42190766,57954947452,74111186
065770,CS,1021,9,0.89,1012,1051,1000,175737,180052675,19818763730,19411130
083660,CSA 코스믹,2005,-20,-0.99,2000,2070,1988,393966,794646914,122800597905,61247181
477760,DB금융스팩12호,2085,15,0.72,2075,2090,2075,19308,40096965,12176400000,5840000
099520,DGI,1284,0,0,0,0,0,0,0,58141862016,45281824
060900,DGP,1107,-20,-1.77,1127,1127,1101,32817,36373475,28919300103,26124029
290120,DH오토리드,2610,-65,-2.43,2675,2675,2580,33177,86410860,41301289890,15824249
025440,DH오토웨어,817,0,0,817,840,812,142817,116736009,39854260008,48781224
068790,DMS,6330,0,0,0,0,0,0,0,149939488590,23687123
241520,DSC인베스트먼트,6860,130,1.93,6850,7050,6720,349273,2412288580,185220000000,27000000
180400,DXVX,2590,-100,-3.72,2600,2795,2360,11654915,30255418659,127478328880,49219432
418620,E8,4115,15,0.37,4150,4210,4010,79655,324897790,52879712855,12850477
245620,EDGC,415,0,0,0,0,0,0,0,57474989665,138493951
037370,EG,5940,-20,-0.34,5920,5980,5850,11677,68887020,51232333680,8624972
050120,ES큐브,2690,20,0.75,2725,2725,2645,7807,20941980,36487391340,13564086
214270,FSN,2650,60,2.32,2590,2735,2545,827587,2211796491,112422116000,42423440
130500,GH신소재,2770,65,2.4,2705,2775,2695,53508,146639570,40289794040,14545052
900290,GRT,2900,-75,-2.52,2915,2925,2860,307481,886290276,234465000000,80850000
083450,GST,19420,160,0.83,19590,19680,19210,106081,2052596345,357910600000,18430000
297890,HB솔루션,2320,-20,-0.85,2360,2365,2310,157664,368373135,169686920480,73140914
440290,HB인베스트먼트,2180,-10,-0.46,2190,2200,2150,33358,72645803,59093281800,27107010
078150,HB테크놀러지,1806,-21,-1.15,1839,1842,1799,473509,861544943,167444944296,92715916
225530,HC보광산업,3615,25,0.7,3620,3625,3585,7676,27632640,131364498105,36338727
060560,HC홈센타,782,-3,-0.38,785,790,779,54850,42943579,99837568550,127669525
195940,HK이노엔,45000,2850,6.76,42350,45750,42300,611042,27081165475,1274845095000,28329891
028300,HLB,48000,-50,-0.1,48050,48350,46800,681773,32286466625,6308705328000,131431361
278650,HLB바이오스텝,1380,-9,-0.65,1389,1399,1369,129220,178220514,120067643820,87005539
067630,HLB생명과학,4715,-70,-1.46,4895,4895,4640,364772,1719523043,574838928470,121917058
024850,HLB이노베이션,1711,-14,-0.81,1726,1753,1693,197403,336555991,246904354453,144304123
187420,HLB제넥스,3065,-65,-2.08,3075,3170,3050,43870,135312083,89301478330,29135882
047920,HLB제약,16150,-310,-1.88,16730,16730,16040,141702,2289640140,529580399400,32791356
115450,HLB테라퓨틱스,3780,-45,-1.18,3820,3830,3735,351417,1324870848,318964954140,84382263
046210,HLB파나진,1999,-16,-0.79,2015,2040,1995,47719,95754841,90208309282,45126718
196300,HLB펩,7750,10,0.13,7820,7820,7640,10355,80054150,72023834500,9293398
403870,HPSP,26850,-250,-0.92,27300,27300,26300,441001,11803394925,2241936550800,83498568
036640,HRS,5390,50,0.94,5380,5420,5340,50718,273219710,88152372000,16354800
442770,IBKS제21호스팩,2220,15,0.68,2215,2220,2190,32641,71833210,9346200000,4210000
448760,IBKS제22호스팩,2275,0,0,0,0,0,0,0,10078250000,4430000
