단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
069500,KODEX200,10080,0,0,10114.58,10100,10150,10020,1000980,10102973500,357840000000,35500000
069600,KODEX50,6690,130,1.98,7375.68,6560,6690,6560,2750,18079100,18732000000,2800000
074170,KODEX배당,14400,40,0.28,14382.49,14500,14500,14300,29980,430777600,66960000000,4650000
069660,KOSEF,10050,-20,-0.2,10106.98,10100,10110,10000,491220,4940502300,146730000000,14600000
069550,KOSEF50,6690,150,2.29,7371.54,6500,6880,6500,240,1568000,8028000000,1200000
072350,코덱스 큐 상장지수투자신탁,6600,-210,-3.08,6734.34,6800,6830,6600,359,2425600,78408000000,11880000
