지수명,종가,대비,등락률
MKF 스타우량,,,
MKF 현대차그룹,,,
녹색산업지수,,,
사회책임투자지수,,,
LBMA PM FIX - Gold,1334.5,6.5,0.49
MKF 보험주 Top10 지수,,,
MKF F15 VW,,,
KTB INDEX(시장가격),9952.44,-1.74,-0.02
MKF SAMs EW 지수,12700.8,39.05,0.31
MKF SAMs SW,9712.75,58.09,0.6
스타지수,,,
코스피 200,278.45,-0.75,-0.27
DJ Brazil 20,35752.9,-532.08,-1.47
Hang Seng China H,12565.56,-84.04,-0.66
TOPIX100,640,-7.13,-1.1
KRX 건설,1406.39,4.05,0.29
S&P GSCI Gold Index(TR),742.41,12.12,1.66
MKF 국고채지수(총수익),137.06,-0.03,-0.02
KRX 반도체,1863.11,31.85,1.74
삼성그룹,6540.61,11.84,0.18
핵심소비재 지수,,,
KRX 에너지화학,3030.51,28.68,0.96
KRX 은행,985.45,4.43,0.45
코스피 200 선물지수,1415.8,-3.05,-0.21
KRX 자동차,1908.04,-77.34,-3.9
KRX 기계장비,2942.8,-27.39,-0.92
KRX 증권,1075.63,10.26,0.96
KRX 철강,2404.06,-27.29,-1.12
KRX 정보통신,,,
KRX 100,4490.71,-18.1,-0.4
MKF 웰스 고배당20,7421.08,-63.6,-0.85
MK 머니마켓 지수(총수익),10185.16,1.92,0.02
MKF 블루칩,6732.61,-17.79,-0.26
MK 통안채지수(총수익),10440.49,1,0.01
MKF 5대그룹주,5514.45,-65.94,-1.18
MKF 코스닥 엘리트30,,,
MKF 범LG그룹주 지수,,,
MKF 네오밸류 지수,,,
S&P GSCI Crude Oil Enhanced Index (ER),1118.71,30.78,2.83
MKF 순수가치,16946.75,-128.81,-0.75
NASDAQ 100,2330.07,15.88,0.69
S&P GSCI Agriculture Enhanced Index(ER),135.95,-1.38,-1
BNY Latin America 35 ADR,4822.68,-70.18,-1.43
MKF 중형 가치,9391.82,-12.45,-0.13
KRX 방송통신,816.94,-2.2,-0.27
BNY BRIC Select ADR,5347.27,-40.65,-0.75
Hang Seng China (Hong Kong-listed) 25 Index,8058.13,-75.22,-0.92
코스닥 프리미어,,,
MKF 중소형 가치,6738.01,-34.73,-0.51
코스피 50,1814.34,-5.49,-0.3
