단축코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
068400,AJ렌터카,16350,0,0,16250,16700,16250,113228,1862726550,362092005000,22146300
006840,AK홀딩스,90000,3800,4.41,87200,91900,87100,172116,15506113900,1192280490000,13247561
027410,BGF리테일,131000,-3000,-2.24,127000,133000,125000,133570,17409101500,3227850480000,24640080
138930,BNK금융지주,16200,0,0,16200,16400,16050,605144,9836238350,3796954363800,234379899
001460,BYC,386500,0,0,387000,389000,381000,535,205164000,241413697500,624615
001465,BYC우,194500,0,0,191500,194500,190000,258,49495000,41892382500,215385
001040,CJ,254500,15500,6.49,235500,259500,235500,190318,47876657000,7407178471500,29104827
079160,CJ CGV,107500,-1000,-0.92,109000,110500,105000,176678,18929281000,2274841147500,21161313
000120,CJ대한통운,194500,-4000,-2.02,196500,199000,193500,42010,8201781500,4437000908000,22812344
011150,CJ씨푸드,3200,100,3.23,3110,3225,3110,508649,1613291705,114978473600,35930773
011155,CJ씨푸드1우,13600,100,0.74,13750,14300,13400,11121,153722550,2720000000,200000
001045,CJ우,131000,2500,1.95,127500,134500,127500,17200,2272106000,296089213000,2260223
097950,CJ제일제당,447500,2500,0.56,445000,453000,444000,43723,19587629500,5879388355000,13138298
097955,CJ제일제당 우,214000,-6000,-2.73,215000,222500,213500,14436,3131177500,284070662000,1327433
037560,CJ헬로비전,11750,-100,-0.84,11750,12100,11600,326366,3875779050,910000663750,77446865
000590,CS홀딩스,87700,200,0.23,88800,88800,86600,762,66809300,101248071400,1154482
139130,DGB금융지주,12650,200,1.61,12500,12650,12450,900321,11321212800,2138522398100,169053154
004840,DRB동일,16200,400,2.53,15850,16650,15850,148143,2418035250,291762000000,18010000
155660,DSR,3960,-30,-0.75,3990,3990,3925,19283,76176660,63360000000,16000000
069730,DSR제강,3735,-10,-0.27,3760,3790,3715,41844,156419125,53784000000,14400000
017940,E1,70500,100,0.14,70400,70900,69900,5747,404770200,483630000000,6860000
