단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
069500,KODEX200,18000,-245,-1.34,17804.98,17890,18000,17710,566166,10080594895,604800000000,33600000
086630,KODEXKRX100,2765,-70,-2.47,2839.93,2750,2800,2410,170179,468276505,40922000000,14800000
074170,KODEX배당,24430,295,1.22,24001.61,24435,24435,24430,50,1221700,9772000000,400000
086800,KODEX스타 상장지수간접투자기구투자신탁,1230,-30,-2.38,1333.94,1220,1260,1220,93949,115270910,50553000000,41100000
069660,KOSEF,17615,-445,-2.46,17732.14,17940,17940,17540,51536,906686635,110974500000,6300000
