단축코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
069110,3H,1045,0,0,1060,1070,1045,13967,14664435,10383249580,9936124
060310,3S,1420,-55,-3.73,1500,1510,1400,398304,566019145,44144904620,31087961
900010,3노드디지탈,1580,30,1.94,1570,1605,1555,160016,252720000,91008000000,57600000
038120,AD모터스,1370,60,4.58,1320,1420,1305,1374097,1878707660,40705179700,29711810
013340,AJS,2150,15,0.7,2155,2190,2130,335328,721151380,69996649150,32556581
054620,AP시스템,7150,250,3.62,6980,7210,6940,777134,5520761300,130659257300,18274022
038710,BRN사이언스,4350,10,0.23,4340,4495,4050,246859,1037087645,51071901450,11740667
048550,BT&I,720,-20,-2.7,740,750,685,32811,23212150,21923920800,30449890
032040,C&S자산관리,535,-10,-1.83,550,560,535,567733,307129440,33662273295,62920137
035760,CJ오쇼핑,91500,900,0.99,90600,91900,89000,51684,4676964700,1007726008500,11013399
037150,CJ인터넷,11550,550,5,11200,11650,11050,370893,4219189550,263354587650,22801263
051500,CJ프레시웨이,11900,0,0,11900,11900,11700,135,1594400,128239160000,10776400
050470,CMS,1565,-75,-4.57,1570,1710,1455,19792741,31254633285,127554132470,81504238
023460,CNH,1200,-5,-0.41,1205,1230,1180,20200,24178700,44640000000,37200000
065770,CS,3075,-30,-0.97,3075,3120,3030,59222,182210065,36900000000,12000000
056340,CU전자,1675,80,5.02,1620,1735,1615,3162225,5311294445,47778569325,28524519
068790,DMS,14650,350,2.45,14350,14850,14200,475867,6936961050,291350746950,19887423
009730,DS제강,625,10,1.63,620,630,600,183303,112539265,12486581250,19978530
037370,EG,19400,100,0.52,19650,19650,18950,48242,930755100,145500000000,7500000
080220,EMLSI,2305,25,1.1,2280,2320,2160,46852,106383250,36611919280,15883696
079190,EMW,3395,0,0,3360,3480,3350,22505,75756445,42646767800,12561640
900070,GSMT,3245,0,0,3280,3280,3180,56880,182617365,109607507240,33777352
083450,GST,3640,20,0.55,3580,3685,3580,66771,240980910,27372800000,7520000
028150,GS홈쇼핑,78700,0,0,78700,79600,77800,13202,1033881200,516468750000,6562500
053870,GT&T,1590,-45,-2.75,1635,1690,1570,109852,180526140,12720000000,8000000
032800,G러닝,680,0,0,670,680,670,12649,8490525,16048153000,23600225
041590,H&H,1125,25,2.27,1110,1125,1070,113922,124357120,17733953250,15763514
036640,HRS,4180,-20,-0.48,4200,4270,4150,62473,262661640,68363064000,16354800
007720,HS홀딩스,540,-15,-2.7,570,570,540,978158,538665820,38101962060,70559189
095340,ISC,4435,-65,-1.44,4500,4560,4370,12819,56828245,34105150000,7690000
036420,ISPLUS,1950,-25,-1.27,1995,1995,1945,25178,49347040,64484310150,33068877
099520,ITX시큐리티,4420,30,0.68,4455,4530,4310,203391,901629105,30644284320,6933096
067000,JCE,4950,-30,-0.6,4995,5000,4900,1850,9125725,50778025650,10258187
065310,JH코오스,990,-5,-0.5,995,1090,960,34508,33928040,6642975240,6710076
024120,KB오토시스,11500,-50,-0.43,11700,11750,11200,172159,1970131600,132250000000,11500000
021320,KCC건설,24800,-650,-2.55,25100,25400,24100,18830,461076550,143840000000,5800000
036670,KCI,3820,-120,-3.05,3760,3990,3690,5596,21347765,42020000000,11000000
068060,KCW,2050,5,0.24,2045,2060,2020,16155,32835080,11152000000,5440000
060720,KH바텍,15550,-450,-2.81,15750,15950,15550,149677,2349465450,248800000000,16000000
083470,KJ프리텍,5350,-10,-0.19,5610,5620,5160,185403,993096100,32859700000,6142000
114450,KPX생명과학,3845,5,0.13,3900,3930,3830,33591,129570570,57675000000,15000000
036030,KTH,7650,100,1.32,7850,7850,7570,46396,356587790,263925000000,34500000
019660,KTIC글로벌,500,-5,-0.99,495,510,490,171268,85483040,22801197000,45602394
043610,KT뮤직,1840,-50,-2.65,1850,1905,1840,83060,154330765,54771027920,29766863
060370,KT서브마린,18150,150,0.83,17700,18150,17600,10910,195071450,79497000000,4380000
079950,LIG에이디피,7200,-50,-0.69,7260,7430,7200,239617,1740280920,167040000000,23200000
052300,M&M,210,5,2.44,205,210,205,1257382,259457520,37503989670,178590427
086960,MDS테크,8570,-270,-3.05,8810,8870,8570,168151,1452628860,74134253660,8650438
078150,NCB네트웍스,2250,-85,-3.64,2335,2410,2245,1697324,3960301110,63638975250,28283989
024940,PN풍년,10200,-200,-1.92,10400,10400,10150,6721,68742300,10200000000,1000000
091340,S&K폴리텍,3440,0,0,3480,3495,3430,5667,19588350,27176000000,7900000
046140,SBS콘텐츠허브,8460,-390,-4.41,8690,8730,8390,627139,5356227960,181475925300,21451055
060230,SC팅크그린,230,-5,-2.13,230,235,230,167159,38452745,11723821280,50973136
099220,SDN,9080,280,3.18,8720,9200,8610,757906,6791427160,181600000000,20000000
040610,SG&G,1200,-30,-2.44,1230,1240,1185,62446,74874320,40904635200,34087196
049470,SGA,750,30,4.17,730,805,720,4763341,3647005480,17624055000,23498740
090730,SIMPAC ANC,7440,-60,-0.8,7680,7680,7400,24368,181822740,96720000000,13000000
057500,SKC 솔믹스,9090,0,0,9100,9180,8920,135540,1225151300,112906880910,12420999
033630,SK브로드밴드,6090,300,5.18,5930,6130,5880,5209856,31385898430,1802390839830,295959087
066270,SK컴즈,20500,600,3.02,20300,20500,19700,812983,16439527750,888615017000,43347074
051980,SNH,2350,0,0,2325,2355,2300,37200,86521510,39704824500,16895670
071660,SSCP,7300,180,2.53,7150,7390,7100,463954,3369373740,200421273700,27454969
036540,STS반도체,5320,-70,-1.3,5370,5390,5300,158732,845629940,129279809120,24300716
032540,TJ미디어,4100,0,0,4130,4130,4060,399,1630200,52834650000,12886500
048770,TPC,5520,80,1.47,5600,6090,5210,506899,2883801210,23736000000,4300000
039230,TSC 멤시스,2780,-10,-0.36,2820,2820,2750,97839,270890915,88838169280,31956176
057030,YBM시사닷컴,7830,0,0,7840,7850,7820,2589,20272310,127728417510,16312697
023770,YNK코리아,2890,-85,-2.86,2750,2975,2750,4481,13106725,23189689460,8024114
040300,YTN,4190,5,0.12,4205,4210,4155,17445,72795595,175980000000,42000000
052220,iMBC,2640,15,0.57,2620,2640,2600,20898,54849070,60720000000,23000000
079940,가비아,2170,10,0.46,2175,2175,2125,73994,159165560,27636434280,12735684
078890,가온미디어,7140,-10,-0.14,7230,7230,7020,6682,47385040,60552690660,8480769
030270,가희,9670,-20,-0.21,9670,9680,9540,1152,11090170,11604000000,1200000
114190,강원비앤이,5500,-100,-1.79,5600,5600,5430,15323,83963020,29150000000,5300000
094480,갤럭시아컴즈,2685,15,0.56,2600,2685,2600,11975,31776035,82003771770,30541442
063080,게임빌,30150,-650,-2.11,31000,31000,30150,29186,885852850,166405538250,5519255
041140,게임하이,1485,5,0.34,1480,1500,1470,1521964,2259035885,245087981820,165042412
039240,경남스틸,4250,-50,-1.16,4290,4350,4215,16032,68308720,21250000000,5000000
053950,경남제약,1470,90,6.52,1390,1520,1390,350925,512852150,45128841240,30699892
011040,경동제약,8390,10,0.12,8300,8400,8300,21873,183392260,111377250000,13275000
019120,경윤하이드로,260,0,0,265,270,255,1923024,504684105,23015170620,88519887
024910,경창산업,3040,-30,-0.98,2955,3080,2955,42283,127794800,47302400000,15560000
089890,고려반도체,4150,60,1.47,4140,4310,4090,173360,720871785,22271755200,5366688
049720,고려신용정보,735,-5,-0.68,740,745,735,92419,68099200,10510500000,14300000
014570,고려제약,2140,15,0.71,2140,2140,2100,61655,130892220,23540000000,11000000
098460,고영,16550,50,0.3,16700,16800,16250,14967,246832450,88923150000,5373000
038500,골든오일,2870,-50,-1.71,2900,2935,2855,42317,122144440,120360051000,41937300
014200,광림,1280,-30,-2.29,1310,1310,1275,29638,38142580,19467475200,15208965
026910,광진실업,2515,-25,-0.98,2600,2620,2515,54031,138311765,15090000000,6000000
090150,광진윈텍,2790,45,1.64,2750,2795,2735,7113,19724000,22942786590,8223221
053270,구영테크,1340,-25,-1.83,1360,1380,1325,35397,47595950,17232232500,12859875
066620,국보디자인,2970,95,3.3,2860,3000,2860,36373,107548175,22275000000,7500000
043650,국순당,15350,150,0.99,15200,15900,15050,402614,6231687900,274124966400,17858304
006050,국영지앤엠,780,20,2.63,740,780,740,3489,2627365,15921977760,20412792
078130,국일제지,9170,-140,-1.5,9310,9310,9040,4909,45149020,18340000000,2000000
053740,국제엘렉트릭,8860,540,6.49,8190,8900,8190,124669,1083052860,87288720000,9852000
019010,그랜드백화점,9040,160,1.8,8850,9170,8850,10905,98694070,43572800000,4820000
025340,그린기술투자,1065,135,14.52,1065,1065,1065,30724,32721060,5284506570,4961978
034600,글로웍스,515,-5,-0.96,525,530,515,2891913,1509883850,86336083200,167642880
053260,금강철강,2130,-25,-1.16,2185,2185,2130,41437,88939900,39873600000,18720000
036190,금화피에스시,11300,-200,-1.74,11400,11600,11300,19567,222444400,67800000000,6000000
004790,기륭전자,755,5,0.67,750,800,735,903476,690500895,39259035110,51998722
035460,기산텔레콤,4695,245,5.51,4410,4710,4320,1522666,6925146720,67313811300,14337340
039860,나노엔텍,5880,-120,-2,5970,6040,5800,199749,1172632690,103776319920,17649034
091970,나노캠텍,9040,10,0.11,9130,9190,8990,6676,60471100,52715810800,5831395
010670,나노트로닉스,6480,110,1.73,6450,6690,6400,199318,1296683970,81506574000,12578175
051490,나라엠앤디,2990,-30,-0.99,2990,3020,2940,44389,131907260,42458000000,14200000
036850,나리지*온,4595,-5,-0.11,4600,4640,4535,31482,144004355,77215312785,16804203
067160,나우콤,7180,-150,-2.05,7270,7370,7180,103511,749304850,128477598880,17893816
072530,나이스메탈,315,0,0,315,315,305,189750,59038825,10873141020,34517908
036800,나이스정보통신,4070,5,0.12,4110,4110,4045,15611,63494580,40700000000,10000000
037540,네스테크,430,0,0,430,440,415,351025,148969235,25791400000,59980000
089240,네오세미테크,8500,0,0,0,0,0,0,0,408270631500,48031839
096040,네오엠텔,5090,-90,-1.74,5100,5240,5050,77359,395798450,31885541500,6264350
042510,네오웨이브,325,5,1.56,320,335,315,474920,153576135,15804591400,48629512
042420,네오위즈,11250,-50,-0.44,11300,11400,11200,15559,175720250,99734051250,8865249
095660,네오위즈게임즈,42500,-350,-0.82,42750,42800,41650,206694,8710012450,896745962500,21099905
104200,네오위즈인터넷,8370,-180,-2.11,8550,8550,8310,111258,934132920,112366831500,13424950
085910,네오티스,4695,35,0.75,4620,4785,4620,3817,17900505,43835501325,9336635
092730,네오팜,6290,-50,-0.79,6390,6400,6290,1108,6996430,46931180730,7461237
028090,네오퍼플,490,-10,-2,505,505,485,330582,163745095,22949828650,46836385
101400,네오피델리티,8850,-150,-1.67,9060,9060,8820,20338,181950070,33081477000,3738020
088020,네이쳐글로벌,135,-10,-6.9,140,145,130,1703458,230268170,8339947110,61777386
017680,네티션닷컴,8920,-270,-2.94,9190,9190,8850,1798,16033750,7492800000,840000
033640,네패스,19600,650,3.43,19150,20050,19100,628098,12362915600,364283248000,18585880
087730,네패스신소재,4200,-25,-0.59,4265,4280,4105,25370,105500670,12012000000,2860000
950030,네프로아이티,3170,-150,-4.52,3350,3395,3165,21060,67552080,15850000000,5000000
019430,넥서스투자,165,-15,-8.33,185,190,165,6145076,1067915850,13270219875,80425575
073070,넥센테크,3610,-75,-2.04,3685,3715,3540,144977,525554705,52345000000,14500000
081970,넥스지,3830,-70,-1.79,3900,3900,3830,8123,31321230,22060800000,5760000
038990,넥스콘테크,8730,70,0.81,8670,8900,8600,116167,1017359080,152732467440,17495128
089140,넥스턴,5020,20,0.4,5000,5090,4905,8208,41237915,29116000000,5800000
065500,넥스텍,2780,-20,-0.71,2805,2835,2770,64908,181101705,32398203400,11654030
092600,넥스트칩,18250,250,1.39,18300,18850,17800,54468,1003437250,96706750000,5299000
035450,넥스트코드,700,-25,-3.45,730,740,685,19879,13890530,25928501900,37040717
033280,넷시큐어테크,265,-25,-8.62,285,300,265,2233102,626629375,5167991575,19501855
047730,넷웨이브,1800,15,0.84,1760,1820,1760,25079,44587245,22840027200,12688904
054050,농우바이오,9730,30,0.31,9700,9890,9600,13970,135287820,139139000000,14300000
040160,누리텔레콤,7650,-50,-0.65,7600,7780,7600,34732,266287540,85690893600,11201424
099440,뉴그리드,3060,55,1.83,3030,3080,2985,44198,134392950,17289000000,5650000
041060,뉴로테크,240,0,0,240,240,235,100800,24166140,26183419920,109097583
060260,뉴보텍,630,5,0.8,625,645,625,32108,20243780,12018561030,19077081
012340,뉴인텍,2220,60,2.78,2190,2220,2140,284056,618871990,73333333260,33033033
900100,뉴프라이드(Reg.S),6430,-140,-2.13,6640,6760,6430,156918,1033004530,45010000000,7000000
085670,뉴프렉스,4570,260,6.03,4380,4570,4310,272120,1204425055,55421112060,12127158
053290,능률교육,3680,30,0.82,3610,3720,3560,9873,35842865,42502160000,11549500
023430,니트젠앤컴퍼니,670,-25,-3.6,680,695,665,156602,106132435,23718211720,35400316
