지수명,종가,대비,등락률
코스피 200,433.29,-1.45,-0.33
코스피 200 동일가중지수,2671.5,1.77,0.07
코스피 200 선물지수,2174.16,-8.27,-0.38
FnGuide 한화 ESG 가치 지수,1588.67,-4.17,-0.26
FnGuide 한화 ESG 성장 지수,1721.67,-0.39,-0.02
WISE ESG우수기업 지수,,,
KRX 300,1967.99,-5.66,-0.29
KRX300 헬스케어,3870.79,50.99,1.33
FnGuide KS 로우볼 가중 TR 지수,,,
FnGuide KS 로우사이즈 가중 TR 지수,,,
FnGuide KS 모멘텀 가중 TR 지수,,,
FnGuide KS 밸류 가중 TR 지수,,,
FnGuide KS 퀄리티 가중 TR 지수,,,
S&P Global Infrastructure Index,2671.57,-7.27,-0.27
FnGuide 고배당저변동50 지수,2012.32,-3.12,-0.15
FnGuide 배당주 지수,12452.65,-22.5,-0.18
FnGuide 고배당 채권혼합 지수,2812.19,-3.22,-0.11
10년국채선물지수,1358.17,-2.66,-0.2
국채선물지수,1267.51,-0.92,-0.07
MSCI ACWI Index,731.19,-1.38,-0.19
"KAP 투자적격 크레딧 채권 1년 지수(A- 이상,총수익)",128.46,0,0
S&P 500,4436.52,7.42,0.17
NASDAQ 100 Technology Sector Index,8990.16,-50.68,-0.56
Dow Jones U.S Select Dividend Index(시장가격지수),838.36,6.41,0.77
ICE BofaAML 1-3 Year AAA-A US Corporate Index(총수익지수),529.45,-0.13,-0.02
ICE BofaAML 15+ Year AAA-A US Corporate Index(총수익지수),1427.67,-17.07,-1.18
MSCI EAFE Index,2344.82,-13.7,-0.58
WISE-KAP 스마트베타 Quality 채권혼합지수,1377.85,-2.39,-0.17
MSCI EM Index,1292.53,-7.56,-0.58
SZSE ChiNext Price Index,3490.9,-41.6,-1.18
KOBI HALF CREDIT Index(총수익),11049.71,-1.04,-0.01
FnGuide 주도업종 지수,1856.71,-8.31,-0.45
FnGuide 중형주저변동50지수,2416.69,-1.4,-0.06
코스닥 150,1500.31,3.33,0.22
F-코스닥150 지수,1654.38,4.68,0.28
코스피,3270.36,-5.77,-0.18
코스피 50,3018,-12.53,-0.41
코스피 TR,3886.28,-6.7,-0.17
코스피 중형주,3621.68,-5.23,-0.14
KRX/S&P 탄소효율 그린뉴딜지수,1779.56,-5.53,-0.31
KRX ESG Leaders 150,1943.16,-1.36,-0.07
코스피 200 TR,517.94,-1.71,-0.33
FnGuide K-POP & 미디어 지수,956.92,9.83,1.04
FnGuide K-게임 지수,1830.25,-6.1,-0.33
FnGuide K-뉴딜 디지털 플러스 지수,3276.13,-2.49,-0.08
FnGuide K-반도체 지수,3048.74,-20.92,-0.68
FnGuide 5G 산업 지수,2345.22,-6.48,-0.28
FnGuide 전기&수소차 지수 (시장가격),2410.27,-5.33,-0.22
