단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
105190,ACE 200,34810,370,1.07,34884.43,34550,34880,34505,34036,1178305445,466454000000,13400000
332500,ACE 200TR,22060,265,1.22,22082.67,21870,22090,21845,780,17143970,33090000000,1500000
448870,ACE 23-12 회사채(AA-이상)액티브,104345,20,0.02,104325.09,104365,104365,104345,187,19514995,182499405000,1749000
448880,ACE 24-12 회사채(AA-이상)액티브,106295,85,0.08,106263.54,106285,106300,106255,713,75771850,141478645000,1331000
461260,ACE 25-06 회사채(AA-이상)액티브,10065,15,0.15,10052.52,10060,10065,10060,6537,65791075,62503650000,6210000
461270,ACE 26-06 회사채(AA-이상)액티브,10060,15,0.15,10052.42,10050,10065,10050,11833,119001525,83095600000,8260000
385600,ACE 2차전지&친환경차액티브,13850,-1850,-11.78,13884.61,15700,15760,13730,227418,3327037325,19390000000,1400000
385590,ACE ESG액티브,7875,-50,-0.63,7888.16,7885,7960,7835,471,3719180,25200000000,3200000
380340,ACE Fn5G플러스,8505,125,1.49,8485.02,8440,8545,8375,2198,18674940,5953500000,700000
226380,ACE Fn성장소비주도주,5735,315,5.81,5741.66,5420,5735,5420,7371,41861475,5735000000,1000000
414270,ACE G2전기차&자율주행액티브,9610,180,1.91,9494.95,9430,9655,9425,495425,4755217055,86490000000,9000000
411060,ACE KRX금현물,11630,60,0.52,11609.88,11590,11645,11555,31406,364515810,77921000000,6700000
225130,ACE 골드선물 레버리지(합성 H),16930,125,0.74,16925.75,16805,16955,16780,1264,21358345,10158000000,600000
365780,ACE 국고채10년,87095,125,0.14,87010.8,86945,87180,86895,3515,305894920,288719925000,3315000
114460,ACE 국고채3년,101930,105,0.1,101928.62,101905,102030,101835,372,37896450,24463200000,240000
299070,ACE 국채선물10년인버스,110715,-285,-0.26,110806.13,110940,110940,110715,8,886845,5535750000,50000
299080,ACE 국채선물3년인버스,107330,-115,-0.11,107331.94,0,0,0,0,0,5366500000,50000
411050,ACE 글로벌메타버스테크액티브,8680,105,1.22,8689.7,8570,8690,8565,2227,19222900,13888000000,1600000
446770,ACE 글로벌반도체TOP4 Plus SOLACTIVE,14830,0,0,14757.54,14670,14830,14635,189156,2792497945,94170500000,6350000
435040,ACE 글로벌브랜드TOP10블룸버그,12360,-90,-0.72,12290.95,12385,12385,12250,74370,914010425,11742000000,950000
460960,ACE 글로벌인컴TOP10 SOLACTIVE,10015,55,0.55,10011.02,10030,10030,9935,11871,118191825,8012000000,800000
440640,ACE 단기채권알파액티브,103275,45,0.04,103250.08,103275,103275,103265,479,49465615,47506500000,460000
190620,ACE 단기통안채,102155,55,0.05,102127.89,102105,102155,102105,2016528,205984044025,220654800000,2160000
265690,ACE 러시아MSCI(합성),9590,0,0,43.85,0,0,0,0,0,17741500000,1850000
152500,ACE 레버리지,7010,150,2.19,7028.43,6890,7040,6890,23667,165765900,9814000000,1400000
291130,ACE 멕시코MSCI(합성),14445,140,0.98,14549.82,14420,14500,14350,327,4700520,13000500000,900000
452250,ACE 미국30년국채선물레버리지(합성 H),8320,25,0.3,8321.15,8275,8320,8275,73177,607022175,31616000000,3800000
453850,ACE 미국30년국채액티브(H),9510,45,0.48,9460.75,9490,9515,9490,442538,4204638315,218730000000,23000000
280320,ACE 미국IT인터넷S&P(합성 H),13815,40,0.29,13783.01,13785,13865,13785,1565,21591075,11052000000,800000
360200,ACE 미국S&P500,14830,65,0.44,14740.83,14750,14835,14675,273682,4041850580,581336000000,39200000
438080,ACE 미국S&P500채권혼합액티브,10020,5,0.05,10037.94,10005,10020,9940,3216,32122595,8016000000,800000
309230,ACE 미국WideMoat가치주,21660,195,0.91,21479.6,21465,21660,21360,33321,718112225,69312000000,3200000
367380,ACE 미국나스닥100,15310,85,0.56,15195.87,15215,15320,15130,115767,1762428390,476141000000,31100000
438100,ACE 미국나스닥100채권혼합액티브,10300,20,0.19,10311.24,10225,10300,10215,1401,14354675,8240000000,800000
181480,ACE 미국다우존스리츠(합성 H),80140,960,1.21,79815.42,79650,80140,79650,318,25332620,14425200000,180000
456880,ACE 미국달러SOFR금리(합성),9770,30,0.31,9765.33,9780,9780,9690,5218,50694405,39275400000,4020000
440650,ACE 미국달러단기채권액티브,9760,25,0.26,9753.93,9700,9760,9685,6697,65124335,8784000000,900000
402970,ACE 미국배당다우존스,10555,45,0.43,10476.23,10535,10585,10465,897683,9429115575,112938500000,10700000
391590,ACE 미국스팩&IPO INDXX,5790,65,1.14,5755.52,5730,5790,5725,5083,29103215,2895000000,500000
391600,ACE 미국친환경그린테마INDXX,10815,130,1.22,10848.48,10705,10830,10700,24742,267021505,29200500000,2700000
455660,ACE 미국하이일드액티브(H),9980,25,0.25,9932.77,9945,9980,9945,18098,180261950,8982000000,900000
143460,ACE 밸류대형,9000,130,1.47,8992.78,8870,9000,8870,37,330745,8100000000,900000
245710,ACE 베트남VN30(합성),18450,0,0,18684.76,18450,18575,18375,48301,891722815,276750000000,15000000
371130,ACE 베트남VN30선물블룸버그레버리지(H),11145,25,0.22,11245.75,11120,11300,10780,6868,76729015,8916000000,800000
131890,ACE 삼성그룹동일가중,16355,335,2.09,16351.77,16190,16355,16100,299,4858275,8177500000,500000
108450,ACE 삼성그룹섹터가중,15800,80,0.51,15854.85,15795,15885,15700,32542,514558795,45820000000,2900000
322130,ACE 스마트로우볼,14700,285,1.98,14695.37,14425,14700,14425,58,843610,7350000000,500000
272220,ACE 스마트모멘텀,14305,260,1.85,14298.49,14135,14305,14135,30,426835,7152500000,500000
272230,ACE 스마트밸류,13005,140,1.09,12996.45,12895,13005,12895,39,504335,7803000000,600000
322120,ACE 스마트퀄리티,15345,290,1.93,15326.79,15055,15345,15055,234,3529745,7672500000,500000
322150,ACE 스마트하이베타,13180,145,1.11,13188.7,12985,13190,12985,77,1006415,6590000000,500000
316300,ACE 싱가포르리츠,12465,70,0.56,12506,12305,12470,12270,1154,14224335,8725500000,700000
277540,ACE 아시아TOP50S&P,12650,100,0.8,12598.28,12550,12650,12545,150,1890650,18975000000,1500000
448540,ACE 엔비디아채권혼합블룸버그,14450,140,0.98,14204.67,14250,14640,14235,74105,1057931355,21675000000,1500000
433500,ACE 원자력테마딥서치,11875,-5,-0.04,11898.85,11855,12085,11710,228774,2741496975,9500000000,800000
256440,ACE 인도네시아MSCI(합성),10720,10,0.09,10737.06,10730,10750,10665,8258,88454735,45024000000,4200000
145670,ACE 인버스,5505,-60,-1.08,5500.38,5570,5570,5495,6020,33214930,3303000000,600000
238720,ACE 일본Nikkei225(H),22510,215,0.96,22309.64,22200,22510,22190,40110,899236755,42769000000,1900000
196030,ACE 일본TOPIX레버리지(H),30015,410,1.38,29695.76,29480,30090,29440,9353,278986915,15007500000,500000
205720,ACE 일본TOPIX인버스(합성 H),3275,-10,-0.3,3299.56,3325,3325,3260,5313,17411610,5567500000,1700000
356540,ACE 종합채권(AA-이상)KIS액티브,96125,185,0.19,96032.62,96080,96185,95970,285,27398970,575212000000,5984000
447430,ACE 주주환원가치주액티브,10320,165,1.62,10297.82,10245,10320,10245,234,2409145,5676000000,550000
416090,ACE 중국과창판STAR50,6800,10,0.15,6910.88,6785,6830,6785,1572,10682930,6120000000,900000
168580,ACE 중국본토CSI300,24995,145,0.58,25020.72,24850,25025,24625,62643,1561324225,147970400000,5920000
219900,ACE 중국본토CSI300레버리지(합성),2980,5,0.17,2993.15,2975,3000,2955,3465,10338980,6556000000,2200000
272910,ACE 중장기국공채액티브,98290,165,0.17,98335.35,98280,98290,98280,3,294860,34303210000,349000
371870,ACE 차이나항셍테크,5960,180,3.11,5856.41,5900,6030,5900,31323,187361165,4768000000,800000
251890,ACE 코스닥(합성),12575,-505,-3.86,12544.15,12900,12900,12575,15,189975,2515000000,200000
354500,ACE 코스닥150,14415,-650,-4.31,14532.02,15040,15155,14215,105510,1521377380,23064000000,1600000
305050,ACE 코스피,26685,115,0.43,26654.57,26575,26740,26575,169,4499115,8005500000,300000
457480,ACE 테슬라밸류체인액티브,13085,-40,-0.3,13071.77,13100,13100,12995,661275,8635897890,154403000000,11800000
261920,ACE 필리핀MSCI(합성),13380,65,0.49,13415.73,13315,13380,13275,21,279280,5352000000,400000
152100,ARIRANG 200,35135,420,1.21,35194.86,34845,35200,34845,59690,2094609330,651754250000,18550000
295820,ARIRANG 200동일가중,9320,50,0.54,9350.53,9210,9420,9210,568,5309855,4660000000,500000
253150,ARIRANG 200선물레버리지,32180,730,2.32,32156.6,31575,32220,31515,1497,48063240,9654000000,300000
253160,ARIRANG 200선물인버스2X,4970,-105,-2.07,4962.2,5075,5075,4955,8244,41157975,9443000000,1900000
447660,ARIRANG Apple채권혼합Fn,10940,-10,-0.09,10965.26,10930,11005,10895,64990,711594710,12034000000,1100000
395750,ARIRANG ESG가치주액티브,8180,-25,-0.3,8212.75,8160,8235,8120,598,4902780,37628000000,4600000
395760,ARIRANG ESG성장주액티브,8200,-115,-1.38,8302.39,8270,8360,8200,506,4200960,9840000000,1200000
278420,ARIRANG ESG우수기업,7740,120,1.57,7765.94,7550,7745,7550,990,7642705,1935000000,250000
436180,ARIRANG K-유니콘투자기업액티브,9380,290,3.19,9406.08,9065,9380,9065,38,354410,5628000000,600000
453010,ARIRANG KOFR금리,101310,10,0.01,101321.34,101310,101315,101310,2842,287930780,121369380000,1198000
292750,ARIRANG KRX300,16235,10,0.06,16292.29,16110,16335,16110,508,8260285,9741000000,600000
309210,ARIRANG KRX300헬스케어,8010,315,4.09,8040.87,7615,8060,7615,1432,11348885,2563200000,320000
333940,ARIRANG KS로우볼가중TR,12050,280,2.38,12105.2,11695,12055,11695,512,6134725,5422500000,450000
333950,ARIRANG KS로우사이즈가중TR,15490,85,0.55,15543.67,15330,15585,15330,508,7880890,6970500000,450000
333960,ARIRANG KS모멘텀가중TR,14160,-335,-2.31,14204.74,14470,14530,14065,509,7290945,6372000000,450000
333970,ARIRANG KS밸류가중TR,14815,180,1.23,14865.58,14565,14835,14565,508,7503495,5926000000,400000
333980,ARIRANG KS퀄리티가중TR,13945,-35,-0.25,14008.25,13935,14035,13915,509,7111740,4880750000,350000
429740,ARIRANG K리츠Fn,7115,-55,-0.77,7044.01,7215,7215,7080,523,3725495,3557500000,500000
449450,ARIRANG K방산Fn,11760,-175,-1.47,11800.48,12380,12995,11760,715490,8785962000,47628000000,4050000
269530,ARIRANG S&P글로벌인프라,13670,50,0.37,13793.3,13720,13720,13625,900,12296240,6835000000,500000
433850,ARIRANG TDF2030액티브,10490,20,0.19,10606.55,10525,10525,10460,607,6353865,2098000000,200000
433860,ARIRANG TDF2040액티브,10555,30,0.29,10695.43,10660,10660,10540,193,2036760,2216550000,210000
433870,ARIRANG TDF2050액티브,10870,110,1.02,10917.78,10870,10870,10750,224,2411880,1956600000,180000
433880,ARIRANG TDF2060액티브,11115,-35,-0.31,11180.07,11105,11125,11005,593,6586510,2334150000,210000
251590,ARIRANG 고배당저변동50,10510,290,2.84,10542.67,10220,10535,10125,3261,34080370,6306000000,600000
161510,ARIRANG 고배당주,11220,245,2.23,11248.65,11010,11235,11000,140961,1571409925,171666000000,15300000
251600,ARIRANG 고배당주채권혼합,10655,80,0.76,10676.01,10500,10675,10470,4837,51466850,11720500000,1100000
461460,ARIRANG 국고채10년액티브,50160,155,0.31,50121.56,50160,50160,50160,1,50160,156599520000,3122000
451600,ARIRANG 국고채30년액티브,94035,530,0.57,93640.94,93660,94215,93660,62,5830400,324326715000,3449000
289670,ARIRANG 국채선물10년,51440,175,0.34,51447.9,51445,51455,51440,39,2006420,8436160000,164000
298340,ARIRANG 국채선물3년,53055,55,0.1,53078.65,53055,53055,53055,1,53055,4881060000,92000
442580,ARIRANG 글로벌D램반도체iSelect,13240,425,3.32,13378.83,13070,13310,13030,9245,121880280,4634000000,350000
189400,ARIRANG 글로벌MSCI(합성 H),16700,165,1,16594.7,16250,16700,16250,42,697005,6513000000,390000
419650,ARIRANG 글로벌수소&차세대연료전지MV,6550,40,0.61,6557.17,6510,6550,6475,10581,69073890,5567500000,850000
