단축코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
004560,BNG스틸,8930,1160,14.93,8050,8930,8050,620453,5318378190,134653782230,15078811
004565,BNG스틸우,10000,1270,14.55,8990,10000,8900,6690,64660900,1098520000,109852
001460,BYC,131000,0,0,131000,132000,130500,66,8649000,81824565000,624615
001465,BYC우,55600,-1700,-2.97,57000,57000,55600,40,2228800,11975406000,215385
084680,C&우방랜드,1150,-110,-8.73,1220,1230,1125,1580190,1853056085,37807497750,32876085
001040,CJ,50100,300,0.6,49800,50400,49250,160849,8020186800,1423660938600,28416386
079160,CJ CGV,20350,350,1.75,20050,20450,20050,107140,2168534200,419520296800,20615248
001049,CJ3우B,47950,450,0.95,47600,47950,47400,800,38000500,25565645350,533173
001045,CJ우,20050,-150,-0.74,20150,20250,20000,3621,72911050,45317471150,2260223
097950,CJ제일제당,167000,0,0,168000,170500,165500,111522,18689026000,1983153891000,11875173
097959,CJ제일제당 3우B,162000,2500,1.57,161500,162000,159000,124,19938000,50727546000,313133
097955,CJ제일제당 우,51400,-600,-1.15,52300,52300,51400,691,35648800,68230056200,1327433
069730,DSR제강,6810,130,1.95,6680,6810,6590,328717,2205467010,98064000000,14400000
017940,E1,78000,-500,-0.64,78400,79500,76300,2503,195778400,535080000000,6860000
007700,F&F,3590,0,0,3555,3590,3390,10970,37629400,55286000000,15400000
078930,GS,33000,-550,-1.64,33700,33900,33000,251892,8371665200,3066207474000,92915378
006360,GS건설,95700,-700,-0.73,97000,98600,95700,338628,32843921100,4880700000000,51000000
001250,GS글로벌,26900,-500,-1.82,27400,27400,26500,94225,2534243500,303079125800,11266882
078935,GS우,16800,-250,-1.47,16900,17250,16800,890,15050500,29985076800,1784826
035000,GⅡR,12100,50,0.41,11900,12100,11900,22164,265962900,200465648900,16567409
001500,HMC투자증권,24950,300,1.22,24700,25700,24700,321152,8105919400,731960919450,29337111
011420,IB스포츠,1810,-30,-1.63,1845,1845,1805,7320,13315000,35516587440,19622424
003560,IHQ,1325,-140,-9.56,1400,1430,1305,893027,1220168575,53444163850,40335218
005560,JS전선,18400,-100,-0.54,18400,18650,18300,12925,238758000,209366976000,11378640
105560,KB금융,51500,-1700,-3.2,52300,53000,51500,1628980,84551200600,18352112189500,356351693
002380,KCC,318000,-22000,-6.47,339000,341000,317000,86527,28179995000,3345360000000,10520000
009070,KCTC,13950,150,1.09,14000,14000,13800,1120,15499500,41850000000,3000000
009440,KC코트렐,10150,-50,-0.49,10150,10450,10150,143159,1465797750,172550000000,17000000
017300,KDS,340,5,1.49,335,340,325,1246388,415148130,13789848180,40558377
092220,KEC,770,70,10,710,805,705,11059160,8707811360,77316454600,100410980
006200,KEC홀딩스,1165,130,12.56,1040,1190,1035,771321,885970765,31544626945,27076933
109070,KGP,2010,-30,-1.47,2040,2085,1985,41270,84033750,22064674500,10977450
001390,KG케미칼,9860,50,0.51,9940,10200,9700,255194,2522123340,105502000000,10700000
001940,KISCO홀딩스,77400,-600,-0.77,78000,78000,75700,3129,239495500,286014362400,3695276
083420,KPX그린케미칼,20200,-500,-2.42,20550,20550,20200,240,4915000,40400000000,2000000
025000,KPX케미칼,45900,-50,-0.11,45900,46000,45500,1600,73309500,211140000000,4600000
092230,KPX홀딩스,51500,500,0.98,51200,54800,51200,82,4214500,217569269000,4224646
025850,KPX화인케미칼,42500,-1500,-3.41,43500,43700,42200,12365,530463000,136000000000,3200000
044450,KSS해운,4760,-50,-1.04,4800,4850,4690,7970,37965100,55182394400,11592940
030200,KT,39000,0,0,38800,39100,38400,1078110,41813804750,10183360512000,261111808
033780,KT&G,67300,-700,-1.03,67700,67900,66700,538874,36207356584,9340735048100,138792497
030210,KTB투자증권,5090,-60,-1.17,5150,5200,5030,526553,2681210160,306998728280,60314092
003550,LG,76100,-900,-1.17,77900,78000,76100,418962,32277725600,13131597669100,172557131
015940,LG데이콤,18400,-50,-0.27,18500,18650,18200,283139,5214533700,1532483578400,83287151
034220,LG디스플레이,36900,0,0,37000,37650,36100,2531388,93339654800,13203399330000,357815700
001120,LG상사,26150,-800,-2.97,27200,27250,26100,369010,9784200550,1013574000000,38760000
068870,LG생명과학,64400,-2100,-3.16,66500,66900,64300,143842,9331112800,1067558156000,16576990
068875,LG생명과학우,32300,-1250,-3.73,33450,33450,32000,1340,43227500,7629776800,236216
051900,LG생활건강,216500,-2000,-0.92,218000,219000,215500,36201,7858327000,3381339650500,15618197
051905,LG생활건강우,63200,100,0.16,63400,63400,62100,251,15781500,132700850400,2099697
003555,LG우,32300,150,0.47,32200,32500,32000,2894,93384700,107064067100,3314677
011070,LG이노텍,121000,-2000,-1.63,124500,127500,121000,523347,65002638000,2069555081000,17103761
066570,LG전자,143000,-1500,-1.04,144000,145500,140000,682875,97597958500,20684637402000,144647814
066575,LG전자우,58300,-600,-1.02,59100,60400,58000,126564,7452723100,1001943333600,17185992
032640,LG텔레콤,7800,0,0,7870,7870,7710,942356,7319378780,2162771754000,277278430
045820,LG파워콤,6330,-50,-0.78,6380,6410,6300,57596,364814480,844422000000,133400000
093050,LG패션,21850,-650,-2.89,22400,22550,21850,114098,2519717300,638894000000,29240000
108670,LG하우시스,134000,1500,1.13,133500,137000,130000,114190,15157281000,1201667780000,8967670
108675,LG하우시스우,55500,600,1.09,54000,55900,53000,617,33877500,57294315000,1032330
051910,LG화학,188500,-2000,-1.05,190500,191500,184000,490806,91845594000,12492102350000,66271100
051915,LG화학우,72600,-400,-0.55,73900,74200,71500,80203,5815207700,553859664600,7628921
002550,LIG손해보험,21300,100,0.47,21300,21550,20700,282901,5960643950,1278000000000,60000000
006260,LS,82600,-3000,-3.5,85200,86500,82300,340299,28458174300,2659720000000,32200000
000680,LS네트웍스,6420,-80,-1.23,6700,6700,6400,33734,219633780,506146078260,78838953
000685,LS네트웍스우,55700,100,0.18,55500,59000,55000,404,22405600,938322200,16846
010120,LS산전,80500,2800,3.6,79500,82200,78400,1366434,109779224500,2415000000000,30000000
023150,MH에탄올,5650,50,0.89,5700,5810,5530,47222,267715060,39550000000,7000000
035420,NHN,170000,-4000,-2.3,173000,175000,169500,216203,37024162500,8181709680000,48127704
016420,NH투자증권,12200,-250,-2.01,12500,12500,11900,481236,5840185450,634474810400,52006132
008260,NI스틸,2690,-15,-0.55,2735,2805,2690,202318,550510930,76468226500,28426850
010060,OCI,249500,0,0,250000,253500,243000,139483,34485692500,5216945449500,20909601
005490,POSCO,461500,-10000,-2.12,467000,471000,461000,350667,162381621000,40236724352500,87186835
100840,S&TC,28100,-450,-1.58,28600,28750,27700,31967,897464200,199077597200,7084612
064960,S&T대우,24200,0,0,24000,24700,23650,37081,896529200,281658621200,11638786
000040,S&T모터스,465,-15,-3.13,480,480,460,368013,171176295,51425381370,110592218
003570,S&T중공업,15850,-150,-0.94,15900,16000,15600,81933,1291690600,514704008150,32473439
036530,S&T홀딩스,13600,-250,-1.81,13850,13850,13450,79208,1076921950,208398552800,15323423
010950,S-Oil,57500,-700,-1.2,58200,58600,57500,207509,12025808700,6473510540000,112582792
010955,S-Oil우,47350,-400,-0.84,47750,47900,47150,6932,328902200,190438243450,4021927
034120,SBS,45600,-150,-0.33,46050,46150,45000,11344,516235400,832317739200,18252582
101060,SBS미디어홀딩스,4280,0,0,4335,4360,4245,36322,154825680,598755693200,139896190
001380,SG글로벌,8380,-20,-0.24,8500,8500,8380,770,6463200,107644242500,12845375
001385,SG글로벌우,3230000,0,0,0,0,0,0,0,106590000,33
004060,SG위카스,2100,-55,-2.55,2115,2195,2050,64454,135173900,42509241600,20242496
002360,SH에너지화학,595,-10,-1.65,600,605,590,1725582,1026081140,66124569350,111133730
002365,SH에너지화학우,108000,-1000,-0.92,113000,113000,105500,41,4381500,671760000,6220
009160,SIMPAC,2810,0,0,2830,2950,2810,309420,891618050,77446410000,27561000
025530,SJM,4750,-70,-1.45,4820,4900,4740,43585,209937400,84640919750,17819141
003600,SK,105000,-2000,-1.87,106000,107000,104500,214386,22571643000,4930990260000,46961812
011790,SKC,19350,-550,-2.76,20000,20000,19300,381818,7473681650,700761469050,36215063
018670,SK가스,54200,300,0.56,53700,54200,53500,1583,85238400,467673643000,8628665
001740,SK네트웍스,12300,-500,-3.91,12750,12850,12300,1433743,17890965900,2988860615400,242996798
001745,SK네트웍스우,15300,-150,-0.97,15200,15900,14600,6100,93840500,1738814400,113648
096770,SK에너지,100500,-2500,-2.43,102500,103000,99500,567060,57032572700,9292789182000,92465564
096775,SK에너지우,43000,-300,-0.69,44000,44000,42800,2296,99597000,53682318000,1248426
003605,SK우,47450,-800,-1.66,48000,48000,47450,263,12604200,24195704000,509920
001510,SK증권,2930,-80,-2.66,3000,3005,2920,4613515,13607699715,937943311030,320117171
001515,SK증권우,1985,-45,-2.22,1965,2005,1965,12970,25630400,7766340290,3912514
006120,SK케미칼,60700,-4700,-7.19,64000,64600,60000,1275429,78314168500,1265172952900,20843047
006125,SK케미칼우,19000,-1950,-9.31,20350,20600,18600,108471,2089411000,53525375000,2817125
017670,SK텔레콤,175000,0,0,175000,175500,172500,313215,54508092000,14130499425000,80745711
011810,STX,22100,-800,-3.49,22750,23300,22100,307830,6894624150,882704895800,39941398
077970,STX엔진,24050,-850,-3.41,24650,25100,24050,550836,13394679950,689677833650,28676833
071970,STX엔파코,16400,-100,-0.61,16450,16650,16300,92801,1524202200,365720000000,22300000
067250,STX조선해양,14850,-400,-2.62,15250,15400,14850,505891,7599270500,1069200000000,72000000
028670,STX팬오션,11100,-100,-0.89,11200,11350,11000,1214727,13528411400,2285022090600,205857846
011000,VGX인터,3970,-695,-14.9,4525,4580,3970,3036132,12575859235,163188636500,41105450
024070,WISCOM,3940,-60,-1.5,3995,4005,3940,93827,371117790,59202124800,15025920
000500,가온전선,30900,0,0,31400,31400,30750,1817,56209300,120510000000,3900000
035250,강원랜드,16500,100,0.61,16600,16900,16400,1128873,18810297550,3530018250000,213940500
092970,거북선1호,5100,0,0,0,0,0,0,0,5079600000,996000
101380,거북선2호,5110,0,0,0,0,0,0,0,14089240900,2757190
102000,거북선3호,5120,0,0,0,0,0,0,0,6239436800,1218640
108890,거북선4호,5300,-10,-0.19,5210,5300,5200,510,2682100,16126363000,3042710
000860,건설화학,14000,-300,-2.1,14350,14350,14000,19668,278390300,91000000000,6500000
000800,경남기업,16900,600,3.68,16550,17400,16200,186170,3124076000,266999398900,15798781
008020,경남에너지,2880,-10,-0.35,2890,2930,2865,12086,34831040,85816108800,29797260
002100,경농,4520,-40,-0.88,4560,4560,4440,9709,43731180,98046710000,21691750
