지수명,종가,대비,등락률
코스피 200,295.2,2.09,0.71
코스피 200 동일가중지수,2085.64,-5.93,-0.28
코스피 200 로우볼 가중 지수,1372.78,11.48,0.84
코스피 200 모멘텀 가중 지수,1300.94,8.97,0.69
코스피 200 밸류 가중 지수,1389.9,10.06,0.73
코스피 200 선물지수,1430.06,12.79,0.9
코스피 200 퀄리티 가중 지수,1440.11,9.05,0.63
WISE ESG우수기업 지수,,,
KRX 300,1375.35,9.15,0.67
S&P Global Infrastructure Index,2526.17,-25.83,-1.01
S&P KOREA Dividend Opportunity Index,4165.55,7.2,0.17
FnGuide 고배당저변동50 지수,1878.76,10.24,0.55
FnGuide 배당주 지수,12325.69,83.47,0.68
FnGuide 고배당 채권혼합 지수,2638.16,7.12,0.27
10년국채선물지수,1266.2,0,0
국채선물지수,1232.51,-0.11,-0.01
MSCI ACWI Index,514.48,4.58,0.9
KAP Money Market Credit Index(Total Retrun),,,
KAP Money Market Index(총수익),115.92,0,0
"KAP 투자적격 크레딧 채권 1년 지수(A- 이상,총수익)",120.88,0.02,0.02
S&P 500,2784.17,24.35,0.88
NASDAQ 100 Technology Sector Index,4335.39,31.41,0.73
Dow Jones U.S Select Dividend Index(시장가격지수),708.74,-2.34,-0.33
KAP Barbell Index(총수익),120.25,0,0
MSCI EAFE Index,1984.2,14.59,0.74
WISE 스마트베타 LowVOL 지수,,,
WISE 스마트베타 MOMENTUM INDEX,,,
WISE 스마트베타 QUALITY INDEX,6465.2,-10.17,-0.16
WISE 스마트베타 VALUE INDEX,,,
WISE 스마트베타 지수,,,
WISE-KAP 스마트베타 Quality 채권혼합지수,1197.84,-0.69,-0.06
MSCI EM Index,1075.74,15.77,1.49
SZSE ChiNext Price Index,1581.93,40.62,2.64
KOBI HALF CREDIT Index(총수익),10457.37,0.38,0
FnGuide 주도업종 지수,1417.78,-14.88,-1.04
FnGuide 중형주저변동50지수,1944.21,0.24,0.01
Hang Seng China H,10768.35,145.73,1.37
코스닥 150,1392.42,1.77,0.13
코스피,2285.8,12.93,0.57
코스피 100 동일가중지수,1994.82,2.3,0.12
코스피 50,1967.22,21.27,1.09
코스피 중형주,2662.57,-19.58,-0.73
KRX ESG Leaders 150,1512.49,-4.9,-0.32
코스피 200 정보기술,2256.26,49.32,2.23
코스피 200 건설,279.85,-7.37,-2.57
코스피 200 경기소비재,1398.62,1.6,0.11
코스피 200 고배당커버드콜 ATM 지수(시장가격지수),1398.57,7.4,0.53
코스피 200 금융,798.23,8.93,1.13
코스피 200 산업재,514.09,-0.75,-0.15
코스피 200 생활소비재,1287.62,-1.9,-0.15
코스피 200 에너지/화학,1380.07,6.22,0.45
코스피 200 중공업,275.77,-9.54,-3.34
코스피 200 철강/소재,829.34,-19.55,-2.3
MKF 5대그룹주,5460.9,51,0.94
KRX ESG 사회책임경영지수(S),1601.57,8.65,0.54
FnGuide KQ고배당포커스 지수,6021.34,-15.74,-0.26
FnGuide 셀렉트 밸류 지수,2179.6,4.68,0.22
FnGuide 셀렉트벨류 채권혼합지수,1637.16,1.37,0.08
FnGuide 고배당포커스 지수,7299.15,64.71,0.89
