지수명,종가,대비,등락률
코스피 200,293.64,-3.77,-1.27
코스피 200 동일가중지수,2088.95,4.81,0.23
코스피 200 로우볼 가중 지수,1372.21,-15.2,-1.1
코스피 200 모멘텀 가중 지수,1293.72,-19.12,-1.46
코스피 200 밸류 가중 지수,1392.98,-16.17,-1.15
코스피 200 선물지수,1419.44,-16.9,-1.18
코스피 200 퀄리티 가중 지수,1441.65,-19.04,-1.3
WISE ESG우수기업 지수,,,
KRX 300,1360.15,-16.45,-1.19
S&P Global Infrastructure Index,2503.98,-27.39,-1.08
S&P KOREA Dividend Opportunity Index,4154.82,25.16,0.61
FnGuide 고배당저변동50 지수,1912.68,-0.53,-0.03
FnGuide 배당주 지수,12458.37,11.54,0.09
FnGuide 고배당 채권혼합 지수,2656.22,2.05,0.08
10년국채선물지수,1272.88,2.3,0.18
국채선물지수,1235.25,0.57,0.05
MSCI ACWI Index,515.61,-5.99,-1.15
KAP Money Market Credit Index(Total Retrun),,,
KAP Money Market Index(총수익),116.13,0.01,0.01
"KAP 투자적격 크레딧 채권 1년 지수(A- 이상,총수익)",121.2,0.03,0.02
S&P 500,2833.28,-20.3,-0.71
NASDAQ 100 Technology Sector Index,4303.82,-60.81,-1.39
Dow Jones U.S Select Dividend Index(시장가격지수),712.17,-3.15,-0.44
KAP Barbell Index(총수익),120.67,0.09,0.07
MSCI EAFE Index,1950.8,-36.48,-1.84
WISE 스마트베타 LowVOL 지수,,,
WISE 스마트베타 MOMENTUM INDEX,,,
WISE 스마트베타 QUALITY INDEX,6562.16,6.93,0.11
WISE 스마트베타 VALUE INDEX,,,
WISE 스마트베타 지수,,,
WISE-KAP 스마트베타 Quality 채권혼합지수,1206.76,0.93,0.08
MSCI EM Index,1062.37,-16.3,-1.51
SZSE ChiNext Price Index,1511.71,14.1,0.94
KOBI HALF CREDIT Index(총수익),10486.58,2.72,0.03
FnGuide 주도업종 지수,1364.39,-8.31,-0.61
FnGuide 중형주저변동50지수,1955.79,10.24,0.53
Hang Seng China H,10943.08,-76.85,-0.7
코스닥 150,1290.31,-7.09,-0.55
F-코스닥150 지수,1346.73,-15.86,-1.16
코스피,2282.79,-20.92,-0.91
코스피 100 동일가중지수,1998.12,0.26,0.01
코스피 50,1955.69,-31.98,-1.61
코스피 중형주,2656.08,14.32,0.54
KRX ESG Leaders 150,1522.8,-2.14,-0.14
코스피 200 정보기술,2163.58,-51.73,-2.34
코스피 200 건설,295.23,4.38,1.51
코스피 200 경기소비재,1455.33,3.95,0.27
코스피 200 고배당커버드콜 ATM 지수(시장가격지수),1435.03,11.36,0.8
코스피 200 금융,768.8,-3.34,-0.43
코스피 200 산업재,499.72,2.47,0.5
코스피 200 생활소비재,1262.85,-3.32,-0.26
코스피 200 에너지/화학,1438.41,-4.66,-0.32
코스피 200 중공업,298.44,2.32,0.78
코스피 200 철강/소재,889.73,2.68,0.3
