지수명,종가,대비,등락률
코스피 200,294.85,-0.64,-0.22
코스피 200 동일가중지수,2058.92,-0.5,-0.02
코스피 200 로우볼 가중 지수,1377.75,-2.19,-0.16
코스피 200 모멘텀 가중 지수,1299.07,-4.89,-0.38
코스피 200 밸류 가중 지수,1396.96,-1.63,-0.12
코스피 200 선물지수,1426.44,-3.62,-0.25
코스피 200 퀄리티 가중 지수,1445.31,-3.09,-0.21
WISE ESG우수기업 지수,,,
KRX 300,1360.27,-4.62,-0.34
S&P Global Infrastructure Index,2522.14,-2.01,-0.08
S&P KOREA Dividend Opportunity Index,4147.56,9.46,0.23
FnGuide 고배당저변동50 지수,1906.88,5.8,0.31
FnGuide 배당주 지수,12397.78,103.87,0.84
FnGuide 고배당 채권혼합 지수,2647.13,9.71,0.37
10년국채선물지수,1267.66,2.71,0.21
국채선물지수,1233.42,0.57,0.05
MSCI ACWI Index,521.74,2.74,0.53
KAP Money Market Credit Index(Total Retrun),,,
KAP Money Market Index(총수익),116.02,0,0
"KAP 투자적격 크레딧 채권 1년 지수(A- 이상,총수익)",120.99,0,0
S&P 500,2846.07,25.67,0.91
NASDAQ 100 Technology Sector Index,4414.5,54.13,1.24
Dow Jones U.S Select Dividend Index(시장가격지수),706.66,1.98,0.28
KAP Barbell Index(총수익),120.39,0.09,0.07
MSCI EAFE Index,1992.82,-4.21,-0.21
WISE 스마트베타 LowVOL 지수,,,
WISE 스마트베타 MOMENTUM INDEX,,,
WISE 스마트베타 QUALITY INDEX,6570.45,-9.61,-0.15
WISE 스마트베타 VALUE INDEX,,,
WISE 스마트베타 지수,,,
WISE-KAP 스마트베타 Quality 채권혼합지수,1205.16,-0.16,-0.01
MSCI EM Index,1088.82,8.44,0.78
SZSE ChiNext Price Index,1632.32,2.71,0.17
KOBI HALF CREDIT Index(총수익),10468.96,1.23,0.01
FnGuide 주도업종 지수,1350.57,-36.89,-2.66
FnGuide 중형주저변동50지수,1903.2,-3.88,-0.2
Hang Seng China H,11074.16,100.24,0.91
코스닥 150,1221.71,-30.42,-2.43
F-코스닥150 지수,1287.91,-21.12,-1.61
코스피,2273.03,-7.17,-0.31
코스피 100 동일가중지수,1972.59,-2.63,-0.13
코스피 50,1970.49,-6.04,-0.31
코스피 중형주,2612.64,3.43,0.13
KRX ESG Leaders 150,1509.44,-1.34,-0.09
코스피 200 정보기술,2233.78,-16.44,-0.73
코스피 200 건설,288.8,5.75,2.03
코스피 200 경기소비재,1435.77,3.47,0.24
코스피 200 고배당커버드콜 ATM 지수(시장가격지수),1410.38,4.62,0.33
코스피 200 금융,787.26,5.16,0.66
코스피 200 산업재,505.73,2.63,0.52
코스피 200 생활소비재,1274.52,-10.04,-0.78
코스피 200 에너지/화학,1416.37,18.43,1.32
코스피 200 중공업,274.83,0.63,0.23
코스피 200 철강/소재,863.05,4.63,0.54
MKF 5대그룹주,5568.31,-16.65,-0.3
KRX ESG 사회책임경영지수(S),1584.22,-9.54,-0.6
FnGuide KQ고배당포커스 지수,5879.01,-54.24,-0.91
FnGuide KQ 모멘텀&로우볼 지수,,,
FnGuide KQ 모멘텀&밸류 지수,,,
FnGuide 셀렉트 밸류 지수,2177.81,4.21,0.19
FnGuide 셀렉트벨류 채권혼합지수,1638.33,1.76,0.11
WISE 게임 테마 지수 (시장가격지수),4685.63,13.43,0.29
FnGuide 고배당포커스 지수,7393.68,38.08,0.52
KTB INDEX(시장가격),10532.79,6.57,0.06
S&P Global 1200 Information Technology Index (Price Return),4480.96,55.04,1.24
KIS 종합채권국공채3M~1.5Y지수,117.47,0.01,0.01
KIS 통안채 5개월 지수(총수익),11196.6,0.53,0
FnGuide 모멘텀&로우볼 지수,,,
FnGuide 모멘텀&밸류 지수,,,
S&P Oil & Gas Exploration & Production Select Industry Index(PR),6546.81,49,0.75
S&P U.S. Treasury Bond Futures Excess Return Index,240.79,0.36,0.15
MKF 수출주 지수,9264.73,52.91,0.57
MKF 우량업종대표주 지수,11255.78,53.84,0.48
TOPIX,1753.48,6.62,0.38
주식국채혼합(주식형)지수,1363,-1.81,-0.13
CSI A100,3678.8,-5.84,-0.16
KOBI 크레딧 지수(총수익),13285.34,4.52,0.03
FnGuide 중소형고배당포커스 지수,9729.7,73.01,0.76
FnGuide 중소형 모멘텀&로우볼 지수,,,
FnGuide 중소형모멘텀&밸류 지수(시장가격 지수),,,
KIS 종합채권국공채4~5Y지수,127.05,0.1,0.08
WISE 지주회사테마지수(시장가격지수),,,
Hang Seng China Enterprises Futures Index(Price Return),13238.68,125.2,0.95
주식국채혼합(채권형)지수,1379.5,-0.29,-0.02
FnGuide 헬스케어 지수,2927.24,-111.69,-3.68
FnGuide 헬스케어 채권혼합 지수,1702.66,-18.38,-1.07
S&P ASIA50 Price Return Index,3195.49,-2.56,-0.08
S&P WCI Gold Excess Return Index,292.58,1.8,0.62
KIS MSB 단기지수(총수익),11146.55,0.52,0
MSCI Russia 25% Capped Price Return Index,,,
MSCI MEXICO IMI 25/50 Price return Index,9851.65,11.11,0.11
다우존스 인터넷 종합지수,663.9,13.83,2.13
Dow Jones U.S. Real Estate Index,1211.34,9.2,0.77
코스피 배당성장 50,3100.3,4.5,0.15
FnGuide-RAFI 코리아 대형 지수,7238.66,14.8,0.2
VN30 Index(PR),915.68,-7.85,-0.85
MKF SAMs EW 지수,13395.14,-78.56,-0.58
MKF SAMs SW,9988.5,-65.01,-0.65
FnGuide 스마트 모멘텀 지수,,,
FnGuide 스마트 밸류 지수,,,
MSCI Indonesia Index,6560.1,-0.07,0
Nikkei 225,22614.25,103.77,0.46
CSI 300 Index,3577.75,-3.96,-0.11
KIS 종합채권국공채1-10Y지수,132.7,0.1,0.08
코스닥,748.89,-12.68,-1.66
MSCI Philippines IMI Index,1733.9,16.05,0.93
FnGuide 성장소비주도 지수,2320.22,-8.41,-0.36
코스피 200 중소형주지수,1035.07,4.17,0.4
코스피 200 TR,328.11,-0.7,-0.21
코스피 200 가치저변동성,4313.12,-0.85,-0.02
코스피 200 미국채 혼합지수,2494.29,-14.06,-0.56
S&P GSCI Grains Select Index ER,18.16,0.5,2.83
FnKorea 50 지수,,,
KRX 미디어&엔터테인먼트,1789.85,5.58,0.31
KRX 정보기술,1138.93,-4.13,-0.36
KTOP 30,7462.24,13.22,0.18
iEdge Emerging Markets Futures Index(ER),1186.46,19.93,1.71
MSCI Korea ESG Universal Capped Index,1257.3,-3.87,-0.31
MSCI Korea Index,685.14,-2.23,-0.32
MSCI Korea TR Index,1117.24,-3.64,-0.32
MSCI Korea IMI Momentum Capped,3188.8,-33.82,-1.05
MSCI Korea IMI Enhanced Value Capped,5539.55,-22.55,-0.41
MSCI Korea IMI Quality Capped,5376.44,-88.42,-1.62
S&P GSCI Crude Oil Index ER,209.84,2.36,1.14
FnGuide 가치투자형 지수,,,
KRX 건설,635.32,9.51,1.52
FnGuide 게임 산업 지수,1172.03,5.61,0.48
KRX 경기소비재,1294.43,1.24,0.1
FnGuide 고배당 Plus 지수,14291.64,-15.63,-0.11
S&P GSCI Gold Index(TR),651.4,3.39,0.52
S&P GSCI GOLD Index Excess Return,98.55,0.51,0.52
S&P GSCI North American Copper Index(TR),385.81,0.98,0.25
MKF 국고채지수(총수익),175.39,0.09,0.05
ROBO Global Robotics & Automation UCITS Price Return Index,663.62,8.5,1.3
KRX 기계장비,524.9,2.5,0.48
KAP 단기변동금리부은행채권지수,122.94,0.01,0.01
KRW Cash 지수(총수익),147.9,0.01,0.01
KRW Cash PLUS 지수(총수익),140.8,0.01,0.01
MSCI Germany Index,1007.49,-7.66,-0.75
FnGuide 모멘텀 Plus 지수,3464.37,-38.25,-1.09
S&P Select Sector Technology Index,,,
S&P 500 Futures Total Return Index,393.4,2.83,0.72
S&P500 Dividend Aristocrats Covered Call(7.2% Premium) Index,125.17,0.28,0.22
S&P Select Sector Financials Index,,,
S&P Biotechnology Select Industry Index,7591.83,2.7,0.04
S&P Select Sector Industrial Index,754.33,9.93,1.33
S&P Select Sector Energy Index,769.8,6.89,0.9
미국달러선물지수,1147.69,-10.7,-0.92
FTSE Russell 2000 Index,1685.2,5,0.3
FnGuide 바이오 지수,3475.39,-126.99,-3.53
KRX 반도체,2412.72,-55.67,-2.26
배당성장채권혼합지수,1694.17,1.48,0.09
FnGuide 벨류 Plus 지수,1912.76,-11.31,-0.59
KRX 보험,1641.45,-13.05,-0.79
삼성그룹,6845.02,-40.69,-0.59
WISE 삼성그룹 밸류 인덱스,7296.11,-32.95,-0.45
MSCI World,2161.76,10.68,0.5
FnGuide 성장투자형 지수,,,
KRX 에너지화학,2483.5,56.19,2.31
KRX 운송,543.69,2.55,0.47
S&P GSCI Silver Index(TR),528.92,2.37,0.45
KRX 은행,870.88,12,1.4
TOPIX100,1108.21,4.78,0.43
KRX 자동차,1471.58,12.13,0.83
KAP 한국종합채권지수,234.34,0.24,0.1
FTSE China A50 Index,11843.75,-12.81,-0.11
KRX 증권,658.58,3.79,0.58
KRX 철강,1660.04,5.32,0.32
KRX 최소변동성지수,5648.28,-24.95,-0.44
코스피 100,2238.7,-5.97,-0.27
