단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
152100,ARIRANG 200,27405,-150,-0.54,27391.36,27465,27475,27370,74660,2046331210,479587500000,17500000
253150,ARIRANG 200선물레버리지,21800,40,0.18,21803.01,21845,21925,21760,3207,70274985,8720000000,400000
253160,ARIRANG 200선물인버스2X,17405,230,1.34,17375.57,17245,17405,17240,1111,19238645,5221500000,300000
189400,ARIRANG AC 월드(합성 H),10955,-105,-0.95,10943.62,10970,10970,10955,323,3535835,4929750000,450000
141240,ARIRANG K100EW,9405,-45,-0.48,9391.2,9415,9455,9405,50,470900,5643000000,600000
122090,ARIRANG KOSPI50,18140,-160,-0.87,18085.22,18190,18235,18135,1886,34220200,41359200000,2280000
222170,ARIRANG S&P 배당성장,9990,-45,-0.45,9970.66,10000,10040,9990,51,510120,4995000000,500000
251590,ARIRANG 고배당저변동50,10365,-50,-0.48,10348.22,10355,10365,10275,4057,41942375,15029250000,1450000
161510,ARIRANG 고배당주,12080,-70,-0.58,12059.36,12105,12130,12045,62019,748042030,167066400000,13830000
251600,ARIRANG 고배당주채권혼합,10130,-20,-0.2,10117.47,10125,10140,10110,17484,176909120,11143000000,1100000
190160,ARIRANG 단기유동성,106245,5,0,106247.29,0,0,0,0,0,160004970000,1506000
213630,ARIRANG 미국고배당주(합성 H),11390,-165,-1.43,11402.1,11420,11420,11390,342,3902570,7403500000,650000
190150,ARIRANG 바벨 채권,110555,175,0.16,110538.04,110555,110555,110555,1,110555,53066400000,480000
161490,ARIRANG 방어주,6915,0,0,6937.31,6885,6935,6885,501,3468315,8989500000,1300000
195970,ARIRANG 선진국(합성 H),8990,-130,-1.43,9008.15,8985,8990,8965,1461,13127530,4854600000,540000
236460,ARIRANG 스마트베타 LowVOL,9775,-45,-0.46,9760.62,9755,9775,9750,50,488480,14662500000,1500000
222190,ARIRANG 스마트베타 Momentum,8560,-25,-0.29,8545.79,8555,8580,8555,50,428310,6420000000,750000
222200,ARIRANG 스마트베타 Quality,9030,-35,-0.39,9022.44,9040,9065,9030,50,451845,10384500000,1150000
222180,ARIRANG 스마트베타 Value,10125,-100,-0.98,10114.85,10175,10190,10100,2584,26130640,10631250000,1050000
244820,ARIRANG 스마트베타4종결합,9680,-60,-0.62,9673.66,9690,9715,9680,50,484400,7744000000,800000
238670,ARIRANG 스마트베타Quality채권혼합,9865,-5,-0.05,9853.46,9855,9865,9835,1211,11932145,7892000000,800000
195980,ARIRANG 신흥국(합성 H),8975,-80,-0.88,8988.33,8985,8985,8950,11199,100475225,5385000000,600000
256450,ARIRANG 심천차이넥스트(합성),8750,20,0.23,8790.31,8750,8750,8750,3,26250,7000000000,800000
263190,ARIRANG 우량단기채권,50020,0,0,50018.15,50020,50020,50020,2001,100090020,60024000000,1200000
239660,ARIRANG 우량회사채50,101210,15,0.01,101212.01,101205,101210,101205,367,37143470,145742400000,1440000
161500,ARIRANG 주도주,5395,-50,-0.92,5366.77,5400,5425,5385,131,706795,6474000000,1200000
204420,ARIRANG 차이나H 레버리지(합성 H),6175,-55,-0.88,6163.56,6230,6230,6175,317,1960225,7410000000,1200000
227830,ARIRANG 코스피,21245,-80,-0.38,21232.45,21235,21275,21185,1502,31903815,56299250000,2650000
148020,KBSTAR 200,27415,-95,-0.35,27387.07,27430,27485,27375,203942,5592849560,766249250000,27950000
252400,KBSTAR 200선물레버리지,11055,-125,-1.12,11073.03,11140,11145,11050,424021,4706756280,16582500000,1500000
252410,KBSTAR 200선물인버스,9440,55,0.59,9438.27,9410,9440,9390,3116,29343585,21712000000,2300000
252420,KBSTAR 200선물인버스2X,8760,90,1.04,8764.23,8710,8770,8700,454356,3971167445,132276000000,15100000
105780,KBSTAR 5대그룹주,4785,-35,-0.73,4774.93,4800,4810,4770,3423,16347655,21054000000,4400000
234310,KBSTAR V&S셀렉트밸류,10045,5,0.05,10031.71,10035,10050,9985,2218,22194425,30135000000,3000000
241390,KBSTAR V&S셀렉트밸류채권혼합,9795,-5,-0.05,9788.78,9770,9795,9760,1014,9919400,9795000000,1000000
114100,KBSTAR 국고채,110855,55,0.05,110852.97,110820,110860,110790,278,30807805,123049050000,1110000
196230,KBSTAR 단기통안채,102980,5,0,102976.73,102980,102980,102980,10,1029800,418922640000,4068000
252730,KBSTAR 모멘텀로우볼,10490,-130,-1.22,10498.43,10505,10540,10485,50,525455,8916500000,850000
252720,KBSTAR 모멘텀밸류,10905,-75,-0.68,10853.42,10890,10915,10845,60,653140,9269250000,850000
219390,KBSTAR 미국원유생산기업(합성 H),7855,-230,-2.84,7819.53,7930,7930,7840,3652,28695270,10997000000,1400000
140570,KBSTAR 수출주,8420,-80,-0.94,8401.72,8430,8430,8410,32,269435,7578000000,900000
140580,KBSTAR 우량업종,9840,-80,-0.81,9830.61,9900,9900,9840,6102,60187920,10824000000,1100000
136340,KBSTAR 우량회사채,102715,65,0.06,102709.39,102675,102715,102675,155,15916425,52384650000,510000
196220,KBSTAR 일본레버리지(H),12720,-520,-3.93,12743.52,13140,13140,12720,38315,491986530,7632000000,600000
183710,KBSTAR 주식혼합,31500,-155,-0.49,31471.7,31520,31520,31500,572,18024590,11025000000,350000
174360,KBSTAR 중국본토대형주CSI100,12600,70,0.56,12620.18,12600,12640,12295,426,5337700,32760000000,2600000
250730,KBSTAR 차이나H주(H),10650,0,0,10628.02,0,0,0,0,0,8520000000,800000
183700,KBSTAR 채권혼합,53200,-105,-0.2,53252.9,53240,53240,53200,2398,127701335,22344000000,420000
253280,KBSTAR 헬스케어,7820,-35,-0.45,7815.2,7840,7875,7790,123,961415,6647000000,850000
253290,KBSTAR 헬스케어채권혼합,9270,5,0.05,9253.96,9250,9270,9230,281,2600805,7416000000,800000
105190,KINDEX 200,27340,-150,-0.55,27324.68,27370,27415,27295,145969,3992329505,745015000000,27250000
225130,KINDEX 골드선물 레버리지(합성 H),11065,165,1.51,10679.14,11050,11110,10900,67823,745080990,28769000000,2600000
232590,KINDEX 골드선물 인버스2X(합성 H),7135,-50,-0.7,7367.27,7190,7225,7135,4743,34053315,5708000000,800000
114460,KINDEX 국고채,105680,60,0.06,105665.62,105645,105680,105545,4,422490,9511200000,90000
190620,KINDEX 단기자금,100200,5,0,100201.71,100205,100205,100190,653,65432875,106412400000,1062000
152500,KINDEX 레버리지,4675,-35,-0.74,4674.47,4690,4695,4655,11709,54750700,9350000000,2000000
181480,KINDEX 미국리츠부동산(합성 H),63470,-1240,-1.92,63584.27,63650,63650,63470,168,10666200,6347000000,100000
211260,KINDEX 배당성장,31870,-285,-0.89,31895.98,31980,31980,31870,20,638500,6374000000,200000
143460,KINDEX 밸류대형,6715,-65,-0.96,6701.04,6740,6750,6690,9141,61313375,18130500000,2700000
245710,KINDEX 베트남VN30(합성),10255,40,0.39,10204.52,10100,10325,10100,7382,75953435,15382500000,1500000
131890,KINDEX 삼성그룹EW,9905,40,0.41,9889.48,9875,9905,9875,20,197800,4952500000,500000
108450,KINDEX 삼성그룹SW,7755,-10,-0.13,7737.21,7745,7755,7700,5020,38761695,27918000000,3600000
256440,KINDEX 인도네시아MSCI(합성),9405,-25,-0.27,9386,9430,9500,9400,252549,2382153935,9405000000,1000000
145670,KINDEX 인버스,8765,45,0.52,8763.29,8740,8770,8730,7419,64893180,9641500000,1100000
238720,KINDEX 일본Nikkei225(H),11845,-195,-1.62,11872.26,12040,12040,11840,5150,61511815,7107000000,600000
196030,KINDEX 일본레버리지(H),13180,-420,-3.09,13107.1,13180,13495,13175,75724,1003235165,7908000000,600000
205720,KINDEX 일본인버스(합성 H),7210,90,1.26,7237.39,7220,7225,7175,30762,221507340,10815000000,1500000
168580,KINDEX 중국본토CSI300,19210,95,0.5,19042.19,19065,19300,19065,266029,5109394055,103734000000,5400000
219900,KINDEX 중국본토레버리지(합성),3020,-20,-0.66,3037.32,3040,3050,3010,14045,42486670,26274000000,8700000
227930,KINDEX 코스닥 150,4525,-5,-0.11,4535.95,4540,4540,4525,10282,46626730,2262500000,500000
251890,KINDEX 코스닥(합성),9090,100,1.11,9080.14,9090,9090,9090,1,9090,9090000000,1000000
234790,KINDEX 코스닥150 레버리지,16050,145,0.91,16180.11,15880,16065,15880,200,3207205,1605000000,100000
261920,KINDEX 필리핀MSCI(합성),16065,-240,-1.47,16303.13,16170,16430,16060,189792,3076738045,11245500000,700000
226380,KINDEX 한류,5975,30,0.5,6048.09,6020,6030,5965,111,664985,4780000000,800000
152380,KODEX 10년국채선물,65135,215,0.33,65172.41,65055,65135,65000,865,56321730,9379440000,144000
069500,KODEX 200,27240,-150,-0.55,27262.31,27305,27345,27220,3256829,88813137160,4903200000000,180000000
237350,KODEX 200 대형,20625,-180,-0.87,20610.66,20735,20735,20625,34,704615,13406250000,650000
226980,KODEX 200 중소형,9910,20,0.2,9909.6,9855,9910,9855,2,19765,11892000000,1200000
