단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
466400,1Q 25-08 회사채(A+이상)액티브,106535,15,0.01,106506.95,106535,106545,106535,132,14062720,116549290000,1094000
491610,1Q CD금리액티브(합성),100525,35,0.03,100498.58,100520,100525,100520,1239,124548065,215726650000,2146000
451060,1Q K200액티브,10145,-50,-0.49,10150.86,10170,10300,10105,13071,132754265,109566000000,10800000
463290,1Q 단기금융채액티브,105495,30,0.03,105475.73,105495,105495,105485,5891,621459230,248018745000,2351000
479080,1Q 머니마켓액티브,51285,10,0.02,51281.16,51275,51285,51275,32550,1669179195,434999370000,8482000
472350,1Q 차이나H(H),12645,-230,-1.79,12927.65,12860,12860,12635,112,1424260,16438500000,1300000
495330,1Q 코리아밸류업,9250,-35,-0.38,9235.69,9280,9290,9245,434,4021470,11100000000,1200000
492500,1Q 현대차그룹채권(A+이상)&국고통안,50020,20,0.04,50029.38,50010,50025,50010,73,3651550,74029600000,1480000
473440,ACE 11월만기자동연장회사채AA-이상액티브,10415,0,0,10416.19,10415,10420,10415,1629,16969950,111648800000,10720000
105190,ACE 200,32265,-150,-0.46,32302.64,32425,32670,32235,223088,7248803700,348462000000,10800000
332500,ACE 200TR,20830,-75,-0.36,20836.78,20910,21065,20805,17304,361828130,33328000000,1600000
448880,ACE 24-12 회사채(AA-이상)액티브,106180,20,0.02,106178.5,106160,106190,106160,1042,110641980,193884680000,1826000
461260,ACE 25-06 회사채(AA-이상)액티브,10695,15,0.14,10689.1,10680,10695,10680,8619,92114075,117538050000,10990000
461270,ACE 26-06 회사채(AA-이상)액티브,10820,5,0.05,10817.34,10815,10820,10810,12616,136445010,149424200000,13810000
475260,ACE 2월만기자동연장회사채AA-이상액티브,10335,5,0.05,10337.07,10330,10335,10330,1194,12334080,121953000000,11800000
385600,ACE 2차전지&친환경차액티브,7855,-210,-2.6,7835.96,8070,8170,7735,31032,249587770,13353500000,1700000
475270,ACE 5월만기자동연장회사채AA-이상액티브,10325,0,0,10329.37,10330,10330,10325,126,1301500,94680250000,9170000
475280,ACE 8월만기자동연장회사채AA-이상액티브,10320,0,0,10316.35,10320,10320,10315,420,4333335,89061600000,8630000
469150,ACE AI반도체포커스,11755,-335,-2.77,11759.49,12090,12145,11720,69249,823362985,47607750000,4050000
487340,ACE CD금리&초단기채권액티브,101440,30,0.03,101411.65,101420,101440,101420,11105,1126376780,253802880000,2502000
385590,ACE ESG액티브,7285,-50,-0.68,7269.67,7350,7350,7285,480,3500705,20398000000,2800000
380340,ACE Fn5G플러스,7960,-10,-0.13,7913.19,7960,7995,7960,133,1062645,4776000000,600000
226380,ACE Fn성장소비주도주,5225,-5,-0.1,5255.73,5230,5275,5220,192,1005445,3657500000,700000
414270,ACE G2전기차&자율주행액티브,10815,-100,-0.92,10994.41,10850,11035,10795,73883,805578285,63267750000,5850000
475050,ACE KPOP포커스,7660,185,2.47,7674.85,7770,7820,7495,193950,1481887540,21448000000,2800000
411060,ACE KRX금현물,16350,-450,-2.68,16345.52,16755,16755,16330,579128,9494508915,454530000000,27800000
225130,ACE 골드선물 레버리지(합성 H),23165,-930,-3.86,23667.4,23520,24465,23100,18816,437842895,6949500000,300000
483340,ACE 구글밸류체인액티브,10685,-110,-1.02,10728.66,11095,11095,10685,8798,94346420,36863250000,3450000
365780,ACE 국고채10년,91625,0,0,91581.59,91435,91665,91400,7878,721210875,204507000000,2232000
114460,ACE 국고채3년,103595,50,0.05,103629.28,103535,103620,103515,314,32509485,18647100000,180000
494340,ACE 글로벌AI맞춤형반도체,10560,-200,-1.86,10741.21,10755,10755,10555,116681,1244848940,8448000000,800000
