단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
480040,ACE 미국반도체데일리타겟커버드콜(합성),10670,140,1.33,10853.83,10705,10745,10655,221751,2370317125,87494000000,8200000
402970,ACE 미국배당다우존스,12670,145,1.16,12660.75,12600,12685,12595,293340,3711171575,447251000000,35300000
181480,ACE 미국부동산리츠(합성 H),88125,470,0.54,88145.87,87560,88220,87560,261,22945260,14100000000,160000
480020,ACE 미국빅테크7+데일리타겟커버드콜(합성),11090,100,0.91,11193.13,11070,11125,11070,325827,3615867110,176331000000,15900000
465580,ACE 미국빅테크TOP7 Plus,15420,145,0.95,15474.42,15465,15480,15375,279082,4302139580,447951000000,29050000
465610,ACE 미국빅테크TOP7 Plus레버리지(합성),21455,565,2.7,21499.23,21420,21520,21280,36266,776111725,66510500000,3100000
465620,ACE 미국빅테크TOP7 Plus인버스(합성),12030,-155,-1.27,11999.34,12005,12065,11990,962,11564705,2406000000,200000
473590,ACE 미국주식베스트셀러,15050,155,1.04,15097.17,15000,15130,14960,48684,732119100,22575000000,1500000
391600,ACE 미국친환경그린테마INDXX,8905,-10,-0.11,8944.43,8935,8935,8865,10196,90435610,18255250000,2050000
455660,ACE 미국하이일드액티브(H),10135,10,0.1,10148.88,10140,10140,10120,2045,20716770,6081000000,600000
143460,ACE 밸류대형,9755,-15,-0.15,9752.36,9880,9880,9715,36,351100,4877500000,500000
245710,ACE 베트남VN30(합성),21220,65,0.31,21212.16,21150,21250,21075,20718,439253435,282226000000,13300000
371130,ACE 베트남VN30선물블룸버그레버리지(H),12450,-60,-0.48,12334.41,12405,12505,12305,4850,60158405,7470000000,600000
131890,ACE 삼성그룹동일가중,17800,70,0.39,17858.94,17740,17845,17700,47,836495,10680000000,600000
108450,ACE 삼성그룹섹터가중,14870,130,0.88,14877.17,14805,14870,14745,6356,94134180,49071000000,3300000
316300,ACE 싱가포르리츠,13635,10,0.07,13660.53,13625,13650,13585,1246,16963525,6817500000,500000
277540,ACE 아시아TOP50S&P,16330,-105,-0.64,16597.25,16625,16625,16305,3869,63384900,24495000000,1500000
483420,ACE 애플밸류체인액티브,10465,315,3.1,10477.92,10400,10485,10335,430508,4489005720,64883000000,6200000
483320,ACE 엔비디아밸류체인액티브,9965,295,3.05,9971.92,9890,9990,9860,657860,6549471570,163924250000,16450000
448540,ACE 엔비디아채권혼합블룸버그,21695,95,0.44,21691.23,21725,21725,21660,106497,2310251245,138848000000,6400000
433500,ACE 원자력테마딥서치,16730,65,0.39,16756.56,16695,16870,16695,4196,70200880,15057000000,900000
256440,ACE 인도네시아MSCI(합성),10570,85,0.81,10534.17,10490,10570,10485,18091,190789340,31710000000,3000000
487920,ACE 인도시장대표BIG5그룹액티브,10045,-65,-0.64,10130.56,10265,10265,10045,20095,202406615,10547250000,1050000
487910,ACE 인도컨슈머파워액티브,10675,-10,-0.09,10693.13,10750,10760,10675,30337,325205405,30957500000,2900000
145670,ACE 인버스,5445,-15,-0.27,5426.64,5460,5460,5430,760,4132370,2722500000,500000
238720,ACE 일본Nikkei225(H),28070,130,0.47,27888.54,28120,28325,28020,3498,98608755,25263000000,900000
196030,ACE 일본TOPIX레버리지(H),41310,125,0.3,40879.5,41605,41850,41310,1117,46484715,20655000000,500000
205720,ACE 일본TOPIX인버스(합성 H),2475,-10,-0.4,2513.57,2500,2500,2460,12173,30143850,6682500000,2700000
469160,ACE 일본반도체,11815,290,2.52,11575.62,11570,11845,11570,1213,14289655,33082000000,2800000
