단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
108630,FIRST 스타우량,16425,25,0.15,16480.83,16500,16745,16425,2901,48325695,18396000000,1120000
107560,GIANT 현대차그룹,22920,605,2.71,23051.62,22400,23230,22400,2516,57769285,28879200000,1260000
138210,GREAT GREEN,7325,-5,-0.07,7311.7,7450,7490,7325,36,264750,10255000000,1400000
120210,GREAT SRI,8350,155,1.89,8280.35,8350,8350,8350,5,41750,11690000000,1400000
110550,HIT 골드,9605,125,1.32,9558.15,9560,9635,9540,8495,81630005,5763000000,600000
124090,HIT 보험,8645,85,0.99,8734.7,8635,8645,8635,449,3881535,1729000000,200000
114460,KINDEX 국고채,103435,-70,-0.07,103351.42,103435,103435,103435,5,517175,49648800000,480000
143460,KINDEX 밸류대형,5565,70,1.27,5576.55,5630,5635,5550,15704,87726290,4452000000,800000
131890,KINDEX 삼성그룹EW,10770,135,1.27,10766.9,10830,12100,10770,1043,11295820,6462000000,600000
108450,KINDEX 삼성그룹SW,8185,75,0.92,8212.27,8250,8265,8185,204,1683620,22918000000,2800000
105270,KINDEX 성장대형F15,5410,10,0.19,5442.79,5490,5490,5410,1609,8749330,9738000000,1800000
145670,KINDEX 인버스,10040,-165,-1.62,10033.67,9910,10050,9910,80923,808600595,41164000000,4100000
108440,KINDEX 코스닥스타,13520,120,0.9,13450.59,13680,13680,13520,2,27200,14601600000,1080000
105190,KINDEX200,23505,410,1.78,23552.19,23520,23675,23505,27193,641846910,331420500000,14100000
069500,KODEX 200,23595,415,1.79,23653.44,23780,23795,23570,4288347,101493514545,2586012000000,109600000
104580,KODEX Brazil,6950,160,2.36,6909.38,6860,6970,6800,1853,12630455,2085000000,300000
099140,KODEX China H,14510,595,4.28,14548.56,14150,14600,14075,41545,596941790,75452000000,5200000
101280,KODEX Japan,8045,25,0.31,8081.93,8075,8100,8015,3471,27885260,6436000000,800000
117700,KODEX 건설,5275,210,4.15,5282.28,5230,5350,5230,32832,174243385,21100000000,4000000
132030,KODEX 골드선물(H),12860,255,2.02,12783.95,12785,12885,12745,36466,467104860,45010000000,3500000
138910,KODEX 구리선물(H),7780,80,1.04,7837.47,7800,7870,7760,12863,100581230,6224000000,800000
114260,KODEX 국고채,53200,-15,-0.03,53138.38,53210,53210,53115,633,33669335,79800000000,1500000
122630,KODEX 레버리지,10950,355,3.35,10983.23,11100,11110,10935,29260287,322946487690,1156320000000,105600000
091160,KODEX 반도체,12955,-105,-0.8,13036.55,13200,13430,12945,16844,220052820,31739750000,2450000
140700,KODEX 보험,7030,130,1.88,7070.66,6875,7070,6875,1239,8685895,2812000000,400000
102780,KODEX 삼성그룹,5450,55,1.02,5473.96,5455,5510,5450,240716,1316864595,492135000000,90300000
136280,KODEX 소비재,15060,10,0.07,15020.71,15040,15120,14950,2765,41491455,8283000000,550000
117460,KODEX 에너지화학,11550,340,3.03,11554.61,11700,11800,11550,11251,131856380,37191000000,3220000
140710,KODEX 운송,5290,120,2.32,5278.24,5265,5295,5260,2035,10748780,5290000000,1000000
144600,KODEX 은선물(H),8265,135,1.66,8214.49,8270,8310,8190,12515,103419480,5785500000,700000
091170,KODEX 은행,7655,35,0.46,7654.55,7800,7875,7575,15765,121330780,31385500000,4100000
114800,KODEX 인버스,8445,-140,-1.63,8432.14,8345,8450,8345,37780550,317590184305,414649500000,49100000
091180,KODEX 자동차,21790,430,2.01,21939.44,21835,22195,21710,63967,1406863250,51206500000,2350000
102960,KODEX 조선,17305,405,2.4,17343.95,17600,17745,17260,4472,78248850,11075200000,640000
102970,KODEX 증권,6325,125,2.02,6286.79,6400,6545,6300,219495,1424523355,17393750000,2750000
117680,KODEX 철강,11050,220,2.03,11045.99,10865,11165,10865,2748,30534865,10055500000,910000
138920,KODEX 콩선물(H),8855,30,0.34,8804.24,8825,8905,8825,1102,9765190,4427500000,500000
144750,KODEX 태양광,18360,190,1.05,18222.29,18715,18780,18360,2605,48429690,4406400000,240000
069660,KOSEF 200,23505,335,1.45,23535.88,23560,23625,23455,11036,259851690,277359000000,11800000
091190,KOSEF Banks,7650,10,0.13,7694.51,0,0,0,0,0,4896000000,640000
091200,KOSEF IT,10800,-10,-0.09,10841.31,10920,10920,10800,699,7567170,8208000000,760000
100910,KOSEF KRX100,3830,45,1.19,3841.58,3870,3870,3830,536,2067440,32172000000,8400000
104530,KOSEF 고배당,6715,15,0.22,6748.42,6720,6770,6715,1378,9283645,4700500000,700000
114470,KOSEF 국고채,105540,10,0.01,105491.37,105530,105570,105455,28115,2965799715,234298800000,2220000
130730,KOSEF 단기자금,102820,0,0,102827.18,102820,102845,102820,82672,8501307230,81227800000,790000
