단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
108630,FIRST 스타우량,16500,-60,-0.36,16460.29,16650,16695,16500,1157,19178345,24090000000,1460000
107560,GIANT 현대차그룹,20095,-375,-1.83,19910.93,20470,20470,20000,5582,112378960,32553900000,1620000
120210,GREAT SRI,9370,-100,-1.06,9396.35,9445,9445,9335,7,65725,32139100000,3430000
110550,HIT 골드,7900,-25,-0.32,7863.45,7875,7900,7870,1151,9070980,6320000000,800000
124090,HIT 보험,8685,195,2.3,8677.66,8555,8725,8555,8865,76709375,1737000000,200000
105270,KINDEX F15,6460,0,0,6472.1,0,0,0,0,0,10982000000,1700000
114460,KINDEX 국고채,104380,-160,-0.15,104267.99,104380,104410,104340,20,2087670,59496600000,570000
131890,KINDEX 삼성그룹EW,12260,40,0.33,12252.4,12230,12335,12230,839,10293530,11034000000,900000
108450,KINDEX 삼성그룹SW,9185,10,0.11,9180.23,9200,9275,9175,9288,85838920,31229000000,3400000
108440,KINDEX 코스닥스타,13395,-205,-1.51,13393.57,13600,13600,13395,512,6921015,26254200000,1960000
105190,KINDEX200,26840,-135,-0.5,26806.46,26870,26990,26775,77375,2084901995,254980000000,9500000
069500,KODEX 200,26925,-55,-0.2,26880.93,26930,27060,26850,1239780,33462370535,2191695000000,81400000
104580,KODEX Brazil,8200,10,0.12,8393.69,8190,8200,8170,1263,10334425,6150000000,750000
099140,KODEX China H,18875,-25,-0.13,18884.08,18895,18925,18855,10269,194088765,105700000000,5600000
101280,KODEX Japan,9020,-60,-0.66,9230.73,9000,9080,9000,396,3571540,3608000000,400000
117700,KODEX 건설,6150,5,0.08,6151.83,6145,6250,6120,13491,83342685,6765000000,1100000
132030,KODEX 골드선물(H),10500,-30,-0.28,10523.77,10420,10500,10405,3795,39717065,8400000000,800000
114260,KODEX 국고채,52680,-35,-0.07,52612.42,52695,52700,52620,2479,130510205,79020000000,1500000
122630,KODEX 레버리지,15290,-70,-0.46,15296.13,15280,15450,15230,2037862,31274703955,171248000000,11200000
091160,KODEX 반도체,16640,-30,-0.18,16619.32,16595,16690,16585,5967,99267325,16640000000,1000000
102780,KODEX 삼성그룹,6260,40,0.64,6233.63,6215,6280,6205,505092,3154333475,463866000000,74100000
136280,KODEX 소비재,14460,25,0.17,14490.41,14405,14495,14375,429,6187895,11568000000,800000
117460,KODEX 에너지화학,13260,-130,-0.97,13227.71,13500,13500,13230,19434,258153560,21348600000,1610000
091170,KODEX 은행,9945,145,1.48,9876.51,9800,9965,9800,34821,344974865,30829500000,3100000
114800,KODEX 인버스,7750,10,0.13,7752.83,7765,7770,7705,1931851,14943643795,127875000000,16500000
091180,KODEX 자동차,17770,-420,-2.31,17689.19,18190,18200,17705,24673,438778605,35540000000,2000000
102960,KODEX 조선,26985,-155,-0.57,26776.03,27325,27560,26785,15654,426392855,21588000000,800000
102970,KODEX 증권,10280,-330,-3.11,10254.61,10585,10710,10280,23106,243150980,16448000000,1600000
117680,KODEX 철강,11455,-155,-1.34,11420.22,11765,11765,11425,7345,84236085,13631450000,1190000
069660,KOSEF 200,26840,-125,-0.46,26814.46,26895,27005,26815,323376,8684047764,175802000000,6550000
091190,KOSEF Banks,10140,165,1.65,10133.51,10120,10140,10120,82,830330,5881200000,580000
091200,KOSEF IT,12750,50,0.39,12751.47,12685,12750,12640,1869,23681135,8670000000,680000
100910,KOSEF KRX100,4355,-5,-0.11,4340.7,4355,4355,4345,17,74025,35275500000,8100000
104530,KOSEF 고배당,7930,25,0.32,7928.21,7855,7970,7855,8025,63725315,7137000000,900000
114470,KOSEF 국고채,104480,-110,-0.11,104400.2,104585,104645,104400,5785,604298730,382396800000,3660000
130730,KOSEF 단기자금,100290,15,0.01,100277.7,100265,100315,100265,7561,758252460,162469800000,1620000
104520,KOSEF 블루칩,6675,-15,-0.22,6667.68,6670,6700,6645,12062,80537815,26032500000,3900000
123930,KOSEF 인버스,8450,45,0.54,8445.68,8450,8455,8395,815,6876570,6760000000,800000
122260,KOSEF 통안채,100440,-15,-0.01,100412.98,100420,100455,100420,6305,633254920,200880000000,2000000
105780,KStar 5대그룹주,5300,-30,-0.56,5295.61,5320,5325,5280,32587,172486870,33920000000,6400000
114100,KStar 국고채,104430,-40,-0.04,104303.53,104555,104555,104430,2,208985,288226800000,2760000
123760,KStar 레버리지,13320,-125,-0.93,13345.56,13335,13450,13275,3549,47594005,29304000000,2200000
108480,KStar 코스닥엘리트30,1890,-30,-1.56,1893.74,1920,1925,1890,29520,56240475,45360000000,24000000
117740,PREX LG그룹&,12750,125,0.99,12706.01,12500,12785,12500,2117,26908980,18487500000,1450000
129270,PREX 네오밸류,6450,-45,-0.69,6462.97,6445,6505,6445,1091,7034500,18705000000,2900000
102110,TIGER 200,26780,-100,-0.37,26756.68,26800,26935,26740,256467,6886987730,216918000000,8100000
091210,TIGER KRX100,43390,-405,-0.92,43320.2,43390,43390,43390,1,43390,13017000000,300000
130680,TIGER WTI선물,10905,80,0.74,10885.67,10825,12345,10825,9627,104777135,7633500000,700000
097710,TIGER 가치주,16390,-25,-0.15,16409.31,18850,18850,16375,135,2261310,12292500000,750000
114820,TIGER 국채3,104720,-225,-0.21,104686.53,104720,104720,104720,2,209440,94248000000,900000
133690,TIGER 나스닥100,11185,-15,-0.13,11175.32,11180,11200,11180,182,2035820,7829500000,700000
105010,TIGER 라틴,5810,40,0.69,5784.21,5615,5810,5615,115,667660,16268000000,2800000
123320,TIGER 레버리지,13425,-30,-0.22,13361.6,13365,13520,13320,1278,17167935,10740000000,800000
097720,TIGER 미드캡,8635,40,0.47,8592.66,8625,8635,8625,6,51785,9843900000,1140000
