단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
108630,FIRST 스타우량,17105,150,0.88,16819.68,16950,17210,16950,84,1431075,30104800000,1760000
107560,GIANT 현대차그룹,11315,0,0,11326.89,11205,11315,11165,6149,69227445,21385350000,1890000
120210,GREAT SRI,7735,-75,-0.96,7751.1,7715,7790,7700,54,417255,35735700000,4620000
110550,HiShares Gold,6315,-5,-0.08,6321.54,6245,6325,6245,10227,64300820,11367000000,1800000
105270,KINDEX F15,5870,-20,-0.34,5825.26,5795,5870,5795,302,1750205,11740000000,2000000
114460,KINDEX 국고채,102430,15,0.01,102364.29,102420,102430,102420,610,62481200,113697300000,1110000
108450,KINDEX 삼성그룹주,6895,-115,-1.64,6970.6,6900,6960,6880,410,2839635,29648500000,4300000
108440,KINDEX 코스닥스타,13310,-20,-0.15,13092.95,13320,13320,13310,11,146510,15173400000,1140000
105190,KINDEX200,22080,-215,-0.96,22213.52,21955,22290,21955,24765,547506475,176640000000,8000000
105450,KODEX 15,3890,-20,-0.51,3895.73,4495,4495,3845,6742,26127430,4084500000,1050000
069500,KODEX 200,22350,-85,-0.38,22376.77,22175,22440,22130,1552018,34641819152,1282890000000,57400000
104580,KODEX Brazil,7965,-35,-0.44,7617.29,7900,7990,7900,1415,11249740,5575500000,700000
099140,KODEX China H,17940,145,0.81,17874.35,17710,18020,17665,89257,1596475255,129168000000,7200000
101280,KODEX Japan,8700,25,0.29,8678.3,8455,8705,8455,588,5051225,6960000000,800000
117700,KODEX 건설,5495,-205,-3.6,5488.57,5805,5805,5465,7025,38738685,5495000000,1000000
114260,KODEX 국고채,51680,-15,-0.03,51650.04,51690,51690,51670,302,15607210,31008000000,600000
091160,KODEX 반도체,15645,-50,-0.32,15664.07,15520,15850,15505,5228,82047020,14080500000,900000
102780,KODEX 삼성그룹,5030,-45,-0.89,5023.93,4980,5075,4980,763870,3843978250,276650000000,55000000
117460,KODEX 에너지화학,7930,-165,-2.04,7957.18,7975,8030,7895,7154,56801550,2220400000,280000
091170,KODEX 은행,8400,-160,-1.87,8441.57,8400,8455,8325,13225,111025425,7560000000,900000
114800,KODEX 인버스,9570,35,0.37,9609.63,9660,9680,9545,724646,6956534340,51678000000,5400000
091180,KODEX 자동차,9925,70,0.71,9907.84,9850,9980,9755,4333,43011245,7443750000,750000
102960,KODEX 조선,15230,-315,-2.03,15259.28,15500,15500,15155,4826,73525610,5178200000,340000
102970,KODEX 증권,8890,-240,-2.63,8829.36,8925,8960,8855,16386,146038125,6223000000,700000
117680,KODEX 철강,8770,-110,-1.24,8744.91,8880,8880,8655,3184,27729165,4911200000,560000
069660,KOSEF 200,22110,-155,-0.7,22198.04,22000,22245,21915,634428,14026198500,99495000000,4500000
091190,KOSEF Banks,8530,-190,-2.18,8581.22,8515,8575,8490,58,493820,4606200000,540000
091200,KOSEF IT,11870,-20,-0.17,11985.82,11890,12005,10800,1397,16170555,7596800000,640000
100910,KOSEF KRX100,3555,-35,-0.97,3562.88,3560,3585,3545,716,2553360,35194500000,9900000
104530,KOSEF 고배당,6300,-75,-1.18,6287.1,6315,6315,6250,535,3353905,4725000000,750000
114470,KOSEF 국고채,102425,-15,-0.01,102354.3,102400,102425,102365,9180,939970330,347220750000,3390000
104520,KOSEF 블루칩,5350,-50,-0.93,5359.69,5335,5385,5325,500106,2681566640,20865000000,3900000
097740,KOSEF 중형순수가치,12710,-115,-0.9,12754.62,12700,12810,12615,372,4707070,3558800000,280000
122260,KOSEF 통안채,100200,80,0.08,100129.03,100110,100200,100110,3332,333810765,100200000000,1000000
105780,KStar 5대그룹주,4020,-80,-1.95,4059.8,4025,4085,3985,3321,13402835,16884000000,4200000
114100,KStar 국고채,102460,0,0,102392.3,102485,102515,102415,2428,248765620,248977800000,2430000
108480,KStar 코스닥엘리트30,1770,-30,-1.67,1771.26,1785,1800,1765,11475,20397185,45312000000,25600000
117740,PREX LG그룹&,10680,-205,-1.88,10712.86,11315,11315,10650,361,3855410,26166000000,2450000
091210,TIGER KRX100,35600,-295,-0.82,35711.23,35615,35895,35540,562,20070395,11214000000,315000
114820,TIGER 국채3,102895,-70,-0.07,102846.13,0,0,0,0,0,123474000000,1200000
105010,TIGER 라틴,5095,-105,-2.02,5095.47,4965,5095,4965,199,999330,19361000000,3800000
098560,TIGER 미디어통신,9250,-185,-1.96,9308.55,9400,9435,9240,563,5265395,5550000000,600000
091230,TIGER 반도체,15765,-130,-0.82,15809.38,15795,15990,15725,2659,42267305,25854600000,1640000
105020,TIGER 브릭스,5500,-105,-1.87,5492.07,5590,5590,5485,2288,12588110,11550000000,2100000
097710,TIGER 순수가치,13260,-270,-2,13332.46,13400,13435,13225,514,6841020,10342800000,780000
091220,TIGER 은행,8445,-150,-1.75,8511.85,8460,8540,8405,1596,13487615,30570900000,3620000
097720,TIGER 중형가치,6775,-110,-1.6,6823.95,6590,6870,6590,1369,9258130,8130000000,1200000
117690,TIGER 차이나,10570,170,1.63,10687.41,10610,10610,10510,251,2656660,10570000000,1000000
102110,TIGER200,22130,-105,-0.47,22196.38,22050,22230,21935,369983,8175976995,167081500000,7550000
108590,TREX 200,22085,-135,-0.61,22158.6,21910,22225,21910,6119,135170140,90548500000,4100000
097750,TREX 중소형가치,5395,-80,-1.46,5422.72,5420,5485,5385,1512,8178050,3722550000,690000
122090,아리랑 KOSPI50,14600,-480,-3.18,14661.09,15080,15080,14550,38948,571392400,37230000000,2550000
