지수명,종가,대비,등락률
코스피 200,244.05,-2.25,-0.91
코스피 100 동일가중지수,1806.48,-15.72,-0.86
코스피 50,1581.47,-15.68,-0.98
KRX 100 동일가중지수,1738.65,-13.7,-0.78
MKF 범LG그룹주 지수,,,
FnGuide 배당주 지수,10314.52,-150.22,-1.44
MKF 네오밸류 지수,,,
KAP Money Market Index(총수익),109.27,0.02,0.02
KAP Barbell Index(총수익),113.06,0.03,0.03
FnGuide 경기방어주 지수,,,
FnGuide 자동차+ 지수,,,
FnGuide 조선운송+ 지수,,,
FnGuide 경기주도주 지수,,,
FnGuide 철강금속+ 지수,,,
MSCI AC World Daily TR Net USD,189.64,-1.13,-0.59
MSCI EAFE Index,1778.04,-15.42,-0.86
MSCI EM Index,954.58,-4.12,-0.43
Hang Seng China H,11844.1,-175.65,-1.46
FnGuide 화학+ 지수,,,
MKF 스타우량,,,
MKF 현대차그룹,,,
녹색산업지수,,,
사회책임투자지수,,,
KTB INDEX(시장가격),10476.91,8.54,0.08
KIS MSB 단기지수(총수익),10538.54,2.26,0.02
코스피 배당성장 50,2664.76,-26.59,-0.99
FnGuide-RAFI 코리아 대형 지수,5723.11,-53.18,-0.92
MKF SAMs EW 지수,10277.54,-47.62,-0.46
MKF SAMs SW,7988.15,-6.62,-0.08
MKF F15 VW,,,
코스피 200 선물지수,1184.6,-16.51,-1.37
TOPIX,1407.51,-17.16,-1.2
CSI 300 Index,3457.55,2.09,0.06
스타지수,,,
Dow Jones U.S. Real Estate Index,1007,-1.5,-0.15
Markit iBoxx USD Liquid High Yield Index,,,
10년국채선물지수,1228.9,1.01,0.08
DJ Brazil 20,20280.13,169.8,0.84
FTSE China A50 Index,11242.48,205.88,1.87
TOPIX100,925.57,-12.59,-1.34
MSCI Korea Index,536.46,-4.74,-0.88
KRX 건설,583.76,-0.41,-0.07
S&P GSCI Gold Index(TR),650.85,10.03,1.57
S&P GSCI North American Copper Index(TR),411.26,4.61,1.13
MKF 국고채지수(총수익),163.72,0.11,0.07
KRW Cash 지수(총수익),139.5,0.02,0.01
KRX 반도체,1876.74,-4.72,-0.25
KRX 보험,1707.48,1.39,0.08
삼성그룹,5595.48,-40.76,-0.72
핵심소비재 지수,,,
KRX 에너지화학,1437.51,-15.84,-1.09
KRX 운송,980.2,13.15,1.36
S&P GSCI Silver Index(TR),578.91,17.68,3.15
KRX 은행,709.36,-21.33,-2.92
KRX 자동차,1912.71,-22.69,-1.17
KRX 기계장비,867.94,-5.46,-0.63
주식골드지수,3173.91,-32.61,-1.02
KRX 증권,617.85,-5.9,-0.95
KRX 철강,1876.98,-20.64,-1.09
S&P GSCI Soybeans Index(TR),4676.61,-21.27,-0.45
MSCI Germany Index,865.26,-10.1,-1.15
S&P Select Sector Technology Index,,,
S&P Select Sector Financials Index,,,
S&P Biotechnology Select Industry Index,4801.91,-50.55,-1.04
S&P Select Sector Industrial Index,572.61,-2.74,-0.48
KIS 10년 국고채 지수 (총수익),13307.33,8.07,0.06
KRX 정보통신,,,
KRX 100,3942.92,-41.53,-1.04
MKF 웰스 고배당20,6537.46,-78.07,-1.18
MK 머니마켓 지수(총수익),11520.64,3.12,0.03
미국달러선물지수,1139.37,2.28,0.2
MKF 블루칩,6582.39,-65.72,-0.99
MK 통안채지수(총수익),11939.61,5.11,0.04
Nifty 50 Index,8248.25,1.95,0.02
MKF 5대그룹주,4732.06,-47.94,-1
FnGuide-KIS 5대 그룹주장기채플러스지수,,,
KIS 통안채 5개월 지수(총수익),10554.16,2.76,0.03
MKF 수출주 지수,8166.2,-83.69,-1.01
MKF 우량업종대표주 지수,9676.57,-100.56,-1.03
KOBI 크레딧 지수(총수익),12214.87,8.47,0.07
주식국채혼합(주식형)지수,1162.77,-7.19,-0.61
CSI A100,3360.93,31.36,0.94
주식국채혼합(채권형)지수,1235,-2.68,-0.22
MKF 코스닥 엘리트30,,,
MSCI World,1721.01,-10.7,-0.62
코스피 200 정보기술,1551.7,-14.55,-0.93
MKF LG그룹+ FW,5772.08,-51.27,-0.88
S&P 500 Futures Index(ER),183.85,-0.79,-0.43
MKF 순수가치,14972.02,-200.44,-1.32
코스피 200 건설,311.17,-0.95,-0.3
코스피 200 생활소비재,1135.05,-7.61,-0.67
코스피 200 경기소비재,1792.16,-20.08,-1.11
S&P GSCI Cash Copper Index,192.34,-0.07,-0.04
S&P GSCI Industrial Metals Select Index(TR),173.98,0.41,0.24
코스피 200 금융,721.21,-15.07,-2.05
S&P GSCI Precious Metals Index(TR),1485.38,25.33,1.73
NASDAQ 100,4282.35,-31.75,-0.74
NASDAQ Biotechnology 지수(시장가격지수),3184.48,-39.6,-1.23
S&P GSCI Agriculture Enhanced Index(ER),97.31,-1.17,-1.19
BNY Latin America 35 ADR,2808.78,17.92,0.64
FnGuide Low Vol 지수,11811.11,-110.74,-0.93
FnGuide 모멘텀 지수,20903.13,-218.83,-1.04
MKF 중형 가치,7924.23,-38.16,-0.48
KRX 방송통신,896.85,-2.69,-0.3
FnGuide 베타플러스 지수,,,
BNY BRIC Select ADR,3849.47,-30.2,-0.78
MKF SAMs FW,7311.42,-44.7,-0.61
FnGuide 생활필수품 지수,,,
FnGuide 소프트웨어 지수,3566.43,-3.93,-0.11
코스피 200 에너지/화학,797.27,-10,-1.24
S&P GSCI Crude Oil Enhanced Index (ER),615.76,5.8,0.95
KIS MSB 6M(총수익),10882.01,2.35,0.02
FnGuide 자동차 지수,,,
코스피 200 중공업,367.38,-0.42,-0.11
FnGuide 중국내수테마 지수,3758.61,-14.36,-0.38
FnGuide 증권 지수,1944.94,-17.5,-0.89
Hang Seng China (Hong Kong-listed) 25 Index,8815.58,-119.76,-1.34
코스피 200 철강/소재,891.11,-11.86,-1.31
코스피 200 커버드콜 5% OTM,298.9,-2.73,-0.91
코스닥 프리미어,,,
코스피 고배당 50,2122.85,-22.92,-1.07
Markit iBoxx USD Liquid High Yield 0-5 year 지수,93.56,0.02,0.02
EURO STOXX 50 Index,3135.95,-49.22,-1.55
KRX 헬스케어,1451.68,7.25,0.5
MKF 현대차그룹+ FW,18908.97,-193.79,-1.01
FnGuide 화학 지수,,,
MSCI US REIT Index,1136.36,-1.75,-0.15
MKF 중소형 가치,6678.32,-24.46,-0.36
FnGuide-RAFI 코리아200 지수,5989.82,-54.43,-0.9
코스피 100,1842.99,-17.36,-0.93
코스피 200 고배당지수,2352.51,-31,-1.3
