지수명,종가,대비,등락률
코스피 200,261.08,-0.12,-0.05
코스피 100 동일가중지수,1889.03,-11.05,-0.58
코스피 50,1707.52,1.36,0.08
KRX 100 동일가중지수,1839.32,-6.13,-0.33
MKF 범LG그룹주 지수,,,
MKF 네오밸류 지수,,,
KAP Money Market Index(총수익),107.25,0,0
KAP Barbell Index(총수익),108.16,0.01,0.01
FnGuide 경기방어주 지수,,,
FnGuide 배당주 지수,11346.23,-15.71,-0.14
FnGuide 자동차+ 지수,,,
FnGuide 조선운송+ 지수,,,
FnGuide 경기주도주 지수,,,
FnGuide 철강금속+ 지수,,,
MSCI AC World Daily TR Net USD,184.16,0.2,0.11
FnGuide 화학+ 지수,,,
MKF 스타우량,,,
MKF 현대차그룹,,,
녹색산업지수,,,
사회책임투자지수,,,
KTB INDEX(시장가격),10294.25,0.47,0
KIS MSB 단기지수(총수익),10355.3,0.74,0.01
FnGuide-RAFI 코리아 대형 지수,6194.07,-11.46,-0.18
MKF SAMs EW 지수,11665.72,-54.77,-0.47
MKF SAMs SW,8657.24,-21.22,-0.24
MKF F15 VW,,,
코스피 200 선물지수,1275.04,-2.2,-0.17
CSI 300 Index,2190.47,-4.2,-0.19
스타지수,,,
Dow Jones U.S. Real Estate Index,866.23,2.88,0.33
Markit iBoxx USD Liquid High Yield Index,,,
10년국채선물지수,1128.01,0.3,0.03
DJ Brazil 20,25729.84,5.69,0.02
FTSE China A50 Index,6789.51,0.47,0.01
Hang Seng China H,9940.63,35,0.35
TOPIX100,768.15,-7.45,-0.96
MSCI Korea Index,584.5,0.45,0.08
KRX 건설,736.26,-4.27,-0.58
S&P GSCI Gold Index(TR),701.06,3.26,0.47
S&P GSCI North American Copper Index(TR),445.8,7,1.6
MKF 국고채지수(총수익),156.99,0.01,0.01
KRW Cash 지수(총수익),136.93,0.01,0.01
KRX 반도체,1913.51,-6.67,-0.35
KRX 보험,1558.57,11.16,0.72
삼성그룹,5988.54,1.62,0.03
핵심소비재 지수,,,
KRX 에너지화학,1860.27,-20.49,-1.09
KRX 운송,766.32,-6.71,-0.87
S&P GSCI Silver Index(TR),707.19,8.86,1.27
KRX 은행,779.32,-6.34,-0.81
KRX 자동차,2274.63,-4.84,-0.21
KRX 기계장비,1433.77,-22.44,-1.54
주식골드지수,3415.36,3.88,0.11
KRX 증권,547.96,-1.97,-0.36
KRX 철강,1872.58,-1.06,-0.06
S&P GSCI Soybeans Index(TR),5640.78,20.15,0.36
S&P Biotechnology Select Industry Index,3344.69,-20.22,-0.6
KIS 10년 국고채 지수 (총수익),12101.34,1.15,0.01
KRX 정보통신,,,
KRX 100,4265.75,-6.6,-0.15
MKF 웰스 고배당20,6792.55,-34.7,-0.51
MK 머니마켓 지수(총수익),11305.73,0.82,0.01
미국달러선물지수,1088.2,-0.52,-0.05
MKF 블루칩,6563.89,-18.31,-0.28
MK 통안채지수(총수익),11670.81,0.67,0.01
MKF 5대그룹주,5092.09,-7.17,-0.14
FnGuide-KIS 5대 그룹주장기채플러스지수,,,
MKF 수출주 지수,9414.03,-55.93,-0.59
MKF 우량업종대표주 지수,10292.69,-42.56,-0.41
KOBI 크레딧 지수(총수익),11763.78,1.07,0.01
주식국채혼합(주식형)지수,1202.86,-0.37,-0.03
CSI A100,2021.22,-1,-0.05
주식국채혼합(채권형)지수,1223.14,-0.13,-0.01
MKF 코스닥 엘리트30,,,
코스피 200 정보기술,1575.93,-0.14,-0.01
MKF LG그룹+ FW,6227.93,-50.87,-0.81
S&P 500 Futures Index(ER),163.94,0,0
MKF 순수가치,16127.24,-48.37,-0.3
코스피 200 건설,391.5,-3.12,-0.79
코스피 200 경기소비재,2116.5,-3.51,-0.17
코스피 200 생활소비재,1030.02,-1.2,-0.12
S&P GSCI Cash Copper Index,207.8,2.64,1.29
S&P GSCI Industrial Metals Select Index(TR),185.44,1.26,0.68
코스피 200 금융,705.28,-3.44,-0.49
S&P GSCI Precious Metals Index(TR),1623.09,9.09,0.56
NASDAQ 100,3557.04,-31.77,-0.89
S&P GSCI Agriculture Enhanced Index(ER),120.03,0.49,0.41
BNY Latin America 35 ADR,3472.43,-4.97,-0.14
FnGuide Low Vol 지수,12057.76,-35.84,-0.3
FnGuide 모멘텀 지수,19348.07,-22.79,-0.12
MKF 중형 가치,8438.09,-65.64,-0.77
KRX 방송통신,874.61,-3.07,-0.35
FnGuide 베타플러스 지수,,,
BNY BRIC Select ADR,4070.52,-32.72,-0.8
MKF SAMs FW,8162.79,1.73,0.02
FnGuide 생활필수품 지수,,,
FnGuide 소프트웨어 지수,3152.65,9.86,0.31
코스피 200 에너지/화학,1010.71,-9.54,-0.94
S&P GSCI Crude Oil Enhanced Index (ER),1107.92,5.44,0.49
KIS MSB 6M(총수익),10697.06,0.77,0.01
FnGuide 자동차 지수,,,
코스피 200 중공업,451.61,-6.27,-1.37
FnGuide 중국내수테마 지수,3706.53,-22,-0.59
FnGuide 증권 지수,1721.1,-7.19,-0.42
Hang Seng China (Hong Kong-listed) 25 Index,7807.14,27.1,0.35
코스피 200 철강/소재,852.47,-4.6,-0.54
코스피 200 커버드콜 5% OTM,317.14,-0.13,-0.04
코스닥 프리미어,,,
Markit iBoxx USD Liquid High Yield 0-5 year 지수,99.17,-0.01,-0.01
KRX 헬스케어,1538.49,-3.95,-0.26
MKF 현대차그룹+ FW,24829.16,-117.57,-0.47
FnGuide 화학 지수,,,
MSCI US REIT Index,994.66,4.58,0.46
MKF 중소형 가치,6929.46,-53.07,-0.76
FnGuide-RAFI 코리아200 지수,6456.12,-13.4,-0.21
코스피 100,1975.32,-0.17,-0.01
코스피 200 고배당지수,2442.96,-5.97,-0.24
