지수명,종가,대비,등락률
코스피 200,264.01,2.56,0.98
코스피 100 동일가중지수,2037.66,17.46,0.86
코스피 50,1694.62,16.76,1
KRX 100 동일가중지수,1982.55,20.82,1.06
MKF 범LG그룹주 지수,,,
MKF 네오밸류 지수,,,
KAP Money Market Index(총수익),108.55,0.01,0.01
KAP Barbell Index(총수익),110.99,0.07,0.06
FnGuide 경기방어주 지수,,,
FnGuide 배당주 지수,11689.59,132.22,1.14
FnGuide 자동차+ 지수,,,
FnGuide 조선운송+ 지수,,,
FnGuide 경기주도주 지수,,,
FnGuide 철강금속+ 지수,,,
MSCI AC World Daily TR Net USD,192.4,0.44,0.23
MSCI EAFE Index,1895.61,3.6,0.19
MSCI EM Index,1062.39,8.32,0.79
Hang Seng China H,10893.01,175,1.63
FnGuide 화학+ 지수,,,
MKF 스타우량,,,
MKF 현대차그룹,,,
녹색산업지수,,,
사회책임투자지수,,,
KTB INDEX(시장가격),10411.31,2.14,0.02
KIS MSB 단기지수(총수익),10471.56,1.13,0.01
FnGuide-RAFI 코리아 대형 지수,6333.09,56.45,0.9
MKF SAMs EW 지수,11770.74,107.93,0.93
MKF SAMs SW,8555.51,113.06,1.34
MKF F15 VW,,,
코스피 200 선물지수,1281.52,14,1.1
TOPIX,1304.96,-5.9,-0.45
CSI 300 Index,2401.33,12.56,0.53
스타지수,,,
Dow Jones U.S. Real Estate Index,903.65,-0.22,-0.02
Markit iBoxx USD Liquid High Yield Index,,,
10년국채선물지수,1183.02,2.63,0.22
DJ Brazil 20,27042.55,647.18,2.45
FTSE China A50 Index,7217.99,15.96,0.22
TOPIX100,859.4,-3.72,-0.43
MSCI Korea Index,584.48,6.15,1.06
KRX 건설,777.5,2.06,0.27
S&P GSCI Gold Index(TR),670.55,-0.44,-0.07
S&P GSCI North American Copper Index(TR),452.17,-3.23,-0.71
MKF 국고채지수(총수익),161.2,0.03,0.02
KRW Cash 지수(총수익),138.58,0.02,0.01
KRX 반도체,1761.98,12.44,0.71
KRX 보험,1680.82,14.01,0.84
삼성그룹,6012.32,75.95,1.28
핵심소비재 지수,,,
KRX 에너지화학,1736.42,32.09,1.88
KRX 운송,890.2,22.31,2.57
S&P GSCI Silver Index(TR),668.47,0.47,0.07
KRX 은행,868.49,1.59,0.18
KRX 자동차,2231.25,11.02,0.5
KRX 기계장비,1145.03,-0.98,-0.09
주식골드지수,3373,18.6,0.55
KRX 증권,679.43,4.98,0.74
KRX 철강,2209.25,15.69,0.72
S&P GSCI Soybeans Index(TR),4466.01,7.96,0.18
MSCI Germany Index,848.37,2.68,0.32
S&P Select Sector Technology Index,,,
S&P Select Sector Financials Index,,,
S&P Biotechnology Select Industry Index,4122.16,54.08,1.33
S&P Select Sector Industrial Index,543.38,2.37,0.44
KIS 10년 국고채 지수 (총수익),12769.62,22.48,0.18
KRX 정보통신,,,
KRX 100,4355.69,40.89,0.95
MKF 웰스 고배당20,7265.46,57.75,0.8
MK 머니마켓 지수(총수익),11443.61,1.45,0.01
미국달러선물지수,1076.44,-2.59,-0.24
MKF 블루칩,7190.42,81.14,1.14
MK 통안채지수(총수익),11847.07,2.12,0.02
Nifty 50 Index,7975.5,42.6,0.54
MKF 5대그룹주,5262.89,45.42,0.87
FnGuide-KIS 5대 그룹주장기채플러스지수,,,
KIS 통안채 5개월 지수(총수익),10484.5,1.28,0.01
MKF 수출주 지수,9243.31,87.4,0.95
MKF 우량업종대표주 지수,10881.26,95.52,0.89
KOBI 크레딧 지수(총수익),12056.53,2.57,0.02
주식국채혼합(주식형)지수,1222.23,8.39,0.69
CSI A100,2176.68,9.91,0.46
주식국채혼합(채권형)지수,1250.18,3.84,0.31
MKF 코스닥 엘리트30,,,
코스피 200 정보기술,1562.57,21.66,1.41
MKF LG그룹+ FW,6741.96,22.45,0.33
S&P 500 Futures Index(ER),175.9,0.2,0.11
MKF 순수가치,17180.87,102.16,0.6
코스피 200 건설,390.81,3.39,0.88
코스피 200 경기소비재,2112.53,14.4,0.69
코스피 200 생활소비재,1217.48,6.99,0.58
S&P GSCI Cash Copper Index,212.88,1.92,0.91
S&P GSCI Industrial Metals Select Index(TR),190.61,-0.59,-0.31
코스피 200 금융,797.67,3.15,0.4
S&P GSCI Precious Metals Index(TR),1550.26,-0.76,-0.05
NASDAQ 100,4067.27,37.38,0.93
NASDAQ Biotechnology 지수(시장가격지수),2854.24,20.54,0.72
S&P GSCI Agriculture Enhanced Index(ER),89.84,0.14,0.16
BNY Latin America 35 ADR,3631.04,73.58,2.07
FnGuide Low Vol 지수,13030.46,82.38,0.64
FnGuide 모멘텀 지수,22370.58,242.49,1.1
MKF 중형 가치,8892.14,62.32,0.71
KRX 방송통신,1009.67,-4.87,-0.48
FnGuide 베타플러스 지수,,,
BNY BRIC Select ADR,4593.14,61.28,1.35
MKF SAMs FW,7963.68,83.63,1.06
FnGuide 생활필수품 지수,,,
FnGuide 소프트웨어 지수,3588.52,75.26,2.14
코스피 200 에너지/화학,948.59,18.17,1.95
S&P GSCI Crude Oil Enhanced Index (ER),1049.8,-6.87,-0.65
KIS MSB 6M(총수익),10813.33,1.02,0.01
FnGuide 자동차 지수,,,
코스피 200 중공업,417.78,2.04,0.49
FnGuide 중국내수테마 지수,4079.48,26.92,0.66
FnGuide 증권 지수,2136.95,14.93,0.7
Hang Seng China (Hong Kong-listed) 25 Index,8769.5,142.35,1.65
코스피 200 철강/소재,1003.21,6.16,0.62
코스피 200 커버드콜 5% OTM,321.67,2.92,0.92
코스닥 프리미어,,,
Markit iBoxx USD Liquid High Yield 0-5 year 지수,96.67,-0.02,-0.02
EURO STOXX 50 Index,3237.44,15.71,0.49
KRX 헬스케어,1465.53,9.74,0.67
MKF 현대차그룹+ FW,23470.46,76.14,0.33
FnGuide 화학 지수,,,
MSCI US REIT Index,1015.23,-0.25,-0.02
MKF 중소형 가치,7301.84,59.41,0.82
FnGuide-RAFI 코리아200 지수,6632.59,58.18,0.88
코스피 100,1992.25,19.08,0.97
코스피 200 고배당지수,2582.75,28.98,1.13
