지수명,종가,대비,등락률
MKF 스타우량,,,
MKF 현대차그룹,,,
사회책임투자지수,,,
LBMA PM FIX - Gold,1255,-1.75,-0.14
MKF 보험주 Top10 지수,,,
MKF F15 VW,,,
KTB INDEX(시장가격),10147,60.58,0.6
MKF SAMs SW,7301.15,-0.5,-0.01
스타지수,,,
코스피 200,231.53,0.59,0.26
DJ Brazil 20,32747.06,222.56,0.68
Hang Seng China H,11915.58,0,0
TOPIX100,576.68,0,0
KRX 건설,1025.57,20.39,2.03
MKF 국고채지수(총수익),137.07,0.79,0.58
KRX 반도체,1627.31,-5.22,-0.32
삼성그룹,5389,2.03,0.04
KRX 에너지화학,2227.96,29.08,1.32
KRX 은행,825.32,2.35,0.29
코스피 200 선물지수,1182.82,4.31,0.37
KRX 자동차,1493.68,5.32,0.36
KRX 기계장비,1771.9,12.98,0.74
KRX 증권,879.08,-5.47,-0.62
KRX 철강,2084.96,11.42,0.55
KRX 정보통신,,,
KRX 100,3745.52,11.21,0.3
MKF 웰스 고배당20,7118.62,60.59,0.86
MK 머니마켓 지수(총수익),10083.64,9.31,0.09
MKF 블루칩,6056.4,29.43,0.49
MK 통안채지수(총수익),10344.58,21.58,0.21
MKF 5대그룹주,4608.19,8.33,0.18
MKF 코스닥 엘리트30,,,
MKF 범LG그룹주 지수,,,
MKF 네오밸류 지수,,,
S&P GSCI Crude Oil Enhanced Index (ER),948.19,-9.87,-1.03
BNY Latin America 35 ADR,4363.46,33.39,0.77
KRX 방송통신,823.47,3.19,0.39
BNY BRIC Select ADR,4807.34,28.89,0.6
MKF 순수가치,13921.49,73.53,0.53
MKF 중형 가치,7791.78,93.29,1.21
Hang Seng China (Hong Kong-listed) 25 Index,7521.73,0,0
코스닥 프리미어,,,
MKF 중소형 가치,5707.42,56.46,1
코스피 50,1489.61,-0.89,-0.06
