단축코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
037730,3R,850,0,0,840,850,830,1031015,868095080,26835062700,31570662
060310,3S,2700,120,4.65,2580,2720,2580,31995,84836220,6480000000,2400000
036360,3SOFT,1010,10,1,1000,1010,980,16593,16569430,5891671380,5833338
036820,BET,860,-30,-3.37,880,890,850,150952,130977550,13983327380,16259683
023460,C&H캐피탈,1770,-10,-0.56,1740,1790,1740,28414,50040560,38940000000,22000000
045260,CHK한강,960,-20,-2.04,970,990,950,123633,119141610,23869033920,24863577
049370,CJ엔터테인,11150,-300,-2.62,11500,11550,11150,57010,641725600,159868254000,14337960
051500,CJ푸드시스템,9380,340,3.76,9100,9400,9090,67223,623623140,87974082000,9378900
035760,CJ홈쇼핑,52900,-1400,-2.58,54000,54300,52700,50639,2690808500,436100775900,8243871
050470,CMS,760,-10,-1.3,760,770,750,88062,66715260,6308000000,8300000
065340,DM테크놀로지,10300,100,0.98,10050,10650,10050,118859,1235476350,57680000000,5600000
037370,EG,4200,-90,-2.1,4250,4320,4130,30610,128777120,18900000000,4500000
053870,GT&T,1190,-60,-4.8,1230,1250,1180,17137,20502890,5117000000,4300000
060910,I.S하이텍,2620,-10,-0.38,2620,2660,2520,85615,224273190,26954560000,10288000
038710,ICM,1710,-90,-5,1750,1860,1710,126647,227926670,8550000000,5000000
036670,KCI,2210,50,2.31,2120,2330,2120,1031,2231170,13923000000,6300000
054020,KDN스마텍,2280,-120,-5,2380,2440,2260,904278,2111768120,30004800000,13160000
046810,KEPS,960,-20,-2.04,980,1010,950,67407,65806070,6002073600,6252160
060720,KH바텍,63200,100,0.16,63700,65400,63200,18103,1165863800,252800000000,4000000
039370,KTB벤처2MF,4210,0,0,0,0,0,0,0,17282892000,4105200
032390,KTF,25000,400,1.63,24500,25100,24400,563853,14005603050,4601451075000,184058043
060370,KT서브마린,8320,-50,-0.6,8270,8460,8270,15070,125373270,36441600000,4380000
016990,LG마이크론,30600,-200,-0.65,31100,31100,30350,16870,516528650,177480000000,5800000
032640,LG텔레콤,4060,-40,-0.98,4060,4070,4030,569198,2304226620,1125750425800,277278430
028150,LG홈쇼핑,80200,0,0,81000,81000,78300,26621,2108771800,526312500000,6562500
047420,LKFS,1010,10,1,1010,1040,1000,124066,125949980,7272000000,7200000
026260,M플러스텍,130,0,0,0,0,0,0,0,5686421520,43741704
035420,NHN,53700,-200,-0.37,54300,54500,53700,75545,4079688500,399369585000,7437050
034120,SBS,34650,-550,-1.56,35100,35250,34400,18834,652957900,903502804050,26075117
046140,SBSi,3890,0,0,3850,3990,3850,132125,515423890,42400879410,10899969
036540,STS반도체,3610,-90,-2.43,3770,3770,3610,8443,30896100,36408294000,10085400
016600,TG벤처,1550,-10,-0.64,1550,1580,1550,58907,91688990,18600000000,12000000
048770,TPC,1510,-60,-3.82,1550,1580,1510,707,1078410,6493000000,4300000
032620,UBCARE,710,-50,-6.58,810,850,690,7381390,5715900910,14558012530,20504243
048760,VK,3600,-30,-0.83,3610,3660,3560,752949,2713805990,62793313200,17442587
033190,VON,610,-30,-4.69,650,660,610,665195,420691450,8507254590,13946319
016170,YBM서울,1170,-20,-1.68,1170,1200,1160,8586,10032810,12706200000,10860000
040300,YTN,1440,-10,-0.69,1470,1470,1430,278097,401144730,60480000000,42000000
008780,i 인프라,500,-20,-3.85,520,530,500,1168967,594672120,9800000000,19600000
054150,가드텍,610,10,1.67,600,610,590,86241,51276600,6222000000,10200000
040610,가로수닷컴,650,0,0,650,660,630,82548,52895030,7312753500,11250390
042570,가야전자,2300,-80,-3.36,2340,2390,2240,284489,658332910,17940000000,7800000
