단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
152100,ARIRANG 200,24535,-355,-1.43,24563.41,24835,24860,24535,6814,167730700,467391750000,19050000
189400,ARIRANG AC 월드(합성 H),10685,-90,-0.84,10701.33,10740,10740,10665,130,1391895,4487700000,420000
141240,ARIRANG K100EW,9680,-160,-1.63,9723.67,9890,9890,9680,310,3019345,6776000000,700000
122090,ARIRANG KOSPI50,15030,-180,-1.18,15089.97,15260,15260,15030,302,4557770,5410800000,360000
222170,ARIRANG S&P 배당성장,9885,-185,-1.84,9874.04,10100,10100,9885,707,7028565,9885000000,1000000
161510,ARIRANG 고배당주,10830,-155,-1.41,10850.16,11015,11035,10830,1337,14639545,77326200000,7140000
190160,ARIRANG 단기유동성,103960,15,0.01,103952.88,103955,103960,103955,6,623735,256469320000,2467000
213630,ARIRANG 미국고배당주(합성 H),9625,95,1,9629.42,9550,9630,9550,239,2300325,11068750000,1150000
190150,ARIRANG 바벨 채권,107310,85,0.08,107221.26,107290,107310,107290,3,318900,99798300000,930000
161490,ARIRANG 방어주,6880,-55,-0.79,6908.58,6970,6995,6880,454,3137470,8944000000,1300000
195970,ARIRANG 선진국(합성 H),9210,-230,-2.44,9258.57,9275,9275,9200,2116,19507925,5894400000,640000
222190,ARIRANG 스마트베타 Momentum,9695,-160,-1.62,9682.85,9875,9920,9655,707,6881945,9695000000,1000000
222200,ARIRANG 스마트베타 Quality,9805,-145,-1.46,9796,9980,10020,9805,710,7004290,9805000000,1000000
222180,ARIRANG 스마트베타 Value,9935,-155,-1.54,9924.79,10100,10135,9935,1691,16866030,9935000000,1000000
195980,ARIRANG 신흥국(합성 H),9080,-265,-2.84,9257.89,9280,9280,9060,1162,10594175,6719200000,740000
161500,ARIRANG 주도주,4355,-110,-2.46,4371.39,4475,4475,4355,916,4033790,5226000000,1200000
204420,ARIRANG 차이나H 레버리지(합성 H),9520,-1375,-12.62,9465.51,10775,10785,9400,64051,633565330,7140000000,750000
108630,FIRST 스타우량,18850,-50,-0.26,18871.1,19045,19045,18850,520,9805900,12441000000,660000
107560,GIANT 현대차그룹,15675,-20,-0.13,15659.03,15720,15720,15675,331,5202850,11286000000,720000
120210,GREAT SRI,8255,-30,-0.36,8221.62,0,0,0,0,0,5778500000,700000
114460,KINDEX 국고채,105485,-5,0,105524.44,105485,105485,105485,1,105485,9493650000,90000
190620,KINDEX 단기자금,101115,5,0,101110.51,101115,101115,101110,650,65724625,141763230000,1402000
152500,KINDEX 레버리지,3915,-100,-2.49,3906.62,4015,4015,3910,54914,216145465,12136500000,3100000
181480,KINDEX 미국리츠부동산(합성 H),58130,815,1.42,58256.22,58130,58130,58130,23,1336990,5813000000,100000
211260,KINDEX 배당성장,32010,-255,-0.79,32002.89,32395,32395,31995,91,2917250,5121600000,160000
143460,KINDEX 밸류대형,5675,-90,-1.56,5668.82,5775,5775,5670,7019,39805940,18727500000,3300000
131890,KINDEX 삼성그룹EW,10845,-125,-1.14,10810.7,11020,11040,10830,511,5572605,4338000000,400000
108450,KINDEX 삼성그룹SW,7915,-90,-1.12,7888.78,8040,8040,7900,232,1834515,60945500000,7700000
181450,KINDEX 선진국하이일드(합성 H),103590,-185,-0.18,103655.18,103710,103710,103590,7,725250,5179500000,50000
105270,KINDEX 성장대형F15,5230,-40,-0.76,5203.79,5280,5285,5220,1002,5250815,2092000000,400000
145670,KINDEX 인버스,9795,115,1.19,9815.01,9705,9795,9665,50346,490212055,5877000000,600000
196030,KINDEX 일본레버리지(H),16195,-1130,-6.52,16047.69,17160,17160,16195,19514,322739905,4858500000,300000
205720,KINDEX 일본인버스(합성 H),7985,250,3.23,8017.79,7750,8015,7740,181391,1425669285,9582000000,1200000
168580,KINDEX 중국본토CSI300,19950,-1090,-5.18,19605.96,21040,21040,19950,1023696,20842034380,157605000000,7900000
