단축코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
005760,ACTS,400,0,0,405,410,395,679570,273233200,19269736800,48174342
015670,AP우주통신,395,10,2.6,390,415,385,4367120,1738446650,12411820350,31422330
015675,AP우주통신(1우B),215,5,2.38,210,220,210,152820,32570500,1156869850,5380790
004560,BNG스틸,5290,-270,-4.86,5600,5600,5230,33270,179330900,41162479230,7781187
004565,BNG스틸(1우),3830,0,0,3800,3830,3710,670,2519700,420733160,109852
001460,BYC,47600,1100,2.37,47400,47700,47400,40,1901000,29731674000,624615
001465,BYC(1우),22200,-200,-0.89,22100,22200,21750,250,5480500,4781547000,215385
001040,CJ,52800,-500,-0.94,53800,54100,52000,209082,11026015600,1182923596800,22403856
001045,CJ(1우),22200,-150,-0.67,22500,22850,22000,13690,306164500,79645963200,3587656
001047,CJ(2우B),33300,200,0.6,33500,33500,33300,510,16985000,31664137500,950875
001049,CJ(3우B),31500,0,0,31550,31600,31500,320,10084000,26658639000,846306
004530,CKF,4060,225,5.87,3940,4190,3605,14900,58025700,9729842780,2396513
069730,DSR제강,650,10,1.56,640,655,640,32250,20825300,9360000000,14400000
014820,EASTEL,1855,-10,-0.54,1920,1920,1850,301120,567837900,56519178800,30468560
014825,EASTEL(1우),890,-10,-1.11,880,920,880,11540,10214350,2361686200,2653580
014827,EASTEL(2우B),2890,155,5.67,2910,2910,2890,120,347000,369515400,127860
007700,F&F,2500,0,0,2515,2540,2490,92368,231315500,38500000000,15400000
001370,FnC코오롱,10700,-700,-6.14,11300,11450,10600,46856,509961200,122863905600,11482608
001375,FnC코오롱(1우),6600,-400,-5.71,6900,6900,6350,2657,17706200,4782472200,724617
004020,INI스틸,7400,500,7.25,6990,7400,6810,1587250,11275240900,861344600600,116397919
004025,INI스틸(1우B),4285,185,4.51,4155,4285,4075,15580,64353950,1784942460,416556
009070,KCTC,33200,-1900,-5.41,33600,33700,33000,1490,49899000,13280000000,400000
017300,KDS,1300,55,4.42,1290,1400,1230,83965244,110636338600,175148907700,134729929
006200,KEC,46800,-900,-1.89,48200,48500,46800,19412,915017600,376964499600,8054797
018590,KNC,645,80,14.16,560,645,555,3249583,2040390535,12152185065,18840597
030200,KT,44400,250,0.57,44500,44700,44200,836697,37218960800,12906458400000,290686000
033780,KT&G,19700,-150,-0.76,19800,19900,19650,330358,6523237600,3574417190900,181442497
030210,KTB네트워크,3300,-60,-1.79,3370,3390,3180,1053626,3466913200,199036503600,60314092
003550,LG,8950,-130,-1.43,9200,9230,8930,1359874,12284647800,2375978678100,265472478
003555,LG(1우),5200,-50,-0.95,5360,5360,5150,16830,87482300,26517415600,5099503
017940,LG가스,20700,700,3.5,20000,20700,19500,11120,226884000,142002000000,6860000
006360,LG건설,19050,-350,-1.8,19700,19700,19000,302479,5854814450,971550000000,51000000
010120,LG산전,8460,-790,-8.54,9900,9900,8420,3215563,28853267080,253800000000,30000000
001120,LG상사,8070,-50,-0.62,8300,8300,7910,729964,5873645680,548760000000,68000000
068870,LG생명과학,50100,-300,-0.6,50600,51200,49800,201926,10170003100,700247199000,13976990
068875,LG생명과학(1우),34500,-800,-2.27,35300,36200,34400,7113,249723000,8149452000,236216
051900,LG생활건강,31500,600,1.94,31300,32000,30900,174939,5498211500,491973205500,15618197
051905,LG생활건강(1우),17250,0,0,17500,17500,17200,5240,90549500,36219773250,2099697
012990,LG석유화학,24500,-100,-0.41,25200,25200,23900,454151,11194621000,1107400000000,45200000
035000,LG애드,19700,1000,5.35,19300,20450,19200,243910,4814911000,231926130000,11772900
006260,LG전선,15750,-200,-1.25,16150,16200,15500,202201,3189162750,507150000000,32200000
066570,LG전자,57100,1500,2.7,57100,57800,56500,1273974,72908387400,7971517617300,139606263
066575,LG전자(1우),25000,800,3.31,24750,25100,24550,422580,10500254000,429649800000,17185992
032710,LG카드,17600,-600,-3.3,18400,18550,17400,2188593,39079336300,2094400000000,119000000
005940,LG투자증권,13950,0,0,14300,14300,13650,1907513,26603498850,1703523347550,122116369
005945,LG투자증권(1우),6700,80,1.21,6850,6870,6620,211220,1416510000,133135485600,19870968
002550,LG화재,3970,-35,-0.87,4040,4085,3950,790405,3168220050,238200000000,60000000
051910,LG화학,54900,-100,-0.18,56700,56800,54400,522808,28822786200,3536936013600,64425064
051915,LG화학(1우),24000,0,0,24450,24500,23800,31579,757540500,207870024000,8661251
