단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
491610,1Q CD금리액티브(합성),103095,0,0,103069.67,103100,103100,103095,5632,580648283,251964180000,2444000
451060,1Q K200액티브,16545,410,2.54,16585.1,16510,16615,16320,103857,1715541580,148905000000,9000000
0103T0,1Q K소버린AI,10540,360,3.54,10534.99,10305,10590,10290,381485,3998120082,7378000000,700000
463290,1Q 단기금융채액티브,108480,25,0.02,108480.21,108510,108510,108475,9686,1050727515,242778240000,2238000
479080,1Q 머니마켓액티브,52770,5,0.01,52766.24,52765,52770,52760,94212,4971229283,931601580000,17654000
0026S0,1Q 미국S&P500,11660,210,1.83,11644.86,11670,11690,11610,258708,3015797429,138754000000,11900000
0052S0,1Q 미국S&P500미국채혼합50액티브,11160,190,1.73,11139.07,11150,11320,11135,424972,4741922841,73656000000,6600000
0069M0,1Q 미국나스닥100,11910,320,2.76,11876.99,11925,11950,11870,127336,1515899356,33348000000,2800000
0111P0,1Q 미국나스닥100미국채혼합50액티브,10195,220,2.21,10175.67,10125,10200,10125,690596,7034446636,24468000000,2400000
0083S0,1Q 미국메디컬AI,12580,980,8.45,12567.09,12375,12995,12365,455932,5726846519,50320000000,4000000
0004G0,1Q 미국배당TOP30,9220,-70,-0.75,9215.38,9290,9300,9200,27113,249937479,4610000000,500000
0094X0,1Q 샤오미밸류체인액티브,11420,-320,-2.73,11400.18,11890,11890,11410,420933,4886274816,24553000000,2150000
0017Y0,1Q 종합채권(AA-이상)액티브,101210,35,0.03,101232.43,101125,101210,101055,142,14357980,52527990000,519000
0052T0,1Q 중단기회사채(A-이상)액티브,50515,45,0.09,50524.07,50490,50520,50490,553,27934555,136996680000,2712000
472350,1Q 차이나H(H),17035,-730,-4.11,17075.25,17270,17270,17010,4944,84984135,13628000000,800000
495330,1Q 코리아밸류업,14600,300,2.1,14589.25,14725,14725,14355,20079,292276593,39420000000,2700000
492500,1Q 현대차그룹채권(A+이상)&국고통안,51795,-10,-0.02,51787.61,51795,51795,51760,1895,98118200,155385000000,3000000
473440,ACE 11월만기자동연장회사채AA-이상액티브,10725,0,0,10737.48,10725,10730,10725,35601,381840005,106606500000,9940000
105190,ACE 200,51085,1270,2.55,51215.59,50870,51340,50465,256420,13047284922,613020000000,12000000
332500,ACE 200TR,33895,845,2.56,33973.85,33785,34055,33500,24017,811875594,67790000000,2000000
461270,ACE 26-06 회사채(AA-이상)액티브,11180,0,0,11187.31,11185,11185,11175,18511,206890347,245065600000,21920000
