단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
491610,1Q CD금리액티브(합성),102775,5,0,102763,102775,102775,102770,3848,395470028,261459600000,2544000
451060,1Q K200액티브,14050,30,0.21,14058.85,14045,14050,13942,13644,191238275,132772500000,9450000
463290,1Q 단기금융채액티브,108155,0,0,108162.88,108165,108165,108155,7207,779493933,249838050000,2310000
479080,1Q 머니마켓액티브,52590,0,0,52593.19,52595,52595,52590,31255,1643794230,1099341360000,20904000
0026S0,1Q 미국S&P500,11020,70,0.64,11008.88,11005,11020,10990,212388,2338217581,104690000000,9500000
0052S0,1Q 미국S&P500미국채혼합50액티브,10715,15,0.14,10701.76,10700,10720,10695,284339,3043796612,43931500000,4100000
0069M0,1Q 미국나스닥100,10955,70,0.64,10951.8,10955,10960,10935,179008,1959944715,27387500000,2500000
0083S0,1Q 미국메디컬AI,10620,75,0.71,10615.03,10565,10625,10565,126831,1345583248,31860000000,3000000
0004G0,1Q 미국배당TOP30,9275,-40,-0.43,9275.04,9290,9290,9255,5801,53800710,4637500000,500000
0017Y0,1Q 종합채권(AA-이상)액티브,101480,150,0.15,101427.83,101480,101480,101480,1,101480,40389040000,398000
0052T0,1Q 중단기회사채(A-이상)액티브,50385,35,0.07,50383.77,50365,50385,50365,28024,1411851585,122536320000,2432000
472350,1Q 차이나H(H),16465,-270,-1.61,16398.29,16710,16710,16465,12439,206059795,13172000000,800000
495330,1Q 코리아밸류업,12330,10,0.08,12350.38,12340,12340,12265,1123,13818535,32058000000,2600000
492500,1Q 현대차그룹채권(A+이상)&국고통안,51750,20,0.04,51750.35,51750,51755,51745,355,18370757,146245500000,2826000
473440,ACE 11월만기자동연장회사채AA-이상액티브,10695,-5,-0.05,10705.14,10690,10705,10690,36533,390793015,107805600000,10080000
105190,ACE 200,43375,105,0.24,43402.39,43270,43385,43060,56006,2426070705,507487500000,11700000
332500,ACE 200TR,28770,40,0.14,28789.16,28730,28785,28565,1611,46271015,54663000000,1900000
461270,ACE 26-06 회사채(AA-이상)액티브,11155,0,0,11154.79,11150,11155,11150,31021,345954118,245856200000,22040000
475260,ACE 2월만기자동연장회사채AA-이상액티브,10600,5,0.05,10600.42,10605,10605,10600,102,1081490,49820000000,4700000
385600,ACE 2차전지&친환경차액티브,6700,-15,-0.22,6690.9,6800,6800,6670,16154,108167265,15410000000,2300000
475270,ACE 5월만기자동연장회사채AA-이상액티브,10570,0,0,10574.72,10570,10570,10570,2,21140,43442700000,4110000
475280,ACE 8월만기자동연장회사채AA-이상액티브,10580,-5,-0.05,10585.28,10585,10585,10580,461,4879677,89189400000,8430000
469150,ACE AI반도체포커스,15415,15,0.1,15437.42,15460,15460,15245,84297,1294454266,67826000000,4400000
0079X0,ACE BYD밸류체인액티브,11400,-90,-0.78,11340.53,11535,11670,11400,432118,4979685662,15960000000,1400000
385590,ACE ESG액티브,9640,-60,-0.62,9662.77,9660,9670,9640,247,2386695,22172000000,2300000
0010E0,ACE FTSE WGBI Korea,101190,340,0.34,101011.07,100985,101190,100985,29,2931685,20238000000,200000
380340,ACE Fn5G플러스,10950,40,0.37,10959.47,11005,11005,10910,113,1236380,6570000000,600000
226380,ACE Fn성장소비주도주,7140,-20,-0.28,7160.25,7220,7220,7140,242,1733060,5712000000,800000
475050,ACE KPOP포커스,13155,-150,-1.13,13151.41,13240,13335,13030,901931,11853091024,209822250000,15950000
411060,ACE KRX금현물,21375,40,0.19,21340.45,21385,21460,21340,915914,19600832655,1402200000000,65600000
0021D0,ACE TDF2030액티브,10565,30,0.28,10555.21,10565,10575,10555,2721,28730406,10565000000,1000000
0021E0,ACE TDF2050액티브,10840,60,0.56,10820.23,10865,10865,10815,9642,104435020,15176000000,1400000
225130,ACE 골드선물 레버리지(합성 H),35650,120,0.34,35736.97,35665,35870,35565,2205,78959785,10695000000,300000
483340,ACE 구글밸류체인액티브,12070,150,1.26,11978.28,12160,12160,12000,74194,895520778,22933000000,1900000
365780,ACE 국고채10년,91905,280,0.31,91871.5,91705,91905,91705,5962,547611178,299150775000,3255000
114460,ACE 국고채3년,104145,30,0.03,104178.28,104120,104175,104120,193,20100295,12497400000,120000
494340,ACE 글로벌AI맞춤형반도체,12560,110,0.88,12533.9,12455,12565,12455,6883,86269695,11932000000,950000
446770,ACE 글로벌반도체TOP4 Plus SOLACTIVE,31495,195,0.62,31417.45,31460,31500,31345,160565,5049303030,349594500000,11100000
435040,ACE 글로벌브랜드TOP10블룸버그,17895,140,0.79,17929.81,17970,17970,17880,434,7779860,12526500000,700000
497510,ACE 글로벌빅파마,10045,160,1.62,10034.88,10080,10080,9990,1951,19548210,8036000000,800000
460960,ACE 글로벌인컴TOP10 SOLACTIVE,11125,35,0.32,11105.76,11090,11140,11090,17786,197741465,61743750000,5550000
414270,ACE 글로벌자율주행액티브,12325,120,0.98,12235.83,12310,12380,12210,352672,4341650509,46218750000,3750000
440640,ACE 단기채권알파액티브,111270,20,0.02,111270.51,111260,111275,111260,509,56633860,76219950000,685000
190620,ACE 단기통안채,102240,10,0.01,102246.56,102230,102250,102230,9026,922895544,142420320000,1393000
