단축코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
095570,AJ네트웍스,5500,-120,-2.14,5650,5650,5470,204653,1129527430,257522622500,46822295
006840,AK홀딩스,26500,-300,-1.12,27000,27000,26150,20692,546758400,351060366500,13247561
027410,BGF,5680,0,0,5720,5720,5610,119940,678592850,543671372880,95716791
282330,BGF리테일,170500,-1000,-0.58,170500,171500,169000,13645,2326331500,2946905973000,17283906
138930,BNK금융지주,9150,260,2.92,8930,9200,8930,2458638,22483294360,2982307500900,325935246
001460,BYC,416000,-11500,-2.69,419000,426000,415500,674,285007500,259839840000,624615
001465,BYC우,180000,0,0,180000,180000,180000,10,1800000,38769300000,215385
001040,CJ,100500,900,0.9,100000,101000,99200,63524,6360766100,2932288299000,29176998
079160,CJ CGV,30850,-300,-0.96,31200,31350,30550,341786,10576536650,1161870262850,37661921
00104K,CJ4우(전환),82600,400,0.49,82800,82800,81800,5722,471810700,349109891200,4226512
000120,CJ대한통운,149500,0,0,150000,151500,149000,31259,4680945500,3410445428000,22812344
011150,CJ씨푸드,3975,30,0.76,3950,4000,3910,126405,501214160,142824822675,35930773
011155,CJ씨푸드1우,40500,300,0.75,40600,40600,40500,21,851000,8100000000,200000
001045,CJ우,61000,-100,-0.16,61100,61800,60300,9079,549397700,137873603000,2260223
097950,CJ제일제당,399500,-7000,-1.72,404500,408000,399000,33642,13497640500,6014147307000,15054186
097955,CJ제일제당 우,197000,-3500,-1.75,200500,201000,196000,6713,1324470500,261504301000,1327433
000590,CS홀딩스,64100,100,0.16,64300,64500,63900,1230,78892400,74002296200,1154482
012030,DB,1015,-5,-0.49,1020,1030,1010,589264,600349045,204191541995,201173933
016610,DB금융투자,7230,60,0.84,7180,7280,7170,182186,1317927540,306887392470,42446389
005830,DB손해보험,66600,1300,1.99,65300,67100,64900,137287,9085211100,4715280000000,70800000
000990,DB하이텍,53200,200,0.38,53800,54700,53000,557446,29982500700,2362004881600,44398588
000995,DB하이텍1우,103500,0,0,105000,105000,103500,47,4905500,11624706000,112316
139130,DGB금융지주,10650,200,1.91,10450,10800,10350,840561,8967624950,1801403121450,169145833
001530,DI동일,326500,-7500,-2.25,334500,335500,323000,13609,4459410000,819728857500,2510655
000210,DL,68200,-900,-1.3,69500,69500,67800,122935,8405660800,1429191288800,20955884
001880,DL건설,29400,-100,-0.34,29700,29700,29150,16255,476553700,648366549600,22053284
000215,DL우,41200,-700,-1.67,42300,42300,41100,4242,176125750,69467938000,1686115
375500,DL이앤씨,133500,-2000,-1.48,135000,136000,132500,63745,8547279500,2584391523000,19358738
37550K,DL이앤씨우,76300,-900,-1.17,77500,77500,75900,6727,513097800,161289425500,2113885
004840,DRB동일,5970,30,0.51,5940,5990,5870,15438,91445190,118982100000,19930000
155660,DSR,8120,40,0.5,8290,8380,7990,284198,2315273440,129920000000,16000000
069730,DSR제강,7880,-210,-2.6,8280,8300,7840,262638,2104747710,113472000000,14400000
017940,E1,55900,0,0,55600,56200,55500,11114,621706100,383474000000,6860000
365550,ESR켄달스퀘어리츠,6400,0,0,6400,6470,6380,262119,1680604880,916857600000,143259000
383220,F&F,850000,-17000,-1.96,865000,871000,847000,24199,20757067000,6512202750000,7661415
007700,F&F홀딩스,40700,2700,7.11,38600,41700,38600,466105,18773113700,1591954736900,39114367
114090,GKL,16850,-550,-3.16,17400,17450,16800,608442,10357343950,1042268039500,61855670
078930,GS,44500,-800,-1.77,45500,45500,44350,194538,8688070950,4134734321000,92915378
006360,GS건설,41150,-500,-1.2,41700,41850,40750,356196,14660886800,3521678313500,85581490
001250,GS글로벌,2750,-35,-1.26,2805,2825,2730,1432396,3964202810,226967851000,82533764
007070,GS리테일,32250,-600,-1.83,32850,32950,32250,252880,8219133000,3377152984500,104717922
078935,GS우,37050,-150,-0.4,37250,37300,36800,7161,265536600,66127803300,1784826
012630,HDC,10650,0,0,10750,10750,10600,85034,907597200,636249328650,59741721
039570,HDC아이콘트롤스,12000,-200,-1.64,12200,12250,12000,12551,152019150,197520000000,16460000
089470,HDC현대EP,6130,-50,-0.81,6180,6220,6090,208214,1277553330,195547000000,31900000
294870,HDC현대산업개발,26100,-100,-0.38,26350,26500,26050,244971,6421413000,1720181313000,65907330
011200,HMM,29200,-800,-2.67,30350,30350,29150,3508550,103393929450,11837460620400,405392487
082740,HSD엔진,7810,-230,-2.86,8080,8080,7740,475424,3731366930,364892931260,46721246
003560,IHQ,1790,10,0.56,1825,1880,1760,15061213,27532479445,261761988920,146235748
175330,JB금융지주,9080,-90,-0.98,9270,9270,9080,405017,3700254010,1788604677520,196982894
234080,JW생명과학,15750,200,1.29,15650,15850,15500,37234,581929550,249394225500,15834554
001060,JW중외제약,24450,-250,-1.01,24750,24750,24250,35815,874888650,526651190700,21539926
001067,JW중외제약2우B,55300,400,0.73,55800,55800,54500,110,6044200,5144448400,93028
001065,JW중외제약우,33500,200,0.6,33750,33750,32900,369,12232150,5945781000,177486
096760,JW홀딩스,3760,15,0.4,3755,3790,3730,24349,91531910,257338844320,68441182
105560,KB금융,56100,700,1.26,55600,56400,55200,1221886,68338769900,23326824312000,415807920
002380,KCC,360500,-12000,-3.22,375000,375500,359500,40020,14574575500,3203572795500,8886471
344820,KCC글라스,64600,300,0.47,64300,65200,64000,65062,4196007500,1031695075200,15970512
009070,KCTC,6540,30,0.46,6550,6770,6520,402995,2682486300,196200000000,30000000
009440,KC그린홀딩스,5150,20,0.39,5230,5340,5110,92000,480342020,115540147000,22434980
119650,KC코트렐,7300,140,1.96,7270,7480,7250,342678,2513515260,128480000000,17600000
092220,KEC,3530,20,0.57,3450,3565,3410,33539256,117408899970,411975498200,116706940
016380,KG동부제철,12050,-600,-4.74,12600,12650,12050,603013,7374316850,1205107208850,100008897
016385,KG동부제철우,103000,500,0.49,102500,104000,101500,106,10859000,5498655000,53385
001390,KG케미칼,33100,-400,-1.19,33750,33850,32850,93065,3083126300,458967777600,13866096
033180,KH 필룩스,3135,-15,-0.48,3135,3175,3120,584178,1839915980,428649377640,136730264
001940,KISCO홀딩스,20500,-750,-3.53,21200,21200,20500,23054,477995100,378765790000,18476380
025000,KPX케미칼,59100,-1100,-1.83,60100,60200,58800,7861,464764800,286044000000,4840000
092230,KPX홀딩스,65700,-200,-0.3,65700,66300,65700,976,64241400,277559242200,4224646
000040,KR모터스,1005,-10,-0.99,1025,1030,999,313505,315393480,96618054840,96137368
044450,KSS해운,11250,-150,-1.32,11300,11350,11100,50064,560470750,260841150000,23185880
030200,KT,31600,-50,-0.16,31800,31900,31600,501730,15896202100,8251133132800,261111808
033780,KT&G,82000,0,0,82000,82300,81800,239411,19643558200,11257984754000,137292497
030210,KTB투자증권,6440,-60,-0.92,6500,6550,6410,230295,1486255480,388422752480,60314092
058850,KTcs,2700,5,0.19,2715,2740,2695,87598,238230600,115249500000,42685000
058860,KTis,2585,-5,-0.19,2625,2635,2585,76360,199032445,89963170000,34802000
093050,LF,18500,-150,-0.8,18700,18800,18400,38356,713749800,540940000000,29240000
003550,LG,95200,-900,-0.94,96900,97400,95100,132214,12673219100,14975054533600,157300993
034220,LG디스플레이,18000,-50,-0.28,18150,18550,18000,2244262,40850085200,6440682600000,357815700
051900,LG생활건강,1390000,20000,1.46,1390000,1400000,1375000,30609,42611639000,21709293830000,15618197
051905,LG생활건강우,684000,7000,1.03,680000,690000,677000,3971,2717449000,1436192748000,2099697
003555,LG우,68300,200,0.29,68500,68500,67900,4045,276088200,206376646000,3021620
032640,LG유플러스,15000,300,2.04,14750,15100,14650,2371026,35366930700,6549170415000,436611361
011070,LG이노텍,194000,-3000,-1.52,199000,199500,194000,176927,34647972500,4591418758000,23667107
066570,LG전자,125000,-1500,-1.19,126500,127500,125000,579159,73032664000,20455976750000,163647814
066575,LG전자우,64600,-600,-0.92,65000,65200,64500,15999,1037149900,1110215083200,17185992
037560,LG헬로비전,7420,-60,-0.8,7480,7580,7350,1004283,7503723390,574655738300,77446865
051910,LG화학,840000,9000,1.08,847000,863000,840000,273548,232759254000,59297568120000,70592343
