지수명,종가,대비,등락률
코스피 200,306.69,-1.26,-0.41
코스피 200 선물지수,1480.47,-8.44,-0.57
S&P Global Infrastructure Index,2575.95,-10.76,-0.42
S&P KOREA Dividend Opportunity Index,4671.14,-40.08,-0.85
FnGuide 경기방어주 지수,,,
FnGuide 경기주도주 지수,,,
FnGuide 고배당저변동50 지수,2055.11,-13.5,-0.65
FnGuide 배당주 지수,13214.55,-185.8,-1.39
FnGuide 고배당 채권혼합 지수,2687.92,-14.56,-0.54
MSCI ACWI Index,464.74,-3.53,-0.75
KAP Money Market Credit Index(Total Retrun),,,
KAP Money Market Index(총수익),113.98,0.01,0.01
S&P 500,2432.46,-5.46,-0.22
Dow Jones U.S Select Dividend Index(시장가격지수),669.33,0.3,0.04
KAP Barbell Index(총수익),119.54,0.13,0.11
MSCI EAFE Index,1877.04,-28.79,-1.51
WISE 스마트베타 LowVOL 지수,,,
WISE 스마트베타 MOMENTUM INDEX,,,
WISE 스마트베타 QUALITY INDEX,6829.56,-21.01,-0.31
WISE 스마트베타 VALUE INDEX,,,
WISE 스마트베타 지수,,,
WISE-KAP 스마트베타 Quality 채권혼합지수,1207.15,-0.95,-0.08
MSCI EM Index,1003.64,-10.05,-0.99
SZSE ChiNext Price Index,1816.26,25.62,1.43
KOBI HALF CREDIT Index(총수익),10268.23,0.25,0
FnGuide 중형주저변동50지수,2183.72,-17.99,-0.82
Hang Seng China H,10346.15,-168.76,-1.6
코스피,2361.65,-10.99,-0.46
코스피 100 동일가중지수,2157.87,-17.73,-0.81
코스피 50,2025.69,-6.23,-0.31
MKF 5대그룹주,5377.41,-37.06,-0.68
FnGuide 셀렉트 밸류 지수,2298.94,-12.13,-0.52
FnGuide 셀렉트벨류 채권혼합지수,1658.53,-3.22,-0.19
FnGuide 고배당포커스 지수,7670.19,-61.5,-0.8
KTB INDEX(시장가격),10581.46,2.21,0.02
KIS 통안채 5개월 지수(총수익),11001.29,0.49,0
FnGuide 모멘텀&로우볼 지수,,,
FnGuide 모멘텀&밸류 지수,,,
S&P Oil & Gas Exploration & Production Select Industry Index(PR),4768.49,-121.14,-2.48
S&P U.S. Treasury Bond Futures Excess Return Index,253.9,-0.25,-0.1
MKF 수출주 지수,9598.7,-89.62,-0.93
MKF 우량업종대표주 지수,11057.46,-100.15,-0.9
TOPIX,1588.09,-3.68,-0.23
주식국채혼합(주식형)지수,1393.14,-3.91,-0.28
CSI A100,3459.17,-16.25,-0.47
KOBI 크레딧 지수(총수익),12992.86,1.57,0.01
주식국채혼합(채권형)지수,1380.83,-1.49,-0.11
FnGuide 헬스케어 지수,2446.29,-27.27,-1.1
FnGuide 헬스케어 채권혼합 지수,1582.22,-4.95,-0.31
S&P WCI Gold Excess Return Index,304.4,-7.18,-2.3
KIS MSB 단기지수(총수익),10960.46,0.38,0
MSCI Russia 25% Capped Price Return Index,,,
Dow Jones U.S. Real Estate Index,1164.39,4.12,0.36
코스피 배당성장 50,3379.15,-27.17,-0.8
FnGuide-RAFI 코리아 대형 지수,7599,-53.72,-0.7
VN30 Index(PR),746.59,1.06,0.14
MKF SAMs EW 지수,11783.27,-58.99,-0.5
MKF SAMs SW,9114.09,-10.78,-0.12
MSCI Indonesia Index,6850.47,-36.45,-0.53
Nikkei 225,19831.82,-51.7,-0.26
CSI 300 Index,3528.79,-6.51,-0.18
코스닥,669.82,-1.77,-0.26
MSCI Philippines IMI Index,1901.48,-0.78,-0.04
FnGuide 성장소비주도 지수,2313.65,-3.42,-0.15
코스피 200 중소형주지수,1110.49,-11.08,-0.99
코스피 200 가치저변동성,4438.96,-20.79,-0.47
코스피 200 동일가중지수,2221.72,-18.81,-0.84
S&P GSCI Grains Select Index ER,20.98,0.24,1.16
KRX 미디어&엔터테인먼트,1765.04,-3.69,-0.21
KRX 정보기술,996.28,11.73,1.19
MSCI Korea Index,693.18,-2.57,-0.37
KTOP 30,7447.28,-56.98,-0.76
S&P GSCI Crude Oil Index ER,135.44,-0.76,-0.56
FnGuide 가치투자형 지수,,,
KRX 건설,608.2,-7.35,-1.19
