지수명,종가,대비,등락률
코스피 200,260.36,0.35,0.13
코스피 200 선물지수,1266.23,5.57,0.44
MSCI ACWI Index,421.29,-0.73,-0.17
코스피 100 동일가중지수,1829.25,-2.88,-0.16
코스피 50,1712.58,1.94,0.11
S&P KOREA Dividend Opportunity Index,4165.57,-6.68,-0.16
FnGuide 고배당저변동50 지수,1814.2,-2.26,-0.12
FnGuide 배당주 지수,11615.93,26.38,0.23
FnGuide 고배당 채권혼합 지수,2540.27,3.64,0.14
KAP Money Market Index(총수익),113.15,0.03,0.03
Dow Jones U.S Select Dividend Index(시장가격지수),633.86,-3.14,-0.49
KAP Barbell Index(총수익),118.99,0.18,0.15
FnGuide 경기방어주 지수,,,
MSCI EAFE Index,1675.3,0,0
WISE 스마트베타 LowVOL 지수,,,
WISE 스마트베타 MOMENTUM INDEX,,,
WISE 스마트베타 QUALITY INDEX,6145.72,1.65,0.03
WISE 스마트베타 VALUE INDEX,,,
WISE 스마트베타 지수,,,
WISE-KAP 스마트베타 Quality 채권혼합지수,1163.26,0.84,0.07
MSCI EM Index,860.5,2.06,0.24
SZSE ChiNext Price Index,1959.24,0,0
KOBI HALF CREDIT Index(총수익),10179.98,3.53,0.03
FnGuide 경기주도주 지수,,,
Hang Seng China H,9312.76,0,0
코스피,2026.16,-0.3,-0.01
MKF 5대그룹주,4617.59,22.15,0.48
FnGuide 셀렉트 밸류 지수,1990.53,-8.82,-0.44
FnGuide 셀렉트벨류 채권혼합지수,1558.41,-1.94,-0.12
KTB INDEX(시장가격),10582.74,10.41,0.1
KIS 통안채 5개월 지수(총수익),10923.06,1.44,0.01
FnGuide 모멘텀&로우볼 지수,,,
FnGuide 모멘텀&밸류 지수,,,
S&P Oil & Gas Exploration & Production Select Industry Index(PR),6308.6,-33.5,-0.53
MKF 수출주 지수,8295.2,83.44,1.02
MKF 우량업종대표주 지수,9644.52,18.55,0.19
KOBI 크레딧 지수(총수익),12855.64,8.81,0.07
TOPIX,1518.39,0,0
주식국채혼합(주식형)지수,1239.12,1.53,0.12
CSI A100,3119.46,0,0
주식국채혼합(채권형)지수,1307.78,1.43,0.11
FnGuide 헬스케어 지수,2021.5,-25.48,-1.24
FnGuide 헬스케어 채권혼합 지수,1484.8,-4.65,-0.31
S&P WCI Gold Excess Return Index,283.17,2.14,0.76
KIS MSB 단기지수(총수익),10887.73,1.14,0.01
Dow Jones U.S. Real Estate Index,1089.28,9.47,0.88
코스피 배당성장 50,3182.45,16.01,0.51
FnGuide-RAFI 코리아 대형 지수,6392.33,28.57,0.45
VN30 Index(PR),626.95,0,0
MKF SAMs EW 지수,9414.72,9.56,0.1
MKF SAMs SW,7240.21,-39.69,-0.55
MSCI Indonesia Index,6109.03,0,0
Nikkei 225,19145.14,0,0
CSI 300 Index,3297.76,0,0
코스닥 150,932.79,-3.3,-0.35
코스닥,632.04,0.6,0.1
MSCI Philippines IMI Index,1648.02,0,0
FnGuide 성장소비주도 지수,1971.2,-41.12,-2.04
10년국채선물지수,1297.77,3.81,0.29
코스피 100,1963.37,2.63,0.13
코스피 200 중소형주지수,1003.31,1.26,0.13
코스피 200 가치저변동성,3772.72,9.89,0.26
코스피 200 동일가중지수,1949.92,-4.65,-0.24
TOPIX100,974.32,0,0
KTOP 30,6570.15,10.99,0.17
MSCI Korea Index,581.36,0.79,0.14
MSCI World,1752.96,0,0
MSCI Germany Index,957.49,0,0
