지수명,종가,대비,등락률
코스피 200,329.61,0.84,0.26
코스피 200 선물지수,1586.2,7.69,0.49
WISE ESG우수기업 지수,,,
S&P Global Infrastructure Index,2658.42,-9.52,-0.36
S&P KOREA Dividend Opportunity Index,4814.47,54.01,1.13
FnGuide 고배당저변동50 지수,2087.19,9.6,0.46
FnGuide 배당주 지수,14149.3,185.85,1.33
FnGuide 고배당 채권혼합 지수,2758.95,13.24,0.48
MSCI ACWI Index,502.33,-1.59,-0.32
KAP Money Market Credit Index(Total Retrun),,,
KAP Money Market Index(총수익),114.64,0,0
"KAP 투자적격 크레딧 채권 1년 지수(A- 이상,총수익)",118.97,-0.01,-0.01
S&P 500,2629.57,-9.87,-0.37
Dow Jones U.S Select Dividend Index(시장가격지수),699.41,-5.87,-0.83
KAP Barbell Index(총수익),119.15,-0.07,-0.06
MSCI EAFE Index,2006.34,-4.45,-0.22
WISE 스마트베타 LowVOL 지수,,,
WISE 스마트베타 MOMENTUM INDEX,,,
WISE 스마트베타 QUALITY INDEX,7256.77,68.73,0.96
WISE 스마트베타 VALUE INDEX,,,
WISE 스마트베타 지수,,,
WISE-KAP 스마트베타 Quality 채권혼합지수,1226.67,2.74,0.22
MSCI EM Index,1117.69,-4.26,-0.38
SZSE ChiNext Price Index,1758.59,-39.18,-2.18
KOBI HALF CREDIT Index(총수익),10310.97,-1.98,-0.02
FnGuide 주도업종 지수,1500.14,-1.73,-0.12
FnGuide 중형주저변동50지수,2221.4,37.82,1.73
Hang Seng China H,11484.69,-33.38,-0.29
코스피,2510.12,8.45,0.34
코스피 100 동일가중지수,2222.62,24.92,1.13
코스피 50,2218.76,-0.07,0
MKF 5대그룹주,5986.1,-17.58,-0.29
FnGuide KQ고배당포커스 지수,6148.42,-71.67,-1.15
FnGuide 셀렉트 밸류 지수,2411.72,0.8,0.03
FnGuide 셀렉트벨류 채권혼합지수,1687.93,-0.63,-0.04
FnGuide 고배당포커스 지수,8250.17,70.04,0.86
KTB INDEX(시장가격),10508.36,-11.39,-0.11
국채선물지수,1223.32,-1.13,-0.09
S&P Global 1200 Information Technology Index (Price Return),3858.06,-3.8,-0.1
KIS 종합채권국공채3M~1.5Y지수,115.88,0,0
KIS 통안채 5개월 지수(총수익),11065.58,0.19,0
FnGuide 모멘텀&로우볼 지수,,,
FnGuide 모멘텀&밸류 지수,,,
S&P Oil & Gas Exploration & Production Select Industry Index(PR),5418.18,-46.45,-0.85
S&P U.S. Treasury Bond Futures Excess Return Index,254.81,1.14,0.45
MKF 수출주 지수,10137.72,139.08,1.39
MKF 우량업종대표주 지수,11768.81,79.48,0.68
TOPIX,1790.97,4.1,0.23
주식국채혼합(주식형)지수,1464.31,2.14,0.15
CSI A100,4114.48,51.29,1.26
KOBI 크레딧 지수(총수익),13012.18,-7.42,-0.06
FnGuide 중소형고배당포커스 지수,11234.51,88.9,0.8
KIS 종합채권국공채4~5Y지수,124.5,-0.15,-0.12
WISE 지주회사테마지수(시장가격지수),,,
주식국채혼합(채권형)지수,1407.98,0.01,0
코스닥 150,1342.93,-34.13,-2.48
F-코스닥150 지수,1422.18,-33.4,-2.29
FnGuide 헬스케어 지수,2942.05,-52.02,-1.74
FnGuide 헬스케어 채권혼합 지수,1672.93,-9.76,-0.58
S&P ASIA50 Price Return Index,3148.42,-44.75,-1.4
S&P WCI Gold Excess Return Index,306.81,-0.64,-0.21
KIS MSB 단기지수(총수익),11025.88,0.45,0
MSCI Russia 25% Capped Price Return Index,,,
다우존스 인터넷 종합지수,479.14,1.65,0.35
Dow Jones U.S. Real Estate Index,1184.01,-6.3,-0.53
코스피 배당성장 50,3648.84,12.66,0.35
FnGuide-RAFI 코리아 대형 지수,8030.97,51.38,0.64
VN30 Index(PR),944.07,-22.37,-2.31
MKF SAMs EW 지수,13415.62,-0.74,-0.01
MKF SAMs SW,10283.21,-83.26,-0.8
FnGuide 스마트 모멘텀 지수,,,
FnGuide 스마트 밸류 지수,,,
MSCI Indonesia Index,7033.13,31.86,0.46
Nikkei 225,22622.38,-84.78,-0.37
CSI 300 Index,4040.17,21.31,0.53
KIS 종합채권국공채1-10Y지수,130.38,-0.12,-0.09
코스닥,774.12,-8.33,-1.06
MSCI Philippines IMI Index,1894.26,16.43,0.87
FnGuide 성장소비주도 지수,2538.57,-0.25,-0.01
코스피 200 중소형주지수,1133.65,11.75,1.05
코스피 200 TR,360.35,0.92,0.26
코스피 200 가치저변동성,4749.63,18.44,0.39
코스피 200 동일가중지수,2268.6,23.71,1.06
코스피 200 미국채 혼합지수,2589.44,-7.5,-0.29
S&P GSCI Grains Select Index ER,18.9,0.04,0.21
KRX 미디어&엔터테인먼트,1999.39,-0.62,-0.03
KRX 정보기술,1106.68,-11.34,-1.01
MSCI Korea Index,754.24,-0.61,-0.08
KTOP 30,8148.88,-8.67,-0.11
MSCI Korea TR Index,1206.16,-0.97,-0.08
MSCI Korea IMI Momentum Capped,3535.51,-25.35,-0.71
MSCI Korea IMI Enhanced Value Capped,6235.54,39.47,0.64
MSCI Korea IMI Quality Capped,6156.66,-13.38,-0.22
