지수명,종가,대비,등락률
코스피 200,277.21,-1.8,-0.65
코스피 200 선물지수,1343.18,-7.74,-0.57
MSCI ACWI Index,447.36,0.1,0.02
코스피 100 동일가중지수,1913.88,-26.66,-1.37
코스피 50,1835.56,-8.17,-0.44
S&P KOREA Dividend Opportunity Index,4246.49,-60.04,-1.39
FnGuide 고배당저변동50 지수,1859.17,-20.86,-1.11
FnGuide 배당주 지수,11970.01,-162.96,-1.34
FnGuide 고배당 채권혼합 지수,2576.06,-15.44,-0.6
KAP Money Market Index(총수익),113.66,0,0
Dow Jones U.S Select Dividend Index(시장가격지수),653.01,1.96,0.3
KAP Barbell Index(총수익),118.8,-0.17,-0.14
FnGuide 경기방어주 지수,,,
MSCI EAFE Index,1780.17,0.06,0
WISE 스마트베타 LowVOL 지수,,,
WISE 스마트베타 MOMENTUM INDEX,,,
WISE 스마트베타 QUALITY INDEX,6285.1,-85.33,-1.34
WISE 스마트베타 VALUE INDEX,,,
WISE 스마트베타 지수,,,
WISE-KAP 스마트베타 Quality 채권혼합지수,1173.25,-5.58,-0.47
MSCI EM Index,958,-3.61,-0.38
SZSE ChiNext Price Index,1912.45,-33.6,-1.73
KAP Money Market Credit Index(Total Retrun),,,
KOBI HALF CREDIT Index(총수익),10233.31,-1.82,-0.02
FnGuide 경기주도주 지수,,,
FnGuide 중형주저변동50지수,2000.99,-29.93,-1.47
Hang Seng China H,10253.79,-20.01,-0.19
코스피,2133.32,-18.41,-0.86
MKF 5대그룹주,4800.96,-34.27,-0.71
FnGuide 셀렉트 밸류 지수,2039.8,-24.76,-1.2
FnGuide 셀렉트벨류 채권혼합지수,1576.58,-8.53,-0.54
KTB INDEX(시장가격),10578.65,-12.65,-0.12
KIS 통안채 5개월 지수(총수익),10971.29,0.29,0
FnGuide 모멘텀&로우볼 지수,,,
FnGuide 모멘텀&밸류 지수,,,
S&P Oil & Gas Exploration & Production Select Industry Index(PR),5760.43,94.42,1.67
MKF 수출주 지수,8546.82,-113.95,-1.32
MKF 우량업종대표주 지수,9965.69,-139.92,-1.38
KOBI 크레딧 지수(총수익),12928.17,-9.86,-0.08
TOPIX,1499.65,9.88,0.66
주식국채혼합(주식형)지수,1295.75,-6.35,-0.49
CSI A100,3323.22,-10.88,-0.33
주식국채혼합(채권형)지수,1334.69,-3.71,-0.28
FnGuide 헬스케어 지수,2050.25,-42.42,-2.03
FnGuide 헬스케어 채권혼합 지수,1494.99,-10.18,-0.68
S&P WCI Gold Excess Return Index,305.86,-1.35,-0.44
KIS MSB 단기지수(총수익),10932.32,0.4,0
MSCI Russia 25% Capped Price Return Index,,,
Dow Jones U.S. Real Estate Index,1140.53,7.3,0.64
