지수명,종가,대비,등락률
BNY BRIC Select ADR,29690.54,-399.28,-1.33
DAX,10825.25,-311.09,-2.79
TOPIX100,872.84,-19.33,-2.17
KRX 반도체,880.02,-18.15,-2.02
삼성그룹,3737.62,-50.36,-1.33
KRX 은행,917.77,-3.64,-0.4
KRX 자동차,721.93,-7.21,-0.99
KRX 기계장비,1854.1,-46.88,-2.47
MKF 중대형 가치,4067.15,-48.9,-1.19
MKF 중대형 성장,2156.3,-44.36,-2.02
MKF 중형 가치,6743.9,-149.37,-2.17
KRX 증권,902.38,-9.81,-1.08
코스피 200,186.99,-2.98,-1.57
KRX 100,3027.71,-48.72,-1.58
KRX 정보통신,,,
MKF 웰스 고배당20,6380.8,-42.44,-0.66
MKF 대형 가치,3833.81,-44.56,-1.15
MKF 블루칩,4028.78,-82.79,-2.01
MKF 중형 순수가치,12467.16,-310.81,-2.43
MSCI World,4002.67,-46.15,-1.14
KRX 방송통신,940.17,-1.05,-0.11
STI,4398.22,-42.58,-0.96
MKF 순수가치,10950.67,-125.95,-1.14
MKF 중소형 가치,5008.14,-86.07,-1.69
